Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,38
Arberg,52
Aurach,105
Bechhofen,298
Bruckberg,65
Buch a.Wald,43
Burgoberbach,126
Burk,96
Colmberg,76
Dentlein,117
Diebach,47
Dietenhofen,213
Dinkelsbühl,759
Dombühl,154
Dürrwangen,146
Ehingen,109
Feuchtwangen,854
Flachslanden,76
Gebsattel,90
Gerolfingen,40
Geslau,45
Heilsbronn,413
Herrieden,354
Insingen,48
Langfurth,111
Lehrberg,159
Leutershausen,175
Lichtenau,109
Merkendorf,114
Mitteleschenbach,63
Mönchsroth,81
Neuendettelsau,436
"Neusitz, Mittelfr",102
Oberdachstetten,69
Ohrenbach,24
Ornbau,70
Petersaurach,211
Röckingen,35
Rothenburg ob der Tauber,644
Rügland,48
Sachsen b. Ansbach,115
Schillingsfürst,149
Schnelldorf,234
Schopfloch,148
Steinsfeld,49
Unterschwaningen,57
Wassertrüdingen,465
Weidenbach,115
Weihenzell,122
Weiltingen,88
Wettringen,66
Wieseth,110
Wilburgstetten,85
Windelsbach,52
Windsbach,275
Wittelshofen,59
Wolframs-Eschenbach,125
Wörnitz,104
Landkreis Ansbach gesamt,9232999999999999
Stadt Ansbach,2180
