combined
"25 de Mayo, San Juan"
"9 de Julio, Chaco"
"9 de Julio, Río Negro"
"9 de Julio, Santa Fe"
"Aguirre, Santiago del Estero"
"Albardón, San Juan"
"Almirante Brown, Jujuy"
"Ambato, Catamarca"
"Ancasti, Catamarca"
"Angaco, San Juan"
"Antártida Argentina, Tierra del Fuego"
"Antofagasta de la Sierra, Catamarca"
"Avellaneda, Santiago del Estero"
"Ayacucho, San Luis"
"Belén, Catamarca"
"Belgrano, San Luis"
"Berón de Astrada, Corrientes"
"Cachi, Salta"
"Caleu Caleu, La Pampa"
"Calingasta, San Juan"
"Campana, Jujuy"
"Candelaria, Misiones"
"Capital, Buenos Aires"
"Catán Lil, Neuquén"
"Chos Malal, Neuquén"
"Choya, Santiago del Estero"
"Concepción, Corrientes"
"Concepción, Misiones"
"Conhelo, La Pampa"
"Copo, Santiago del Estero"
"Coronel de Marina L. Rosales, Jujuy"
"Coronel Pringles, San Luis"
"Curacó, La Pampa"
"El Alto, Catamarca"
"Famatina, La Rioja"
"Florentino Ameghino, Buenos Aires"
"Florentino Ameghino, Chubut"
"Fray Justo Santa María de Oro, Chaco"
"General Belgrano, Chaco"
"General Belgrano, La Rioja"
"General Guido, Jujuy"
"General Ocampo, La Rioja"
"General Paz, Corrientes"
"General Pinto, Buenos Aires"
"General San Martín, La Rioja"
"Graneros, Tucumán"
"Hucal, La Pampa"
"Huiliches, Neuquén"
"Hurlingham, Jujuy"
"Iglesia, San Juan"
"Itatí, Corrientes"
"Jáchal, San Juan"
"Jiménez, Santiago del Estero"
"Juan Bautista Alberdi, Tucumán"
"La Candelaria, Salta"
"La Paz, Catamarca"
"La Poma, Salta"
"Lago Buenos Aires, Santa Cruz"
"Leandro N. Alem, Misiones"
"Libertador General San Martín, San Luis"
"Libertador Grl. San Martín, Misiones"
"Lincoln, Buenos Aires"
"Loreto, Santiago del Estero"
"Loventué, La Pampa"
"Minas, Córdoba"
"Minas, Neuquén"
"Mitre, Santiago del Estero"
"Molinos, Salta"
"Montecarlo, Misiones"
"Moreno, Santiago del Estero"
"Ñorquín, Neuquén"
"Ñorquincó, Río Negro"
"O'Higgins, Chaco"
"Ojo de Agua, Santiago del Estero"
"Paclín, Catamarca"
"Paso de Indios, Chubut"
"Pocho, Córdoba"
"Pomán, Catamarca"
"Puelén, La Pampa"
"Quebrachos, Santiago del Estero"
"Ramón Lista, Formosa"
"Rancul, La Pampa"
"Rivadavia, Buenos Aires"
"Rosario de la Frontera, Salta"
"San Blas de los Sauces, La Rioja"
"San Carlos, Salta"
"San Justo, Santa Fe"
"San Martín, Corrientes"
"San Martín, San Juan"
"San Miguel, Corrientes"
"San Pedro, Misiones"
"San Roque, Corrientes"
"San Salvador, Entre Ríos"
"Santa Rosa, Catamarca"
"Santo Tomé, Corrientes"
"Sarmiento, San Juan"
"Sarmiento, Santiago del Estero"
"Sauce, Corrientes"
"Silípica, Santiago del Estero"
"Sobremonte, Córdoba"
"Tafí del Valle, Tucumán"
"Tapalqué, Buenos Aires"
"Tapenagá, Chaco"
"Tehuelches, Chubut"
"Telsen, Chubut"
"Tinogasta, Catamarca"
"Trenel, La Pampa"
"Tulumba, Córdoba"
"Ullúm, San Juan"
"Valcheta, Río Negro"
"Valle Viejo, Catamarca"
"Vinchina, La Rioja"
"Zonda, San Juan"
