"","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"28/03","518","178","148","51","43","0","0","9"
"29/03","564","206","148","51","49","1","0","9"
"30/03","610","237","138","61","54","1","0","9"
"31/03","637","285","139","64","57","1","0","10"
"01/04","696","320","157","81","59","1","0","10"
"02/04","768","358","172","86","62","1","0","12"
"03/04","824","398","193","100","64","2","0","13"
"04/04","876","408","182","105","65","4","1","13"
"05/04","918","428","188","112","68","5","2","13"
"06/04","945","448","184","113","70","5","2","14"
"07/04","965","464","197","116","73","10","2","15"
"08/04","985","477","206","119","74","16","2","15"
"09/04","1,017","486","204","119","74","20","2","17"
"10/04","1,035","494","209","121","75","28","2","17"
"11/04","1,050","506","216","123","75","30","2","17"
"12/04","1,060","508","221","124","76","47","2","17"
"13/04","1,068","508","222","127","76","50","2","18"
"14/04","1,071","512","227","126","76","67","2","18"
"15/04","1,086","514","220","128","76","80","2","18"
"16/04","1,103","518","222","128","77","84","2","18"
"17/04","1,119","522","221","128","79","96","2","18"
"18/04","1,130","527","224","128","79","97","2","18"
"19/04","1,147","536","226","128","79","107","2","18"
"20/04","1,154","537","218","128","81","112","2","18"
"21/04","1,156","540","222","129","81","117","2","18"
"22/04","1,162","540","222","129","81","117","2","18"
"23/04","1,164","541","221","131","81","120","2","18"
"24/04","1,171","545","215","131","81","120","2","18"
"25/04","1,183","548","215","131","81","120","2","18"
"26/04","1,186","550","218","131","81","124","2","18"
"27/04","1,186","551","220","131","81","128","2","18"
"28/04","1,191","554","217","131","82","131","2","18"
"29/04","1,196","556","218","131","82","135","2","18"
"30/04","1,198","561","216","131","82","136","2","18"
"01/05","1,205","562","216","131","82","137","2","18"
"02/05","1,206","571","217","131","82","137","2","18"
"03/05","1,208","581","219","131","82","137","2","18"
"04/05","1,209","600","221","132","82","137","2","18"
"05/05","1,213","613","226","132","82","137","2","18"
"06/05","1,215","621","226","132","82","139","2","18"
"07/05","1,218","636","226","132","82","139","2","18"
"08/05","1,220","649","225","132","82","139","2","18"
"09/05","1,223","661","225","132","82","140","2","18"
"10/05","1,223","666","225","132","82","140","2","18"
