,05_04_2021,05_05_2021,05_06_2021,05_07_2021,05_08_2021,05_09_2021,05_10_2021,05_11_2021,05_12_2021,05_13_2021,05_14_2021,05_15_2021,05_16_2021,05_17_2021
Westerheim,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Schelklingen,3,1,2,1,1,0,0,0,1,0,0,2,0,0
Laichingen,8,18,6,8,12,2,2,9,13,9,5,2,1,1
Heroldstatt,1,0,2,2,0,1,1,1,2,1,0,1,0,0
Allmendingen,0,1,3,1,0,1,0,0,0,3,1,0,0,0
Blaubeuren,8,4,2,19,2,3,3,2,1,9,1,1,1,1
Merklingen,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Berghülen,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Nellingen,1,1,0,0,0,1,0,0,0,0,1,0,1,1
Altheim,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Öpfingen,2,0,0,3,0,0,0,0,1,0,0,1,0,0
Oberdischingen,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Erbach,6,5,1,1,0,1,2,1,4,0,1,2,0,0
Blaustein,6,8,4,4,1,3,7,5,5,3,1,2,1,1
Dornstadt,1,0,0,1,0,1,0,1,0,2,0,0,0,0
Amstetten,1,2,1,6,0,0,1,2,3,4,2,1,0,0
Lonsee,0,1,1,5,1,0,0,2,0,0,1,2,0,0
Westerstetten,0,0,0,0,1,0,0,0,1,0,3,0,0,0
Beimerstetten,5,0,0,0,0,0,0,0,4,0,0,1,0,0
Weidenstetten,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Staig,4,1,0,0,0,0,0,1,0,1,0,1,0,0
Altheim (Alb),0,2,0,0,0,0,0,0,0,0,0,0,0,0
Holzkirch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breitingen,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Illerkirchberg,3,3,1,0,0,0,0,0,2,0,0,1,0,0
Bernstadt,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Langenau,3,1,6,6,7,1,1,1,5,7,1,2,0,0
Neenstetten,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Börslingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballendorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nerenstetten,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Setzingen,1,0,0,0,0,3,0,0,2,0,0,0,0,0
Öllingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rammingen,0,1,2,0,0,0,0,0,1,0,0,0,0,0
Asselfingen,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Balzheim,5,4,2,0,0,1,2,3,4,0,1,3,0,0
Grundsheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oberstadion,2,1,2,0,0,0,0,0,0,0,0,0,0,0
Emerkingen,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Obermarchtal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unterwachingen,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Unterstadion,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Dietenheim,1,1,0,3,3,0,2,8,4,1,1,1,0,0
Hausen am Bussen,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Ehingen (Donau),7,7,5,4,2,1,2,2,8,3,0,3,6,0
Munderkingen,0,1,0,2,0,0,0,0,0,0,0,0,0,0
Rottenacker,0,3,0,0,1,0,0,3,2,1,0,0,0,0
Untermarchtal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lauterach,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illerrieden,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Schnürpflingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Griesingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hüttisheim,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Emeringen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulm,52,51,54,49,25,12,24,62,75,29,30,24,5,4
