Unnamed: 0,last7,last14,mix,Gemeinde
Westerheim,1,1,1.0,Westerheim
Schelklingen,0,6,0.6,Schelklingen
Laichingen,3,6,3.0,Laichingen
Heroldstatt,1,1,1.0,Heroldstatt
Allmendingen,0,0,0.2,Allmendingen
Blaubeuren,14,26,14.0,Blaubeuren
Merklingen,1,1,1.0,Merklingen
Berghülen,0,0,0.2,Berghülen
Nellingen,0,0,0.2,Nellingen
Altheim (bei Ehingen),0,0,0.2,Altheim (bei Ehingen)
Öpfingen,1,2,1.0,Öpfingen
Oberdischingen,0,0,0.2,Oberdischingen
Erbach,2,5,2.0,Erbach
Blaustein,11,18,11.0,Blaustein
Dornstadt,0,0,0.2,Dornstadt
Amstetten,1,6,1.0,Amstetten
Lonsee,0,0,0.2,Lonsee
Westerstetten,1,2,1.0,Westerstetten
Beimerstetten,1,1,1.0,Beimerstetten
Weidenstetten,1,1,1.0,Weidenstetten
Staig,0,2,0.6,Staig
Altheim (Alb),0,0,0.2,Altheim (Alb)
Holzkirch,0,0,0.2,Holzkirch
Breitingen,0,0,0.2,Breitingen
Illerkirchberg,0,0,0.2,Illerkirchberg
Bernstadt,0,0,0.2,Bernstadt
Langenau,5,14,5.0,Langenau
Neenstetten,0,0,0.2,Neenstetten
Börslingen,0,0,0.2,Börslingen
Ballendorf,0,0,0.2,Ballendorf
Nerenstetten,0,0,0.2,Nerenstetten
Setzingen,0,1,0.6,Setzingen
Öllingen,0,0,0.2,Öllingen
Rammingen,3,3,3.0,Rammingen
Asselfingen,0,0,0.2,Asselfingen
Balzheim,0,0,0.2,Balzheim
Grundsheim,0,0,0.2,Grundsheim
Oberstadion,2,5,2.0,Oberstadion
Emerkingen,0,0,0.2,Emerkingen
Obermarchtal,0,0,0.2,Obermarchtal
Unterwachingen,0,0,0.2,Unterwachingen
Unterstadion,0,1,0.6,Unterstadion
Dietenheim,2,5,2.0,Dietenheim
Hausen am Bussen,0,0,0.2,Hausen am Bussen
Ehingen (Donau),5,17,5.0,Ehingen (Donau)
Munderkingen,0,0,0.2,Munderkingen
Rottenacker,0,0,0.2,Rottenacker
Untermarchtal,0,0,0.2,Untermarchtal
Lauterach,0,0,0.2,Lauterach
Illerrieden,1,2,1.0,Illerrieden
Schnürpflingen,6,6,6.0,Schnürpflingen
Griesingen,0,1,0.6,Griesingen
Hüttisheim,0,0,0.2,Hüttisheim
Emeringen,0,0,0.2,Emeringen
Rechtenstein,0,0,0.2,Rechtenstein
Ulm,43,102,43.0,Ulm
