Gemeinde,AGS
Adelshofen,9571111
Arberg,9571113
Aurach,9571114
Bechhofen,9571115
Bruckberg,9571122
Buch a.Wald,9571125
Burgoberbach,9571127
Burk,9571128
Colmberg,9571130
Dentlein,9571132
Diebach,9571134
Dietenhofen,9571135
Dinkelsbühl,9571136
Dombühl,9571137
Dürrwangen,9571139
Ehingen,9571141
Feuchtwangen,9571145
Flachslanden,9571146
Gebsattel,9571152
Gerolfingen,9571154
Geslau,9571155
Heilsbronn,9571165
Herrieden,9571166
Insingen,9571169
Langfurth,9571170
Lehrberg,9571171
Leutershausen,9571174
Lichtenau,9571175
Merkendorf,9571177
Mitteleschenbach,9571178
Mönchsroth,9571179
Neuendettelsau,9571180
"Neusitz, Mittelfr",9571181
Oberdachstetten,9571183
Ohrenbach,9571188
Ornbau,9571189
Petersaurach,9571190
Röckingen,9571192
Rothenburg ob der Tauber,9571193
Rügland,9571194
Sachsen b. Ansbach,9571196
Schillingsfürst,9571198
Schnelldorf,9571199
Schopfloch,9571200
Steinsfeld,9571205
Unterschwaningen,9571208
Wassertrüdingen,9571214
Weidenbach,9571216
Weihenzell,9571217
Weiltingen,9571218
Wettringen,9571222
Wieseth,9571223
Wilburgstetten,9571224
Windelsbach,9571225
Windsbach,9571226
Wittelshofen,9571227
Wolframs-Eschenbach,9571229
Wörnitz,9571228
Stadt Ansbach,9561000
