Stadt/Markt/Gemeinde,Corona-Fälle gesamt*
Adelshofen,57
Arberg,161
Aurach,215
Bechhofen,589
Bruckberg,124
Buch a.Wald,64
Burgoberbach,250
Burk,153
Colmberg,111
Dentlein,177
Diebach,90
Dietenhofen,339
Dinkelsbühl,1216
Dombühl,256
Dürrwangen,229
Ehingen,307
Feuchtwangen,1272
Flachslanden,149
Gebsattel,139
Gerolfingen,88
Geslau,92
Heilsbronn,709
Herrieden,602
Insingen,81
Langfurth,218
Lehrberg,263
Leutershausen,444
Lichtenau,263
Merkendorf,235
Mitteleschenbach,123
Mönchsroth,127
Neuendettelsau,729
"Neusitz, Mittelfr",139
Oberdachstetten,110
Ohrenbach,32
Ornbau,129
Petersaurach,334
Röckingen,76
Rothenburg ob der Tauber,863
Rügland,95
Sachsen b. Ansbach,214
Schillingsfürst,218
Schnelldorf,357
Schopfloch,295
Steinsfeld,69
Unterschwaningen,90
Wassertrüdingen,722
Weidenbach,193
Weihenzell,186
Weiltingen,134
Wettringen,104
Wieseth,201
Wilburgstetten,186
Windelsbach,79
Windsbach,518
Wittelshofen,107
Wolframs-Eschenbach,194
Wörnitz,155
Landkreis Ansbach gesamt,15672
Stadt Ansbach,3401
