Stadt/Markt/Gemeinde,Vergleich zum 08.04.21
Adelshofen,0
Arberg,0
Aurach,0
Bechhofen,6
Bruckberg,1
Buch a.Wald,0
Burgoberbach,0
Burk,0
Colmberg,0
Dentlein,2
Diebach,0
Dietenhofen,3
Dinkelsbühl,3
Dombühl,10
Dürrwangen,0
Ehingen,0
Feuchtwangen,8
Flachslanden,0
Gebsattel,3
Gerolfingen,0
Geslau,0
Heilsbronn,5
Herrieden,9
Insingen,0
Langfurth,1
Lehrberg,1
Leutershausen,1
Lichtenau,1
Merkendorf,1
Mitteleschenbach,1
Mönchsroth,0
Neuendettelsau,0
"Neusitz, Mittelfr",1
Oberdachstetten,0
Ohrenbach,3
Ornbau,0
Petersaurach,0
Röckingen,0
Rothenburg ob der Tauber,8
Rügland,0
Sachsen b. Ansbach,0
Schillingsfürst,8
Schnelldorf,4
Schopfloch,2
Steinsfeld,0
Unterschwaningen,0
Wassertrüdingen,12
Weidenbach,1
Weihenzell,0
Weiltingen,1
Wettringen,0
Wieseth,2
Wilburgstetten,3
Windelsbach,0
Windsbach,1
Wittelshofen,2
Wolframs-Eschenbach,4
Wörnitz,0
Landkreis Ansbach gesamt,108
Stadt Ansbach,14
