AGS,last7,last14,mix,Gemeinde
9571111,2,4,2.0,Adelshofen
9571113,0,0,0.2,Arberg
9571114,2,4,2.0,Aurach
9571115,21,42,21.0,Bechhofen
9571122,2,4,2.0,Bruckberg
9571125,2,4,2.0,Buch a.Wald
9571127,2,4,2.0,Burgoberbach
9571128,2,4,2.0,Burk
9571130,4,8,4.0,Colmberg
9571132,22,44,22.0,Dentlein
9571134,8,16,8.0,Diebach
9571135,19,38,19.0,Dietenhofen
9571136,31,62,31.0,Dinkelsbühl
9571137,33,66,33.0,Dombühl
9571139,1,2,1.0,Dürrwangen
9571141,12,24,12.0,Ehingen
9571145,38,76,38.0,Feuchtwangen
9571146,0,0,0.2,Flachslanden
9571152,4,8,4.0,Gebsattel
9571154,0,0,0.2,Gerolfingen
9571155,2,4,2.0,Geslau
9571165,17,34,17.0,Heilsbronn
9571166,15,30,15.0,Herrieden
9571169,2,4,2.0,Insingen
9571170,6,12,6.0,Langfurth
9571171,8,16,8.0,Lehrberg
9571174,4,8,4.0,Leutershausen
9571175,0,0,0.2,Lichtenau
9571177,12,24,12.0,Merkendorf
9571178,0,0,0.2,Mitteleschenbach
9571179,2,4,2.0,Mönchsroth
9571180,8,16,8.0,Neuendettelsau
9571181,5,10,5.0,"Neusitz, Mittelfr"
9571183,9,18,9.0,Oberdachstetten
9571188,0,0,0.2,Ohrenbach
9571189,4,8,4.0,Ornbau
9571190,4,8,4.0,Petersaurach
9571192,1,2,1.0,Röckingen
9571193,21,42,21.0,Rothenburg ob der Tauber
9571194,1,2,1.0,Rügland
9571196,6,12,6.0,Sachsen b. Ansbach
9571198,19,38,19.0,Schillingsfürst
9571199,29,58,29.0,Schnelldorf
9571200,2,4,2.0,Schopfloch
9571205,1,2,1.0,Steinsfeld
9571208,3,6,3.0,Unterschwaningen
9571214,28,56,28.0,Wassertrüdingen
9571216,7,14,7.0,Weidenbach
9571217,2,4,2.0,Weihenzell
9571218,4,8,4.0,Weiltingen
9571222,2,4,2.0,Wettringen
9571223,13,26,13.0,Wieseth
9571224,3,6,3.0,Wilburgstetten
9571225,0,0,0.2,Windelsbach
9571226,9,18,9.0,Windsbach
9571227,1,2,1.0,Wittelshofen
9571229,7,14,7.0,Wolframs-Eschenbach
9571228,13,26,13.0,Wörnitz
9561000,73,146,73.0,Stadt Ansbach
