Stadt/Markt/Gemeinde,06.05.2021,05.05.2021,04.05.2021,03.05.2021,02.05.2021,01.05.2021,30.04.2021,29.04.2021,28.04.2021,27.04.2021,26.04.2021,25.04.2021,24.04.2021,23.04.2021
Adelshofen,0,0,0,0,1,0,0,-1,0,0,0,0,0,0
Arberg,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aurach,1,2,1,0,0,0,3,3,3,1,3,0,0,4
Bechhofen,4,0,3,0,4,0,2,3,4,3,0,3,0,4
Bruckberg,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Buch a.Wald,0,0,0,0,0,0,0,0,2,1,0,0,0,0
Burgoberbach,1,0,0,0,1,0,0,0,0,1,0,0,0,1
Burk,0,0,0,0,0,0,0,-1,0,1,0,1,0,0
Colmberg,4,2,1,0,3,0,0,0,1,0,0,0,0,1
Dentlein,0,2,0,0,1,0,0,0,0,0,0,0,0,2
Diebach,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dietenhofen,2,0,0,0,0,0,0,1,0,2,0,1,0,0
Dinkelsbühl,4,4,7,1,2,0,2,3,8,4,1,2,0,2
Dombühl,0,2,0,0,2,0,0,2,0,-3,3,1,0,1
Dürrwangen,1,0,1,0,1,0,0,-1,0,0,0,0,0,0
Ehingen,2,2,-1,2,11,0,3,10,4,0,2,1,0,0
Feuchtwangen,7,4,5,0,8,0,8,6,8,11,2,7,0,8
Flachslanden,0,1,0,1,0,0,0,0,2,1,0,0,0,0
Gebsattel,0,0,0,0,1,0,0,1,0,0,0,0,0,2
Gerolfingen,0,0,0,0,0,0,0,-1,1,0,0,0,0,2
Geslau,0,0,0,0,0,0,0,3,2,0,0,0,0,0
Heilsbronn,4,7,1,0,3,0,4,7,2,2,1,0,0,4
Herrieden,2,0,0,0,6,0,6,2,1,7,1,7,0,2
Insingen,0,0,0,0,2,0,1,-1,0,1,1,0,0,0
Langfurth,2,0,0,0,3,0,1,2,0,0,2,0,0,4
Lehrberg,1,0,0,0,1,0,0,-1,2,2,1,0,0,0
Leutershausen,3,0,0,0,0,0,0,0,0,0,1,0,0,2
Lichtenau,0,2,0,0,0,0,0,2,1,0,1,1,0,1
Merkendorf,0,2,0,0,1,0,0,0,2,1,1,0,0,0
Mitteleschenbach,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mönchsroth,0,2,0,0,1,0,0,0,0,0,2,0,0,1
Neuendettelsau,2,4,0,0,6,0,4,3,6,1,2,-1,0,1
"Neusitz, Mittelfr",0,0,0,0,3,0,1,0,3,0,0,1,0,1
Oberdachstetten,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ohrenbach,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ornbau,0,0,1,0,1,0,0,0,0,0,0,-1,0,1
Petersaurach,0,0,0,0,0,0,0,2,1,0,2,1,0,0
Röckingen,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rothenburg ob der Tauber,1,1,3,0,7,0,4,1,5,5,-1,4,0,5
Rügland,0,0,0,0,0,0,1,2,0,2,1,0,0,0
Sachsen b. Ansbach,0,0,0,0,0,0,0,0,0,1,2,1,0,1
Schillingsfürst,2,0,1,0,1,0,2,0,0,0,0,0,0,0
Schnelldorf,0,2,1,0,1,0,2,2,1,1,1,1,0,5
Schopfloch,1,1,1,0,5,0,0,2,2,0,0,2,0,0
Steinsfeld,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unterschwaningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wassertrüdingen,2,1,1,1,1,0,2,4,-1,5,3,5,0,7
Weidenbach,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Weihenzell,0,0,0,0,0,0,1,2,1,1,0,0,0,0
Weiltingen,1,2,0,0,6,0,0,1,1,3,1,0,0,0
Wettringen,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Wieseth,0,0,0,0,0,0,0,2,0,1,0,1,0,0
Wilburgstetten,1,1,0,0,0,0,0,0,0,1,0,0,0,2
Windelsbach,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Windsbach,2,3,-1,2,6,0,4,0,0,1,0,2,0,6
Wittelshofen,0,0,0,0,0,0,0,0,1,2,2,0,0,1
Wolframs-Eschenbach,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wörnitz,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Landkreis Ansbach gesamt,52,49,25,7,91,0,52,64,65,60,36,42,0,73
Stadt Ansbach,21,7,6,0,16,0,4,15,17,19,5,9,0,20
