AGS,last7,last14,neg_l7,mix,Gemeinde
9571111,5,13,0,5.0,Adelshofen
9571113,10,13,0,10.0,Arberg
9571114,13,25,0,13.0,Aurach
9571115,22,53,0,22.0,Bechhofen
9571122,12,16,0,12.0,Bruckberg
9571125,15,19,0,15.0,Buch a.Wald
9571127,15,25,0,15.0,Burgoberbach
9571128,1,2,0,1.0,Burk
9571130,4,20,0,4.0,Colmberg
9571132,4,8,0,4.0,Dentlein
9571134,8,20,0,8.0,Diebach
9571135,20,48,0,20.0,Dietenhofen
9571136,41,77,0,41.0,Dinkelsbühl
9571137,3,12,0,3.0,Dombühl
9571139,4,8,0,4.0,Dürrwangen
9571141,0,4,-1,0.6,Ehingen
9571145,31,77,0,31.0,Feuchtwangen
9571146,5,12,0,5.0,Flachslanden
9571152,3,5,0,3.0,Gebsattel
9571154,3,6,0,3.0,Gerolfingen
9571155,11,18,0,11.0,Geslau
9571165,24,64,0,24.0,Heilsbronn
9571166,20,59,0,20.0,Herrieden
9571169,14,19,0,14.0,Insingen
9571170,5,9,0,5.0,Langfurth
9571171,5,13,0,5.0,Lehrberg
9571174,26,65,0,26.0,Leutershausen
9571175,8,23,0,8.0,Lichtenau
9571177,14,42,0,14.0,Merkendorf
9571178,8,13,0,8.0,Mitteleschenbach
9571179,2,11,0,2.0,Mönchsroth
9571180,18,49,0,18.0,Neuendettelsau
9571181,5,14,0,5.0,"Neusitz, Mittelfr"
9571183,20,26,0,20.0,Oberdachstetten
9571188,0,1,0,0.6,Ohrenbach
9571189,4,16,0,4.0,Ornbau
9571190,18,24,0,18.0,Petersaurach
9571192,0,4,0,0.6,Röckingen
9571193,19,53,0,19.0,Rothenburg ob der Tauber
9571194,7,19,0,7.0,Rügland
9571196,3,15,0,3.0,Sachsen b. Ansbach
9571198,10,16,0,10.0,Schillingsfürst
9571199,11,36,0,11.0,Schnelldorf
9571200,12,21,0,12.0,Schopfloch
9571205,2,8,0,2.0,Steinsfeld
9571208,2,4,0,2.0,Unterschwaningen
9571214,19,52,0,19.0,Wassertrüdingen
9571216,3,15,0,3.0,Weidenbach
9571217,15,31,0,15.0,Weihenzell
9571218,0,2,0,0.6,Weiltingen
9571222,1,5,0,1.0,Wettringen
9571223,3,10,0,3.0,Wieseth
9571224,5,14,0,5.0,Wilburgstetten
9571225,3,5,0,3.0,Windelsbach
9571226,9,34,0,9.0,Windsbach
9571227,1,4,0,1.0,Wittelshofen
9571229,9,29,0,9.0,Wolframs-Eschenbach
9571228,5,12,0,5.0,Wörnitz
9561000,169,337,0,169.0,Stadt Ansbach
