Gemeinde/Stadt,last7,last14,mix,Gemeinde
Allershausen,9,12,9.0,Allershausen
Attenkirchen,2,5,2.0,Attenkirchen
Au i.d.Hallertau,5,25,5.0,Au i.d.Hallertau
Eching – Oberbayern,10,49,10.0,Eching – Oberbayern
Fahrenzhausen,8,9,8.0,Fahrenzhausen
Freising,41,177,41.0,Freising
Gammelsdorf,4,13,4.0,Gammelsdorf
Haag a.d.Amper,4,7,4.0,Haag a.d.Amper
Hallbergmoos,6,32,6.0,Hallbergmoos
Hohenkammer,0,18,0.6,Hohenkammer
Hörgertshausen,2,4,2.0,Hörgertshausen
Kirchdorf a.d.Amper,2,9,2.0,Kirchdorf a.d.Amper
Kranzberg,6,9,6.0,Kranzberg
Langenbach,2,12,2.0,Langenbach
Marzling,5,11,5.0,Marzling
Mauern,1,11,1.0,Mauern
Moosburg a.d.Isar,20,61,20.0,Moosburg a.d.Isar
Nandlstadt,7,21,7.0,Nandlstadt
Neufahrn b.Freising,25,74,25.0,Neufahrn b.Freising
Paunzhausen,2,5,2.0,Paunzhausen
Rudelzhausen,13,20,13.0,Rudelzhausen
Wang,5,10,5.0,Wang
Wolfersdorf,1,1,1.0,Wolfersdorf
Zolling,2,5,2.0,Zolling
