,AGS,Gemeinde/Stadt,Pos in Qua
0,85391,Allershausen,29
1,85395,Attenkirchen,1
2,84072,Au i.d.Hallertau,11
3,85386,Eching – Oberbayern,29
4,85777,Fahrenzhausen,10
5,85356,Freising,94
6,85408,Gammelsdorf,1
7,85410,Haag a.d.Amper,3
8,85399,Hallbergmoos,14
9,85411,Hohenkammer,0
10,85413,Hörgertshausen,1
11,85414,Kirchdorf a.d.Amper,3
12,85402,Kranzberg,8
13,85416,Langenbach,4
14,85417,Marzling,0
15,85419,Mauern,3
16,85368,Moosburg a.d.Isar,41
17,85405,Nandlstadt,5
18,85376,Neufahrn b.Freising,37
19,85307,Paunzhausen,1
20,84104,Rudelzhausen,3
21,85368,Wang,0
22,85395,Wolfersdorf,5
23,85406,Zolling,3
