AGS,Gemeinde/Stadt,Pos in Qua
85391,Allershausen,15
85395,Attenkirchen,2
84072,Au i.d.Hallertau,20
85386,Eching – Oberbayern,59
85777,Fahrenzhausen,13
85356,Freising,188
85408,Gammelsdorf,3
85410,Haag a.d.Amper,10
85399,Hallbergmoos,42
85411,Hohenkammer,11
85413,Hörgertshausen,3
85414,Kirchdorf a.d.Amper,12
85402,Kranzberg,13
85416,Langenbach,5
85417,Marzling,4
85419,Mauern,2
85368,Moosburg a.d.Isar,37
85405,Nandlstadt,9
85376,Neufahrn b.Freising,36
85307,Paunzhausen,1
84104,Rudelzhausen,12
85368,Wang,6
85395,Wolfersdorf,4
85406,Zolling,7
