Kommune,Infizierte gesamt,Fälle seit Vortagsmeldung
Aschheim,447,1
Aying,193,0
Baierbrunn,124,0
Brunnthal,176,1
Feldkirchen,250,0
Garching,840,0
Gräfelfing,547,0
Grasbrunn,209,0
Grünwald,502,1
Haar,1451,0
Hohenbrunn,252,0
Höhenkirchen-Siegertsbrunn,410,0
Ismaning,668,0
Kirchheim,433,0
Neubiberg,554,2
Neuried,323,1
Oberhaching,622,0
Oberschleißheim,548,0
Ottobrunn,1034,1
Planegg,444,0
Pullach,480,2
Putzbrunn,291,0
Sauerlach,248,0
Schäftlarn,193,0
Straßlach-Dingharting,105,1
Taufkirchen,888,0
Unterföhring,493,0
Unterhaching,988,0
Unterschleißheim,1400,1
