Kommune,Infizierte gesamt,Fälle seit letzter Meldung,Fälle seit Vortagsmeldung
Aschheim,488,1,1
Aying,207,0,0
Baierbrunn,129,0,0
Brunnthal,196,0,0
Feldkirchen,297,2,2
Garching,976,0,0
Gräfelfing,599,1,1
Grasbrunn,232,0,0
Grünwald,538,3,3
Haar,1602,2,2
Hohenbrunn,270,1,1
Höhenkirchen-Siegertsbrunn,449,1,1
Ismaning,742,2,2
Kirchheim,467,1,1
Neubiberg,605,0,0
Neuried,352,3,3
Oberhaching,687,1,1
Oberschleißheim,624,1,1
Ottobrunn,1157,3,3
Planegg,488,0,0
Pullach,519,3,3
Putzbrunn,308,2,2
Sauerlach,282,0,0
Schäftlarn,210,0,0
Straßlach-Dingharting,115,0,0
Taufkirchen,1015,5,5
Unterföhring,541,2,2
Unterhaching,1086,3,3
Unterschleißheim,1614,4,4
