Kommune,AGS
Aschheim,09184112
Aying,09184137
Baierbrunn,09184113
Brunnthal,09184114
Feldkirchen,09184118
Garching,09184119
Gräfelfing,09184120
Grasbrunn,09184121
Grünwald,09184122
Haar,09184123
Hohenbrunn,09184129
Höhenkirchen-Siegertsbrunn,09184127
Ismaning,09184130
Kirchheim,09184131
Neubiberg,09184146
Neuried,09184132
Oberhaching,09184134
Oberschleißheim,09184135
Ottobrunn,09184136
Planegg,09184138
Pullach,09184139
Putzbrunn,09184140
Sauerlach,09184141
Schäftlarn,09184142
Straßlach-Dingharting,09184144
Taufkirchen,09184145
Unterföhring,09184147
Unterhaching,09184148
Unterschleißheim,09184149
