Kommune,05_10_2021,05_11_2021,05_12_2021,05_13_2021,05_14_2021,05_15_2021,05_16_2021,05_17_2021,05_18_2021,05_19_2021,05_20_2021,05_21_2021,05_22_2021,05_23_2021,05_24_2021,05_25_2021,05_26_2021,05_27_2021,05_28_2021,05_29_2021,05_30_2021,05_31_2021,06_01_2021,06_02_2021,06_03_2021,06_04_2021,06_05_2021,06_06_2021,06_07_2021,06_08_2021,06_09_2021,06_10_2021,06_11_2021,06_12_2021,06_13_2021,06_14_2021,06_15_2021,06_16_2021,06_17_2021,06_18_2021,06_19_2021,06_21_2021,06_22_2021,06_23_2021,06_24_2021,06_25_2021,06_28_2021,06_29_2021,06_30_2021,07_01_2021,07_02_2021,07_05_2021,07_06_2021,07_07_2021,07_08_2021,07_09_2021,07_12_2021,07_13_2021,07_14_2021,07_15_2021,07_16_2021,07_19_2021,07_20_2021,07_21_2021,07_22_2021,07_23_2021,07_26_2021,07_27_2021,07_28_2021,07_29_2021,07_30_2021,08_02_2021,08_03_2021,08_04_2021,08_05_2021,08_06_2021,08_09_2021,08_10_2021,08_11_2021,08_12_2021,08_13_2021,08_16_2021,08_17_2021,08_18_2021,08_19_2021,08_20_2021,08_23_2021,08_24_2021,08_25_2021,08_26_2021,08_27_2021,08_30_2021,08_31_2021,09_01_2021,09_02_2021,09_03_2021,09_06_2021,09_07_2021,09_08_2021,09_09_2021,09_10_2021,09_13_2021,09_14_2021,09_15_2021,09_16_2021,09_17_2021,09_20_2021,09_21_2021,09_22_2021,09_23_2021,09_24_2021,09_27_2021,09_28_2021,09_29_2021,09_30_2021,10_01_2021,10_04_2021,10_05_2021,10_06_2021,10_07_2021,10_08_2021,10_11_2021,10_12_2021,10_13_2021,10_14_2021,10_15_2021,10_18_2021,10_19_2021,10_20_2021,10_21_2021,10_22_2021,10_25_2021,10_26_2021,10_27_2021,10_28_2021,10_29_2021,11_01_2021,11_02_2021,11_03_2021,11_04_2021,11_05_2021,11_08_2021,11_09_2021,11_10_2021,11_11_2021,11_12_2021,11_15_2021,11_16_2021,11_17_2021,11_18_2021,11_19_2021,11_22_2021,11_23_2021,11_24_2021,11_25_2021,11_26_2021,11_29_2021,11_30_2021,12_01_2021,12_02_2021,12_03_2021,12_06_2021,12_07_2021,12_08_2021,12_09_2021,12_10_2021,12_13_2021,12_14_2021,12_15_2021,12_16_2021,12_17_2021,12_20_2021,12_21_2021,12_22_2021,12_23_2021,12_24_2021,12_27_2021,12_28_2021,12_29_2021,12_30_2021,12_31_2021,01_03_2022,01_04_2022,01_05_2022,01_06_2022,01_07_2022,01_10_2022,01_11_2022,01_12_2022,01_13_2022,01_14_2022,01_17_2022,01_18_2022,01_19_2022,01_20_2022,01_21_2022,01_24_2022,01_25_2022,01_26_2022,01_27_2022,01_28_2022,02_01_2022,02_02_2022,02_03_2022,02_04_2022,02_08_2022,02_09_2022
Aschheim,5,1,0,0,0,0,0,0,1,1,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,3,1,0,3,1,1,2,1,0,0,4,2,1,0,0,3,1,2,0,0,2,3,1,1,1,6,1,6,1,6,6,7,1,2,5,2,2,0,6,2,5,3,1,4,0,0,5,0,1,1,0,2,4,1,3,3,7,5,3,3,11,11,12,5,11,14,8,7,10,17,15,8,14,15,8,14,8,11,10,2,16,8,5,3,2,6,7,2,5,1,3,4,2,1,1,5,10,1,8,8,16,3,2,2,7,38,23,12,12,2,24,28,44,27,25,28,36,30,21,37,94,36,59,31,46,29
Aying,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,2,3,7,1,2,1,2,3,3,3,2,0,3,1,1,4,1,1,3,2,4,5,2,2,5,2,3,4,5,5,2,1,11,3,3,6,7,4,5,6,6,3,4,4,10,4,7,5,5,8,3,3,8,3,7,6,1,3,4,5,3,3,4,2,3,0,4,2,2,5,2,2,1,1,4,5,3,3,12,10,16,14,6,16,7,12,21,23,38,29,7,31,18,17,44,22,24,21,20,23
Baierbrunn,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,1,1,2,1,1,2,0,0,1,1,2,4,2,2,2,3,8,5,7,11,1,5,3,0,4,1,6,3,1,4,1,3,4,2,4,2,0,1,2,3,2,0,0,0,2,1,0,0,0,6,4,2,2,8,9,6,2,4,5,3,6,14,15,8,12,12,7,5,14,15,3,4,3,1,6
Brunnthal,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,1,0,0,1,1,0,0,3,2,1,0,1,4,0,2,0,1,0,0,1,1,1,4,4,3,5,9,5,7,6,3,11,3,14,4,6,8,6,4,13,4,4,2,0,4,4,3,2,13,2,2,6,3,2,1,3,5,0,3,2,2,9,1,5,4,4,10,6,2,2,10,5,9,8,16,3,11,9,26,15,9,26,18,21,12,11,22,26,33,12,11,17
Feldkirchen,0,1,1,0,0,3,0,3,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,5,0,1,5,1,2,0,2,2,2,3,1,2,2,0,4,1,0,3,2,2,4,1,4,0,7,3,0,2,1,0,0,1,0,0,0,4,2,4,0,3,1,3,1,3,0,2,4,5,5,5,5,4,5,5,14,6,6,7,4,11,4,13,9,9,8,7,7,7,6,10,9,14,6,2,5,8,2,3,0,6,2,0,0,1,6,4,3,4,4,4,2,4,0,0,17,3,3,3,14,19,8,12,14,2,16,20,43,16,25,42,20,40,13,22,47,36,33,33,38,35
Garching,2,0,1,0,0,3,0,0,3,1,2,0,3,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,3,2,1,0,0,0,0,0,1,1,2,2,5,0,5,7,3,5,4,2,2,0,11,13,5,4,6,4,3,4,4,3,13,1,10,3,0,9,3,3,2,1,5,5,6,1,3,4,5,1,3,2,4,3,6,5,1,6,4,1,5,3,7,13,8,5,5,5,16,11,3,5,7,6,10,10,9,41,11,14,25,11,28,11,25,18,13,17,13,14,14,8,27,12,11,17,8,18,10,3,14,3,12,12,6,4,4,11,6,4,10,10,19,6,11,11,37,43,36,20,58,12,42,39,67,39,28,59,32,48,39,58,133,68,87,43,34,70
Gräfelfing,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,2,1,0,1,1,0,2,0,0,1,1,0,3,0,0,0,0,0,3,3,0,2,1,1,2,1,6,1,2,1,0,2,1,3,0,1,2,1,2,4,6,8,7,5,6,1,8,3,1,0,0,1,4,2,2,1,3,3,1,1,6,4,7,11,5,9,9,10,7,4,11,24,9,13,9,13,16,9,19,14,22,26,11,12,14,12,27,10,18,3,15,19,9,11,11,9,11,5,6,3,7,3,7,9,4,4,5,8,8,3,3,18,11,13,13,26,33,35,39,9,15,23,50,80,65,29,63,48,66,38,54,73,84,66,62,45,31
Grasbrunn,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,1,1,1,3,1,3,0,0,2,1,0,0,0,4,0,2,3,1,2,1,3,1,0,0,1,0,0,0,2,0,3,1,2,4,0,4,6,0,0,2,2,3,3,13,6,9,9,7,8,1,6,2,6,10,3,3,2,0,8,4,2,0,3,4,0,0,0,1,1,1,0,1,4,3,4,4,0,0,8,1,0,2,2,6,4,4,4,11,22,12,15,7,6,14,25,30,25,26,42,28,28,4,10,39,16,23,11,14,17
Grünwald,0,2,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,1,4,1,1,2,1,1,5,1,1,0,3,0,2,2,1,0,1,0,1,0,1,4,2,0,2,1,1,0,2,4,1,2,4,3,4,2,3,5,3,2,3,3,3,1,4,9,10,5,15,5,6,11,2,9,11,15,24,9,14,21,7,16,8,22,11,10,7,9,4,6,3,6,5,4,11,3,8,6,0,5,5,11,6,13,6,6,14,9,20,20,21,38,19,35,25,19,38,19,60,33,47,36,12,14,19,22,51,40,31,31,18,28
Haar,1,5,3,0,0,3,0,1,1,5,1,0,2,0,2,3,3,4,1,3,1,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,1,2,1,1,0,0,0,3,1,0,1,3,2,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0,2,1,1,6,0,1,3,1,11,9,7,5,3,7,3,4,6,7,11,2,3,7,5,8,3,8,3,2,15,5,3,1,3,13,5,3,7,6,12,4,3,1,5,5,1,6,3,4,9,5,13,2,10,3,2,6,3,8,8,11,10,1,13,27,20,12,19,14,30,8,29,14,20,38,17,14,8,14,36,18,16,10,9,33,13,7,11,8,15,6,7,7,11,6,10,4,5,5,22,8,2,2,2,26,9,11,11,24,38,26,28,14,9,41,86,88,70,70,137,97,121,47,45,176,95,95,54,67,71
