Gemeinde,AGS
Angermünde,12073008
Prenzlau,12073452
Schwedt/Oder,12073532
Templin,12073572
Lychen,12073384
Boitzenburger Land,12073069
Nordwestuckermark,12073429
Uckerland,12073579
Brüssow,12073085
Gartz (Oder),12073189
Gerswalde,12073201
Gramzow,12073225
Carmzow-Wallmow,12073093
Göritz,12073216
Schenkenberg,12073490
Schönfeld,12073520
Flieth-Stegelitz,12073157
Milmersdorf,12073396
Mittenwalde,12073404
Temmen-Ringenwalde,12073569
Berkholz-Meyenburg,12073032
Mark Landin,12073386
Passow,12073603
Pinnow,12073440
Casekow,12073097
Hohenselchow-Groß Pinnow,12073309
Mescherin,12073393
Tantow,12073565
Grünow,12073261
Oberuckersee,12073430
Randowtal,12073458
Uckerfelde,12073578
Zichow,12073645
