,2/15/2021,2/16/2021,2/17/2021,2/18/2021,2/19/2021,2/20/2021,2/21/2021,2/22/2021,2/23/2021,2/24/2021,2/25/2021,2/26/2021,2/27/2021,2/28/2021,3/1/2021,3/2/2021,3/3/2021,3/4/2021,3/5/2021,3/6/2021,3/7/2021,3/8/2021,3/9/2021,3/10/2021,3/11/2021,3/12/2021,3/13/2021,3/14/2021,3/15/2021,3/16/2021,3/17/2021,3/18/2021,3/19/2021,3/20/2021,3/21/2021,3/22/2021,3/23/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/29/2021,3/30/2021,3/31/2021,4/1/2021
Stadt Angermünde,3,3,3,9,1,0,0,5,0,1,1,0,2,0,1,1,1,2,1,0,0,0,1,0,0,1,0,2,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Stadt Prenzlau,4,2,3,1,0,0,0,2,0,2,2,3,1,0,4,0,6,5,1,0,0,5,0,0,0,0,0,1,0,0,1,2,2,0,0,1,0,3,4,4,0,0,11,-1,6,0
Stadt Schwedt (Oder),4,8,0,1,0,0,0,0,0,0,1,3,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,3,2,2,0,0,2,0,5,3,1,0,0,2,0,1,0
Stadt Templin,11,2,0,2,2,0,0,1,0,1,1,1,1,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,3,1,1,0,0,4,-1,0,0
Stadt Lychen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,0,0,0,0,0,1,1,1,0,0,3,0,0,0
Gemeinde Boitzenburger Land,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
Gemeinde Nordwestuckermark,2,0,2,0,0,0,0,2,0,0,2,1,1,0,4,1,0,2,0,0,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gemeinde Uckerland,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Amt Brüssow,1,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0
Amt Gartz (Oder),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,3,0,0,1,0,5,1,5,0,0,1,0,5,0
Amt Gerswalde,2,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Amt Gramzow,0,1,0,1,1,0,0,2,0,0,0,6,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,1,0,1,3,2,3,0,0,1,1,0,1,0,0,0,5,0,1,0
Amt Oder-Welse,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
