AGS,sum_14,Gemeinde,sum_7,mix
12073008,10,Angermünde,8,8.0
12073452,6,Prenzlau,6,6.0
12073532,11,Schwedt/Oder,9,9.0
12073572,6,Templin,6,6.0
12073384,5,Lychen,5,5.0
12073069,0,Boitzenburger Land,0,0.2
12073429,5,Nordwestuckermark,3,3.0
12073579,2,Uckerland,1,1.0
12073085,2,Brüssow,0,0.6
12073189,8,Gartz (Oder),6,6.0
12073201,0,Gerswalde,0,0.2
12073225,12,Gramzow,10,10.0
12073093,2,Carmzow-Wallmow,0,0.6
12073216,2,Göritz,0,0.6
12073490,2,Schenkenberg,0,0.6
12073520,2,Schönfeld,0,0.6
12073157,0,Flieth-Stegelitz,0,0.2
12073396,0,Milmersdorf,0,0.2
12073404,0,Mittenwalde,0,0.2
12073569,0,Temmen-Ringenwalde,0,0.2
12073032,2,Berkholz-Meyenburg,2,2.0
12073386,2,Mark Landin,2,2.0
12073603,2,Passow,2,2.0
12073440,2,Pinnow,2,2.0
12073097,8,Casekow,6,6.0
12073309,8,Hohenselchow-Groß Pinnow,6,6.0
12073393,8,Mescherin,6,6.0
12073565,8,Tantow,6,6.0
12073261,12,Grünow,10,10.0
12073430,12,Oberuckersee,10,10.0
12073458,12,Randowtal,10,10.0
12073578,12,Uckerfelde,10,10.0
12073645,12,Zichow,10,10.0
