AGS,sum_7,Gemeinde
12073008,45,Angermünde
12073452,48,Prenzlau
12073532,156,Schwedt/Oder
12073572,25,Templin
12073384,4,Lychen
12073069,7,Boitzenburger Land
12073429,15,Nordwestuckermark
12073579,24,Uckerland
12073085,19,Brüssow
12073189,26,Gartz (Oder)
12073201,6,Gerswalde
12073225,29,Gramzow
12073093,19,Carmzow-Wallmow
12073216,19,Göritz
12073490,19,Schenkenberg
12073520,19,Schönfeld
12073157,6,Flieth-Stegelitz
12073396,6,Milmersdorf
12073404,6,Mittenwalde
12073569,6,Temmen-Ringenwalde
12073032,45,Berkholz-Meyenburg
12073386,45,Mark Landin
12073603,45,Passow
12073440,45,Pinnow
12073097,26,Casekow
12073309,26,Hohenselchow-Groß Pinnow
12073393,26,Mescherin
12073565,26,Tantow
12073261,29,Grünow
12073430,29,Oberuckersee
12073458,29,Randowtal
12073578,29,Uckerfelde
12073645,29,Zichow
