AGS,last7,last14,mix,Gemeinde
06531001,1.0,1.0,1.0,Allendorf (Lumda)
06531002,3.0,7.0,3.0,Biebertal
06531003,3.0,20.0,3.0,Buseck
06531004,1.0,10.0,1.0,Fernwald
06531005,118.0,227.0,118.0,Gießen
06531006,6.0,11.0,6.0,Grünberg
06531007,7.0,17.0,7.0,Heuchelheim
06531008,8.0,14.0,8.0,Hungen
06531009,5.0,16.0,5.0,Langgöns
06531010,1.0,1.0,1.0,Laubach
06531011,5.0,13.0,5.0,Lich
06531012,12.0,23.0,12.0,Linden
06531013,12.0,20.0,12.0,Lollar
06531014,21.0,37.0,21.0,Pohlheim
06531015,1.0,1.0,1.0,Rabenau
06531016,5.0,14.0,5.0,Reiskirchen
06531017,3.0,8.0,3.0,Staufenberg
06531018,10.0,17.0,10.0,Wettenberg
