AGS,Gemeinde,Einwohner,7-Tage-Inzidenz,last7
06531001,Allendorf (Lumda),4067,1106.5,45.0
06531002,Biebertal,10048,597.1,60.0
06531003,Buseck,12879,729.9,94.0
06531004,Fernwald,6911,1056.3,73.0
06531005,Gießen,89802,1592.4,1430.0
06531006,Grünberg,13612,551.0,75.0
06531007,Heuchelheim,7819,869.7,68.0
06531008,Hungen,12596,404.9,51.0
06531009,Langgöns,11690,547.5,64.0
06531010,Laubach,9598,698.1,67.0
06531011,Lich,13795,608.9,84.0
06531012,Linden,13091,1008.3,132.0
06531013,Lollar,10309,1387.1,143.0
06531014,Pohlheim,18138,920.7,167.0
06531015,Rabenau,5036,893.6,45.0
06531016,Reiskirchen,10248,663.5,68.0
06531017,Staufenberg,8471,1357.6,115.0
06531018,Wettenberg,12578,803.0,101.0
