,neu,Datum
Aachen,null,08_05_2020
Aachen,2,08_06_2020
Aachen,5,08_07_2020
Aachen,0,08_08_2020
Aachen,0,08_09_2020
Aachen,8,08_10_2020
Aachen,-1,08_11_2020
Aachen,3,08_12_2020
Aachen,7,08_13_2020
Aachen,11,08_14_2020
Aachen,0,08_15_2020
Aachen,0,08_16_2020
Aachen,5,08_17_2020
Aachen,0,08_18_2020
Aachen,4,08_19_2020
Aachen,6,08_20_2020
Aachen,2,08_21_2020
Aachen,0,08_22_2020
Aachen,0,08_23_2020
Aachen,12,08_24_2020
Aachen,2,08_25_2020
Aachen,3,08_26_2020
Aachen,5,08_27_2020
Aachen,4,08_28_2020
Aachen,0,08_29_2020
Aachen,0,08_30_2020
Aachen,4,08_31_2020
Aachen,5,09_01_2020
Aachen,2,09_02_2020
Aachen,6,09_03_2020
Aachen,4,09_04_2020
Aachen,0,09_05_2020
Aachen,0,09_06_2020
Aachen,3,09_07_2020
Aachen,2,09_08_2020
Aachen,5,09_09_2020
Aachen,7,09_10_2020
Aachen,8,09_11_2020
Aachen,0,09_12_2020
Aachen,0,09_13_2020
Aachen,14,09_14_2020
Aachen,10,09_15_2020
Aachen,14,09_16_2020
Aachen,8,09_17_2020
Aachen,16,09_18_2020
Aachen,0,09_19_2020
Aachen,0,09_20_2020
Aachen,4,09_21_2020
Aachen,9,09_22_2020
Aachen,7,09_23_2020
Aachen,11,09_24_2020
Aachen,14,09_25_2020
Aachen,0,09_26_2020
Aachen,0,09_27_2020
Aachen,32,09_28_2020
Aachen,8,09_29_2020
Aachen,9,09_30_2020
Aachen,29,10_01_2020
Aachen,24,10_02_2020
Aachen,0,10_03_2020
Aachen,42,10_04_2020
Aachen,2,10_05_2020
Aachen,6,10_06_2020
Aachen,23,10_07_2020
Aachen,28,10_08_2020
Aachen,19,10_09_2020
Aachen,43,10_10_2020
Aachen,22,10_11_2020
Aachen,4,10_12_2020
Aachen,10,10_13_2020
Aachen,32,10_14_2020
Aachen,46,10_15_2020
Aachen,57,10_16_2020
Aachen,56,10_17_2020
Aachen,0,10_18_2020
Aachen,53,10_19_2020
Aachen,17,10_20_2020
Aachen,39,10_21_2020
Aachen,79,10_22_2020
Aachen,58,10_23_2020
Aachen,81,10_24_2020
Aachen,0,10_25_2020
Aachen,140,10_26_2020
Aachen,26,10_27_2020
Aachen,44,10_28_2020
Aachen,75,10_29_2020
Aachen,115,10_30_2020
Aachen,120,10_31_2020
Aachen,69,11_01_2020
Aachen,-2,11_02_2020
Aachen,44,11_03_2020
Aachen,42,11_04_2020
Aachen,88,11_05_2020
Aachen,84,11_06_2020
Aachen,159,11_07_2020
Aachen,43,11_08_2020
Aachen,34,11_09_2020
Aachen,55,11_10_2020
Aachen,87,11_11_2020
Aachen,82,11_12_2020
Aachen,135,11_13_2020
Aachen,0,11_14_2020
Aachen,181,11_15_2020
Aachen,5,11_16_2020
Aachen,30,11_17_2020
Aachen,72,11_18_2020
Aachen,110,11_19_2020
Aachen,45,11_20_2020
Aachen,0,11_21_2020
Aachen,0,11_22_2020
Aachen,153,11_23_2020
Aachen,65,11_24_2020
Aachen,67,11_25_2020
Aachen,15,11_26_2020
Aachen,84,11_27_2020
Aachen,84,11_28_2020
Aachen,12,11_29_2020
Aachen,20,11_30_2020
Aachen,46,12_01_2020
Aachen,63,12_02_2020
Aachen,77,12_03_2020
Aachen,56,12_04_2020
Aachen,58,12_05_2020
Aachen,26,12_06_2020
Aachen,12,12_07_2020
Aachen,49,12_08_2020
Aachen,112,12_09_2020
Aachen,39,12_10_2020
Aachen,100,12_11_2020
Aachen,60,12_12_2020
Aachen,13,12_13_2020
Aachen,29,12_14_2020
Aachen,69,12_15_2020
Aachen,90,12_16_2020
Aachen,58,12_17_2020
Aachen,96,12_18_2020
Aachen,69,12_19_2020
Aachen,39,12_20_2020
Aachen,28,12_21_2020
Aachen,28,12_22_2020
Aachen,113,12_23_2020
Aachen,115,12_24_2020
Aachen,34,12_25_2020
Aachen,24,12_26_2020
Aachen,38,12_27_2020
Aachen,32,12_28_2020
Aachen,63,12_29_2020
Aachen,56,12_30_2020
Aachen,58,12_31_2020
Aachen,10,01_01_2021
Aachen,14,01_02_2021
Aachen,53,01_03_2021
Aachen,-9,01_04_2021
Aachen,36,01_05_2021
Aachen,80,01_06_2021
Aachen,76,01_07_2021
Aachen,69,01_08_2021
Aachen,40,01_09_2021
Aachen,9,01_10_2021
Aachen,8,01_11_2021
Aachen,32,01_12_2021
Aachen,42,01_13_2021
Aachen,24,01_14_2021
Aachen,36,01_15_2021
Aachen,30,01_16_2021
Aachen,9,01_17_2021
Aachen,2,01_18_2021
Aachen,47,01_19_2021
Aachen,11,01_20_2021
Aachen,23,01_21_2021
Aachen,39,01_22_2021
Aachen,42,01_23_2021
Aachen,17,01_24_2021
Aachen,9,01_25_2021
Aachen,27,01_26_2021
Aachen,46,01_27_2021
Aachen,43,01_28_2021
Aachen,33,01_29_2021
Aachen,34,01_30_2021
Aachen,3,01_31_2021
Aachen,0,02_01_2021
Aachen,22,02_02_2021
Aachen,33,02_03_2021
Aachen,24,02_04_2021
Aachen,19,02_05_2021
Aachen,41,02_06_2021
Aachen,5,02_07_2021
Aachen,5,02_08_2021
Aachen,49,02_09_2021
Aachen,31,02_10_2021
Aachen,36,02_11_2021
Aachen,18,02_12_2021
Aachen,0,02_13_2021
Aachen,22,02_14_2021
Aachen,2,02_15_2021
Aachen,13,02_16_2021
Aachen,19,02_17_2021
Aachen,8,02_18_2021
Aachen,10,02_19_2021
Aachen,28,02_20_2021
Aachen,2,02_21_2021
Aachen,0,02_22_2021
Aachen,29,02_23_2021
Aachen,18,02_24_2021
Aachen,16,02_25_2021
Aachen,11,02_26_2021
Aachen,9,02_27_2021
Aachen,3,02_28_2021
Aachen,-1,03_01_2021
Aachen,36,03_02_2021
Aachen,58,03_03_2021
Aachen,26,03_04_2021
Aachen,33,03_05_2021
Aachen,29,03_06_2021
Aachen,9,03_07_2021
Aachen,2,03_08_2021
Aachen,39,03_09_2021
Aachen,32,03_10_2021
Aachen,37,03_11_2021
Aachen,47,03_12_2021
Aachen,24,03_13_2021
Aachen,18,03_14_2021
Aachen,1,03_15_2021
Aachen,52,03_16_2021
Aachen,81,03_17_2021
Aachen,68,03_18_2021
Aachen,62,03_19_2021
Aachen,23,03_20_2021
Aachen,18,03_21_2021
Aachen,2,03_22_2021
Aachen,44,03_23_2021
Aachen,101,03_24_2021
Aachen,46,03_25_2021
Aachen,19,03_26_2021
Aachen,46,03_27_2021
Aachen,6,03_28_2021
Aachen,8,03_29_2021
Aachen,32,03_30_2021
Aachen,73,03_31_2021
Aachen,90,04_01_2021
Aachen,47,04_02_2021
Aachen,9,04_03_2021
Aachen,9,04_04_2021
Aachen,37,04_05_2021
Aachen,6,04_06_2021
Aachen,105,04_07_2021
Aachen,32,04_08_2021
Aachen,62,04_09_2021
Aachen,44,04_10_2021
Aachen,22,04_11_2021
Aachen,7,04_12_2021
Aachen,89,04_13_2021
Aachen,69,04_14_2021
Aachen,39,04_15_2021
Aachen,84,04_16_2021
Aachen,41,04_17_2021
Aachen,18,04_18_2021
Aachen,40,04_19_2021
Aachen,80,04_20_2021
Aachen,93,04_21_2021
Aachen,81,04_22_2021
Aachen,80,04_23_2021
Aachen,75,04_24_2021
Aachen,21,04_25_2021
Aachen,12,04_26_2021
Aachen,55,04_27_2021
Aachen,103,04_28_2021
Aachen,76,04_29_2021
Aachen,66,04_30_2021
Aachen,45,05_01_2021
Aachen,20,05_02_2021
Aachen,33,05_03_2021
Aachen,66,05_04_2021
Aachen,45,05_05_2021
Aachen,41,05_06_2021
Aachen,43,05_07_2021
Aachen,57,05_08_2021
Aachen,14,05_09_2021
Aachen,17,05_10_2021
Aachen,44,05_11_2021
Aachen,68,05_12_2021
Aachen,74,05_13_2021
Aachen,43,05_14_2021
Aachen,40,05_15_2021
Aachen,27,05_16_2021
Aachen,41,05_17_2021
Aachen,54,05_18_2021
Aachen,41,05_19_2021
Aachen,32,05_20_2021
Aachen,29,05_21_2021
Aachen,32,05_22_2021
Aachen,3,05_23_2021
Aachen,4,05_24_2021
Aachen,11,05_25_2021
Aachen,24,05_26_2021
Aachen,26,05_27_2021
Aachen,14,05_28_2021
Aachen,22,05_29_2021
Aachen,0,05_30_2021
Aachen,10,05_31_2021
Aachen,13,06_01_2021
Aachen,10,06_02_2021
Aachen,4,06_03_2021
Aachen,4,06_04_2021
Aachen,4,06_05_2021
Aachen,1,06_06_2021
Aachen,1,06_07_2021
Aachen,5,06_08_2021
Aachen,6,06_09_2021
Aachen,0,06_10_2021
Aachen,4,06_11_2021
Aachen,0,06_12_2021
Aachen,0,06_13_2021
Aachen,3,06_14_2021
Alsdorf,null,08_05_2020
Alsdorf,1,08_06_2020
Alsdorf,0,08_07_2020
Alsdorf,0,08_08_2020
Alsdorf,0,08_09_2020
Alsdorf,1,08_10_2020
Alsdorf,1,08_11_2020
Alsdorf,1,08_12_2020
Alsdorf,0,08_13_2020
Alsdorf,0,08_14_2020
Alsdorf,0,08_15_2020
Alsdorf,0,08_16_2020
Alsdorf,1,08_17_2020
Alsdorf,0,08_18_2020
Alsdorf,1,08_19_2020
Alsdorf,2,08_20_2020
Alsdorf,3,08_21_2020
Alsdorf,0,08_22_2020
Alsdorf,0,08_23_2020
Alsdorf,4,08_24_2020
Alsdorf,0,08_25_2020
Alsdorf,0,08_26_2020
Alsdorf,0,08_27_2020
Alsdorf,4,08_28_2020
Alsdorf,0,08_29_2020
Alsdorf,0,08_30_2020
Alsdorf,0,08_31_2020
Alsdorf,2,09_01_2020
Alsdorf,1,09_02_2020
Alsdorf,0,09_03_2020
Alsdorf,0,09_04_2020
Alsdorf,0,09_05_2020
Alsdorf,0,09_06_2020
Alsdorf,1,09_07_2020
Alsdorf,0,09_08_2020
Alsdorf,2,09_09_2020
Alsdorf,1,09_10_2020
Alsdorf,2,09_11_2020
Alsdorf,0,09_12_2020
Alsdorf,0,09_13_2020
Alsdorf,5,09_14_2020
Alsdorf,1,09_15_2020
Alsdorf,3,09_16_2020
Alsdorf,4,09_17_2020
Alsdorf,4,09_18_2020
Alsdorf,0,09_19_2020
Alsdorf,0,09_20_2020
Alsdorf,12,09_21_2020
Alsdorf,1,09_22_2020
Alsdorf,4,09_23_2020
Alsdorf,6,09_24_2020
Alsdorf,4,09_25_2020
Alsdorf,0,09_26_2020
Alsdorf,0,09_27_2020
Alsdorf,13,09_28_2020
Alsdorf,0,09_29_2020
Alsdorf,1,09_30_2020
Alsdorf,7,10_01_2020
Alsdorf,2,10_02_2020
Alsdorf,0,10_03_2020
Alsdorf,9,10_04_2020
Alsdorf,0,10_05_2020
Alsdorf,0,10_06_2020
Alsdorf,8,10_07_2020
Alsdorf,6,10_08_2020
Alsdorf,7,10_09_2020
Alsdorf,12,10_10_2020
Alsdorf,3,10_11_2020
Alsdorf,1,10_12_2020
Alsdorf,1,10_13_2020
Alsdorf,7,10_14_2020
Alsdorf,16,10_15_2020
Alsdorf,11,10_16_2020
Alsdorf,14,10_17_2020
Alsdorf,0,10_18_2020
Alsdorf,23,10_19_2020
Alsdorf,1,10_20_2020
Alsdorf,9,10_21_2020
Alsdorf,21,10_22_2020
Alsdorf,29,10_23_2020
Alsdorf,25,10_24_2020
Alsdorf,0,10_25_2020
Alsdorf,25,10_26_2020
Alsdorf,8,10_27_2020
Alsdorf,18,10_28_2020
Alsdorf,23,10_29_2020
Alsdorf,23,10_30_2020
Alsdorf,36,10_31_2020
Alsdorf,17,11_01_2020
Alsdorf,-1,11_02_2020
Alsdorf,8,11_03_2020
Alsdorf,15,11_04_2020
Alsdorf,25,11_05_2020
Alsdorf,27,11_06_2020
Alsdorf,41,11_07_2020
Alsdorf,12,11_08_2020
Alsdorf,1,11_09_2020
Alsdorf,13,11_10_2020
Alsdorf,27,11_11_2020
Alsdorf,22,11_12_2020
Alsdorf,31,11_13_2020
Alsdorf,0,11_14_2020
Alsdorf,46,11_15_2020
Alsdorf,0,11_16_2020
Alsdorf,2,11_17_2020
Alsdorf,19,11_18_2020
Alsdorf,18,11_19_2020
Alsdorf,12,11_20_2020
Alsdorf,0,11_21_2020
Alsdorf,0,11_22_2020
Alsdorf,44,11_23_2020
Alsdorf,14,11_24_2020
Alsdorf,12,11_25_2020
Alsdorf,3,11_26_2020
Alsdorf,14,11_27_2020
Alsdorf,20,11_28_2020
Alsdorf,2,11_29_2020
Alsdorf,2,11_30_2020
Alsdorf,19,12_01_2020
Alsdorf,13,12_02_2020
Alsdorf,10,12_03_2020
Alsdorf,5,12_04_2020
Alsdorf,9,12_05_2020
Alsdorf,2,12_06_2020
Alsdorf,3,12_07_2020
Alsdorf,6,12_08_2020
Alsdorf,11,12_09_2020
Alsdorf,2,12_10_2020
Alsdorf,14,12_11_2020
Alsdorf,6,12_12_2020
Alsdorf,9,12_13_2020
Alsdorf,5,12_14_2020
Alsdorf,18,12_15_2020
Alsdorf,11,12_16_2020
Alsdorf,14,12_17_2020
Alsdorf,17,12_18_2020
Alsdorf,13,12_19_2020
Alsdorf,9,12_20_2020
Alsdorf,3,12_21_2020
Alsdorf,20,12_22_2020
Alsdorf,19,12_23_2020
Alsdorf,19,12_24_2020
Alsdorf,2,12_25_2020
Alsdorf,4,12_26_2020
Alsdorf,9,12_27_2020
Alsdorf,9,12_28_2020
