,last7,last14,mix,Gemeinde
Kreis Borken,913,1457,913.0,Kreis Borken
Ahaus,181,248,181.0,Ahaus
Bocholt,109,209,109.0,Bocholt
Borken,82,142,82.0,Borken
Gescher,13,31,13.0,Gescher
Gronau (Westf.),128,199,128.0,Gronau (Westf.)
Heek,28,54,28.0,Heek
Heiden,3,6,3.0,Heiden
Isselburg,6,12,6.0,Isselburg
Legden,11,16,11.0,Legden
Raesfeld,7,23,7.0,Raesfeld
Reken,17,33,17.0,Reken
Rhede,21,72,21.0,Rhede
Schöppingen,21,35,21.0,Schöppingen
Stadtlohn,37,77,37.0,Stadtlohn
Südlohn,18,30,18.0,Südlohn
Velen,15,24,15.0,Velen
Vreden,215,243,215.0,Vreden
abweichender Meldeort,1,3,1.0,abweichender Meldeort
