,"""summe_bestaetigt""",datum
Borgholzhausen,358,17.06.
Gütersloh,6016,17.06.
Halle (Westf.),803,17.06.
Harsewinkel,1504,17.06.
Herzebrock-Clarholz,875,17.06.
Kreis gesamt,19946,17.06.
Borgholzhausen,359,18.06.
Gütersloh,6018,18.06.
Halle (Westf.),802,18.06.
Harsewinkel,1504,18.06.
Herzebrock-Clarholz,877,18.06.
Kreis gesamt,19950,18.06.
Borgholzhausen,359,19.06.
Gütersloh,6021,19.06.
Halle (Westf.),802,19.06.
Harsewinkel,1505,19.06.
Herzebrock-Clarholz,877,19.06.
Kreis gesamt,19954,19.06.
Borgholzhausen,359,20.06.
Gütersloh,6024,20.06.
Halle (Westf.),802,20.06.
Harsewinkel,1505,20.06.
Herzebrock-Clarholz,877,20.06.
Kreis gesamt,19957,20.06.
Borgholzhausen,359,21.06.
Gütersloh,6025,21.06.
Halle (Westf.),802,21.06.
Harsewinkel,1505,21.06.
Herzebrock-Clarholz,877,21.06.
Kreis gesamt,19959,21.06.
Gütersloh,6026,22.06.
Halle (Westf.),802,22.06.
Harsewinkel,1505,22.06.
Herzebrock-Clarholz,877,22.06.
Kreis gesamt,19960,22.06.
Borgholzhausen,360,23.06.
Gütersloh,6040,23.06.
Halle (Westf.),804,23.06.
Harsewinkel,1506,23.06.
Herzebrock-Clarholz,882,23.06.
Kreis gesamt,20004,23.06.
Borgholzhausen,360,24.06.
Gütersloh,6041,24.06.
Halle (Westf.),804,24.06.
Harsewinkel,1506,24.06.
Herzebrock-Clarholz,884,24.06.
Kreis gesamt,20020,24.06.
Borgholzhausen,360,25.06.
Gütersloh,6043,25.06.
Halle (Westf.),804,25.06.
Harsewinkel,1507,25.06.
Herzebrock-Clarholz,884,25.06.
Kreis gesamt,20022,25.06.
Borgholzhausen,360,26.06.
Gütersloh,6043,26.06.
Halle (Westf.),804,26.06.
Harsewinkel,1506,26.06.
Herzebrock-Clarholz,884,26.06.
Kreis gesamt,20022,26.06.
Borgholzhausen,360,27.06.
Gütersloh,6043,27.06.
Halle (Westf.),804,27.06.
Harsewinkel,1507,27.06.
Herzebrock-Clarholz,884,27.06.
Kreis gesamt,20025,27.06.
Borgholzhausen,360,28.06.
Gütersloh,6044,28.06.
Halle (Westf.),804,28.06.
Harsewinkel,1506,28.06.
Herzebrock-Clarholz,884,28.06.
Kreis gesamt,20027,28.06.
Gütersloh,6045,29.06.
