,last7,last14,mix,Gemeinde
Borgholzhausen,4,7,4.0,Borgholzhausen
Gütersloh,152,231,152.0,Gütersloh
Halle (Westf.),15,23,15.0,Halle (Westf.)
Harsewinkel,21,33,21.0,Harsewinkel
Herzebrock-Clarholz,9,22,9.0,Herzebrock-Clarholz
Kreis gesamt,430,652,430.0,Kreis gesamt
Steinhagen,23,35,23.0,Steinhagen
Verl,31,51,31.0,Verl
Versmold,15,27,15.0,Versmold
Werther (Westf.),9,10,9.0,Werther (Westf.)
Langenberg,3,7,3.0,Langenberg
Rheda-Wiedenbrück,84,122,84.0,Rheda-Wiedenbrück
Rietberg,23,33,23.0,Rietberg
Schloß Holte-Stukenbrock,41,51,41.0,Schloß Holte-Stukenbrock
