,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197
Erkelenz,1824,1824,1820,1818,1817,1809,1808,1804,1802,1799,1798,1792,1773,1768,1762,1759,1748,1736,1725,1716,1707,1687,1669,1656,1649,1633,1622,1600,1594,1585,1576,1571,1560,1553,1548,1532,1517,1507,1495,1489,1459,1450,1440,1433,1420,1408,1399,1395,1385,1376,1374,1357,1354,1349,1347,1347,1338,1336,1333,1332,1332,1326,1324,1318,1311,1309,1306,1304,1302,1299,1294,1293,1286,1283,1280,1273,1269,1268,1266,1260,1249,1237,1225,1211,1199,1192,1174,1164,1150,1140,1120,1100,1084,1075,1056,1047,1016,1008,996,983,971,966,934,926,917,884,860,841,826,797,777,766,752,737,724,705,691,678,661,644,629,618,581,563,545,531,516,497,412,401,385,349,324,314,309,300,284,262,258,248,235,225,213,201,196,187,177,174,172,169,167,159,153,152,151,150,150,150,148,147,147,141,140,137,137,137,136,135,134,131,130,128,127,125,125,124,124,124,120,120,120,120,120,120,119,118,118,118,117,116,114,114,114,114,112,109,107,107
Gangelt,917,917,917,915,916,914,914,909,909,909,907,907,906,906,905,904,904,901,900,900,899,896,894,893,892,891,889,887,885,881,880,880,880,879,880,876,875,874,870,870,866,866,863,861,860,859,859,856,853,853,850,849,847,846,845,845,844,844,844,843,841,838,838,837,835,835,832,826,826,825,825,821,818,814,811,809,806,805,804,801,800,793,793,789,788,785,780,776,775,771,770,752,743,736,719,712,702,692,690,686,682,667,651,648,645,633,627,622,620,615,614,613,605,602,598,598,595,594,589,586,586,582,579,573,572,569,562,555,545,543,539,537,533,533,531,528,525,523,521,520,519,515,509,506,505,501,498,497,497,497,496,495,494,493,493,493,493,493,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,491,491,491,491,491,491,491,491,489,489,489,489,489,489,489,489,489,488,487,487
Geilenkirchen,1171,1168,1168,1165,1164,1162,1158,1149,1146,1144,1143,1142,1133,1127,1123,1124,1110,1102,1095,1094,1092,1083,1076,1068,1060,1051,1045,1021,1010,1006,995,987,970,965,954,938,935,930,928,924,911,906,903,897,894,889,883,877,875,871,866,862,856,855,853,851,830,827,825,825,823,817,816,812,804,803,796,792,786,783,779,773,767,765,763,762,760,758,752,747,745,742,740,737,738,734,729,724,721,716,711,704,698,689,680,673,666,661,654,650,645,636,615,611,603,572,565,549,537,529,522,513,509,507,501,497,492,489,476,471,463,460,445,445,442,433,425,417,393,385,380,371,368,358,353,351,344,326,325,316,308,304,299,297,296,294,286,280,277,273,268,256,254,252,249,249,249,246,246,246,246,245,245,245,245,245,244,244,244,244,244,244,244,244,244,244,243,243,240,240,240,240,239,237,236,236,236,235,235,235,235,235,235,235,235,234,233,232
Heinsberg,2049,2049,2046,2043,2040,2039,2039,2036,2023,2016,2016,2014,1998,1988,1983,1981,1964,1960,1946,1947,1938,1920,1914,1906,1900,1875,1867,1837,1825,1817,1802,1784,1765,1761,1759,1732,1722,1720,1714,1710,1671,1661,1656,1642,1639,1633,1622,1611,1605,1603,1596,1589,1585,1580,1573,1560,1556,1551,1547,1542,1537,1529,1521,1514,1504,1495,1492,1487,1484,1472,1460,1440,1425,1408,1395,1386,1382,1379,1370,1366,1360,1352,1350,1343,1329,1325,1313,1306,1298,1290,1285,1268,1259,1245,1240,1233,1213,1200,1191,1175,1164,1159,1129,1114,1103,1071,1058,1033,1017,1000,988,983,969,961,954,940,924,917,902,897,887,882,872,855,847,829,816,806,770,736,726,690,671,652,642,634,625,604,598,589,575,567,550,543,541,535,527,525,518,514,512,506,503,502,502,502,502,501,501,501,500,500,496,496,496,496,496,495,494,492,492,491,490,489,489,489,489,488,487,485,484,482,479,478,478,473,472,472,472,468,467,467,466,465,465,464,464,462
Hückelhoven,1923,1924,1921,1921,1917,1914,1911,1902,1888,1884,1880,1879,1859,1850,1848,1847,1832,1816,1793,1786,1775,1763,1754,1736,1727,1713,1710,1689,1683,1669,1650,1641,1632,1624,1613,1590,1585,1578,1571,1568,1528,1524,1518,1509,1504,1498,1496,1494,1491,1484,1478,1471,1466,1464,1463,1463,1454,1454,1450,1446,1445,1443,1442,1432,1432,1429,1428,1424,1423,1423,1420,1411,1403,1398,1392,1382,1379,1372,1368,1362,1354,1340,1327,1305,1289,1273,1249,1237,1217,1208,1194,1160,1139,1125,1110,1093,1068,1058,1045,1024,1009,1001,977,963,956,937,923,907,893,889,883,873,866,846,839,827,816,802,790,785,772,763,749,738,728,722,710,699,654,637,634,614,598,575,555,549,528,490,484,473,453,440,423,413,403,380,352,329,318,311,309,305,295,285,277,269,266,262,262,261,258,258,256,250,251,250,250,250,249,249,249,247,245,243,243,243,243,243,242,242,242,240,240,237,235,232,229,229,229,227,226,226,226,221,220,218,217,216
Selfkant,601,601,600,601,600,600,599,596,596,596,594,591,587,582,581,576,572,570,566,563,562,548,541,537,533,531,523,518,519,518,515,515,508,507,504,497,493,492,487,481,472,472,468,464,459,453,442,439,432,424,419,416,411,407,403,402,398,398,397,396,395,395,394,394,394,391,388,385,383,376,376,374,373,371,370,369,369,367,367,366,366,362,362,359,357,356,355,355,353,349,346,339,335,333,330,327,318,317,305,301,297,296,280,271,270,264,259,254,250,247,245,240,236,234,234,234,231,226,225,224,220,218,214,211,206,204,201,197,191,189,187,187,186,182,179,176,175,168,166,164,162,158,158,156,154,153,153,151,151,149,146,144,144,144,144,142,142,141,141,140,140,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,137,137,137,136,136,135,135
Übach-Palenberg,1138,1137,1136,1137,1135,1132,1132,1127,1122,1121,1117,1115,1110,1105,1098,1095,1083,1074,1066,1062,1057,1052,1044,1036,1031,1025,1019,1004,1003,994,991,981,979,977,969,963,962,959,950,944,923,912,908,904,899,886,875,868,859,857,852,841,832,828,826,823,818,818,815,811,801,794,792,786,786,784,780,779,777,776,773,770,767,765,762,757,754,753,747,746,744,743,738,734,729,724,722,721,720,716,712,700,698,698,696,693,686,681,667,655,650,648,633,626,619,599,592,580,563,551,544,532,523,512,509,500,491,487,475,466,457,443,431,421,418,417,412,399,368,353,347,333,323,315,299,293,282,258,248,238,225,211,192,185,174,165,154,145,143,137,133,127,122,119,112,111,110,110,110,110,110,110,110,107,109,107,107,105,105,103,101,100,100,100,100,100,100,100,98,98,97,96,93,92,92,89,89,89,89,89,89,89,89,88,88,88,88,88
Waldfeucht,461,461,461,460,460,460,460,460,458,458,456,455,452,451,451,451,451,449,448,448,448,446,446,446,446,444,444,441,441,439,436,431,426,426,422,421,415,409,407,406,406,404,402,400,394,392,388,384,382,382,382,380,380,380,379,378,376,375,376,371,370,365,364,360,360,360,358,353,354,352,345,341,326,321,320,320,318,317,315,314,314,313,311,307,305,301,300,295,291,285,281,275,274,272,266,258,249,248,244,243,243,242,235,230,228,223,220,212,209,208,205,204,202,199,194,191,188,186,186,178,174,169,169,167,166,164,159,159,154,152,150,149,147,146,144,144,141,139,139,139,138,138,137,137,137,136,136,134,134,134,134,134,133,131,131,131,131,130,130,129,128,128,128,128,128,128,126,126,126,126,126,126,126,126,126,126,126,126,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,122
Wassenberg,714,714,714,710,707,704,701,695,691,690,686,683,677,674,671,670,670,666,663,658,658,649,640,635,630,628,623,619,615,613,611,606,604,603,596,591,590,583,580,576,571,569,567,565,562,562,557,556,553,553,552,547,546,546,545,545,539,537,536,532,531,530,525,522,522,522,519,515,512,511,509,507,501,499,500,496,495,495,495,495,490,484,481,473,467,462,461,460,454,453,451,439,435,430,427,424,417,415,410,404,404,394,388,379,377,362,357,341,334,333,323,320,313,303,285,278,272,267,261,254,251,247,238,229,221,212,206,195,181,178,170,155,150,145,144,141,130,120,120,116,117,114,112,108,106,106,104,104,103,102,99,96,95,91,91,90,90,90,88,88,88,88,88,88,88,88,88,87,84,83,84,80,80,79,78,78,78,77,76,76,75,75,75,75,75,75,74,74,74,73,73,73,73,73,73,73,72,71
Wegberg,1056,1045,1044,1042,1040,1037,1036,1029,1027,1026,1020,1020,1016,1012,1005,1006,991,989,971,967,965,952,937,935,930,924,921,912,908,903,891,888,885,884,878,872,860,856,843,842,825,817,814,811,804,800,793,790,785,781,779,778,778,776,775,772,764,763,761,759,758,758,758,750,750,743,739,734,731,727,724,719,716,715,710,705,699,695,691,683,681,670,663,659,654,648,638,630,622,616,617,609,596,590,582,575,561,553,541,533,526,522,476,462,455,429,415,394,381,367,361,361,348,338,327,321,313,305,298,293,283,280,270,266,255,250,246,238,219,208,204,190,186,172,160,154,144,129,124,123,117,112,111,107,104,94,89,87,87,84,83,79,77,75,74,74,73,73,73,73,72,72,72,69,72,69,67,67,67,62,61,61,59,59,59,58,58,58,57,57,57,56,56,54,54,54,54,54,54,50,49,49,49,49,49,48,47,47
