,09.06.2021,08.06.2021,07.06.2021,04.06.2021,02.06.2021,01.06.2021,31.05.2021,28.05.2021,27.05.2021,26.05.2021,25.05.2021,21.05.2021,20.05.2021,19.05.2021,18.05.2021,17.05.2021,14.05.2021,12.05.2021,11.05.2021,10.05.2021,07.05.2021
Erkelenz,0,2,0,1,0,4,2,1,8,1,4,2,3,1,6,19,5,6,3,11,12
Gangelt,0,0,0,-1,0,0,2,-1,2,0,5,0,0,2,0,1,0,1,1,0,3
Geilenkirchen,0,1,3,4,3,0,3,1,2,4,9,3,2,1,1,9,6,4,-1,14,8
Heinsberg,1,0,0,2,0,3,3,3,1,0,3,13,7,0,2,16,10,5,2,17,4
Hückelhoven,5,1,2,-1,-1,3,0,4,3,3,9,14,4,4,1,20,9,2,1,15,16
Selfkant,4,0,0,1,0,1,-1,1,0,1,3,0,0,2,3,4,5,1,5,4,2
Übach-Palenberg,0,1,-1,1,1,1,-1,2,3,0,5,5,1,4,2,5,5,7,3,12,9
Waldfeucht,1,1,0,0,0,0,1,0,0,0,0,2,0,2,1,3,1,0,0,0,2
Wassenberg,0,0,0,0,0,0,4,3,3,3,6,4,1,4,3,6,3,3,1,0,4
Wegberg,5,0,2,2,11,1,2,2,3,1,7,2,1,6,0,4,4,7,-1,15,2
