,last7,last14,mix,Gemeinde
Bedburg-Hau,138,246,138.0,Bedburg-Hau
Emmerich am Rhein,400,687,400.0,Emmerich am Rhein
Geldern,548,946,548.0,Geldern
Goch,334,609,334.0,Goch
Issum,137,260,137.0,Issum
Kalkar,255,508,255.0,Kalkar
Kerken,184,340,184.0,Kerken
Kevelaer,414,738,414.0,Kevelaer
Kleve,542,1125,542.0,Kleve
Kranenburg,146,242,146.0,Kranenburg
Rees,261,410,261.0,Rees
Rheurdt,89,153,89.0,Rheurdt
Straelen,307,523,307.0,Straelen
Uedem,116,212,116.0,Uedem
Wachtendonk,136,281,136.0,Wachtendonk
Weeze,164,314,164.0,Weeze
