,last7,last14,mix,Gemeinde
Augustdorf,4,15,4.0,Augustdorf
Bad Salzuflen,21,35,21.0,Bad Salzuflen
Barntrup,0,0,0.2,Barntrup
Blomberg,4,4,4.0,Blomberg
Detmold,29,43,29.0,Detmold
Dörentrup,0,1,0.6,Dörentrup
Extertal,0,0,0.2,Extertal
Horn-Bad Meinberg,8,8,8.0,Horn-Bad Meinberg
Kalletal,8,8,8.0,Kalletal
Lage,4,6,4.0,Lage
Lemgo,7,10,7.0,Lemgo
Leopoldshöhe,0,1,0.6,Leopoldshöhe
Lügde,2,2,2.0,Lügde
Oerlinghausen,1,1,1.0,Oerlinghausen
Schieder-Schwalenberg,2,3,2.0,Schieder-Schwalenberg
Schlangen,2,5,2.0,Schlangen
