,last7,last14,mix,Gemeinde
Altena,31,38,31.0,Altena
Balve,12,20,12.0,Balve
Halver,54,88,54.0,Halver
Hemer,69,114,69.0,Hemer
Herscheid,25,39,25.0,Herscheid
Iserlohn,156,253,156.0,Iserlohn
Kierspe,164,215,164.0,Kierspe
Lüdenscheid,206,300,206.0,Lüdenscheid
Meinerzhagen,48,68,48.0,Meinerzhagen
Menden (Sauerland),94,141,94.0,Menden (Sauerland)
Nachrodt-Wiblingwerde,4,10,4.0,Nachrodt-Wiblingwerde
Neuenrade,17,35,17.0,Neuenrade
Plettenberg,29,56,29.0,Plettenberg
Schalksmühle,17,27,17.0,Schalksmühle
Werdohl,41,61,41.0,Werdohl
