,last7,last14,mix,Gemeinde
Alfter,291,496,291.0,Alfter
Bad Honnef,184,338,184.0,Bad Honnef
Bornheim,566,996,566.0,Bornheim
Eitorf,201,449,201.0,Eitorf
Königswinter,425,742,425.0,Königswinter
Lohmar,319,546,319.0,Lohmar
Meckenheim,249,468,249.0,Meckenheim
Much,152,265,152.0,Much
Neunkirchen-Seelscheid,215,358,215.0,Neunkirchen-Seelscheid
Niederkassel,594,1003,594.0,Niederkassel
Rheinbach,213,375,213.0,Rheinbach
Ruppichteroth,120,214,120.0,Ruppichteroth
Sankt Augustin,655,1179,655.0,Sankt Augustin
Siegburg,672,1229,672.0,Siegburg
Swisttal,224,372,224.0,Swisttal
Troisdorf,1050,1914,1050.0,Troisdorf
Wachtberg,195,375,195.0,Wachtberg
Windeck,161,251,161.0,Windeck
Hennef (Sieg),572,1038,572.0,Hennef (Sieg)
Bonn,5396,10533,5396.0,Bonn
