,last7,last14,mix,Gemeinde
Aachen,261,441,261.0,Aachen
Alsdorf,52,86,52.0,Alsdorf
Baesweiler,36,64,36.0,Baesweiler
Eschweiler,59,106,59.0,Eschweiler
Herzogenrath,42,74,42.0,Herzogenrath
Monschau,19,20,19.0,Monschau
Roetgen,3,11,3.0,Roetgen
Simmerath,9,14,9.0,Simmerath
Stolberg (Rhld.),54,112,54.0,Stolberg (Rhld.)
Würselen,42,95,42.0,Würselen
Ahaus,42,72,42.0,Ahaus
Bocholt,64,94,64.0,Bocholt
Borken,39,96,39.0,Borken
Gescher,13,28,13.0,Gescher
Gronau (Westf.),73,146,73.0,Gronau (Westf.)
Heek,0,2,0.6,Heek
Heiden,3,10,3.0,Heiden
Isselburg,13,21,13.0,Isselburg
Legden,6,12,6.0,Legden
Raesfeld,6,14,6.0,Raesfeld
Reken,19,20,19.0,Reken
Rhede,14,38,14.0,Rhede
Schöppingen,5,9,5.0,Schöppingen
Stadtlohn,29,54,29.0,Stadtlohn
Südlohn,4,5,4.0,Südlohn
Velen,10,27,10.0,Velen
Vreden,16,23,16.0,Vreden
Coesfeld,14,37,14.0,Coesfeld
Ascheberg,6,14,6.0,Ascheberg
Nottuln,7,19,7.0,Nottuln
Lüdinghausen,5,18,5.0,Lüdinghausen
Nordkirchen,18,26,18.0,Nordkirchen
Havixbeck,4,13,4.0,Havixbeck
Billerbeck,5,15,5.0,Billerbeck
Senden,14,18,14.0,Senden
Olfen,10,19,10.0,Olfen
Rosendahl,6,7,6.0,Rosendahl
Dülmen,16,32,16.0,Dülmen
Aldenhoven,19,20,19.0,Aldenhoven
Düren,99,197,99.0,Düren
Heimbach,1,4,1.0,Heimbach
Hürtgenwald,4,7,4.0,Hürtgenwald
Inden,2,5,2.0,Inden
Jülich,23,46,23.0,Jülich
Kreuzau,15,29,15.0,Kreuzau
Langerwehe,13,25,13.0,Langerwehe
Linnich,10,15,10.0,Linnich
Merzenich,7,17,7.0,Merzenich
Nideggen,6,11,6.0,Nideggen
Niederzier,24,50,24.0,Niederzier
Nörvenich,23,30,23.0,Nörvenich
Titz,15,20,15.0,Titz
Vettweiß,4,13,4.0,Vettweiß
Breckerfeld,7,16,7.0,Breckerfeld
Ennepetal,19,39,19.0,Ennepetal
Gevelsberg,42,71,42.0,Gevelsberg
Hattingen,35,77,35.0,Hattingen
Herdecke,13,34,13.0,Herdecke
Schwelm,41,70,41.0,Schwelm
Sprockhövel,22,30,22.0,Sprockhövel
Wetter (Ruhr),18,31,18.0,Wetter (Ruhr)
Witten,43,108,43.0,Witten
Borgholzhausen,13,14,13.0,Borgholzhausen
Gütersloh,172,263,172.0,Gütersloh
Halle (Westf.),22,32,22.0,Halle (Westf.)
Harsewinkel,53,92,53.0,Harsewinkel
Herzebrock-Clarholz,13,35,13.0,Herzebrock-Clarholz
Langenberg,0,9,0.6,Langenberg
Rheda-Wiedenbrück,65,127,65.0,Rheda-Wiedenbrück
Rietberg,27,50,27.0,Rietberg
Schloß Holte-Stukenbrock,22,33,22.0,Schloß Holte-Stukenbrock
Steinhagen,13,18,13.0,Steinhagen
Verl,51,61,51.0,Verl
Versmold,31,63,31.0,Versmold
Werther (Westf.),15,23,15.0,Werther (Westf.)
Bad Driburg,29,51,29.0,Bad Driburg
Beverungen,18,43,18.0,Beverungen
Borgentreich,9,12,9.0,Borgentreich
Brakel,24,37,24.0,Brakel
Höxter,52,93,52.0,Höxter
Marienmünster,3,4,3.0,Marienmünster
Nieheim,2,4,2.0,Nieheim
Steinheim,15,25,15.0,Steinheim
Warburg,22,28,22.0,Warburg
Willebadessen,3,3,3.0,Willebadessen
Bedburg-Hau,10,24,10.0,Bedburg-Hau
Emmerich am Rhein,30,42,30.0,Emmerich am Rhein
Geldern,36,60,36.0,Geldern
Goch,33,67,33.0,Goch
Issum,9,13,9.0,Issum
Kalkar,9,23,9.0,Kalkar
Kerken,11,24,11.0,Kerken
Kevelaer,16,24,16.0,Kevelaer
Kleve,52,102,52.0,Kleve
Kranenburg,5,10,5.0,Kranenburg
Rees,4,7,4.0,Rees
Rheurdt,4,6,4.0,Rheurdt
Straelen,9,13,9.0,Straelen
Uedem,4,8,4.0,Uedem
Wachtendonk,12,16,12.0,Wachtendonk
Weeze,9,14,9.0,Weeze
Augustdorf,22,48,22.0,Augustdorf
Bad Salzuflen,58,140,58.0,Bad Salzuflen
Barntrup,14,26,14.0,Barntrup
Blomberg,24,37,24.0,Blomberg
