AGS,last7,last14,mix,Gemeinde
09363000,2,10,2.0,Weiden i.d.OPf.
09361000,4,12,4.0,Amberg
01001000,8,17,8.0,Flensburg
09565000,5,25,5.0,Schwabach
09262000,9,28,9.0,Passau
09462000,17,31,17.0,Bayreuth
07316000,12,31,12.0,Neustadt a.d.Weinstraße
03405000,12,32,12.0,Wilhelmshaven
13004000,9,35,9.0,Schwerin
07320000,14,38,14.0,Zweibrücken
09561000,16,41,16.0,Ansbach
07317000,22,43,22.0,Pirmasens
16056000,15,46,15.0,Eisenach
01004000,15,48,15.0,Neumünster
12053000,20,50,20.0,Frankfurt (Oder)
07313000,4,51,4.0,Landau i.d.Pfalz
12051000,29,56,29.0,Brandenburg a.d.Havel
07311000,24,58,24.0,Frankenthal
16054000,18,59,18.0,Suhl
09464000,15,60,15.0,Hof
09461000,24,63,24.0,Bamberg
09762000,20,66,20.0,Kaufbeuren
07318000,16,67,16.0,Speyer
07211000,32,67,32.0,Trier
09163000,26,69,26.0,Rosenheim
09661000,26,70,26.0,Aschaffenburg
09263000,28,70,28.0,Straubing
16052000,21,72,21.0,Gera
08211000,35,74,35.0,Baden-Baden
15001000,25,80,25.0,Dessau-Roßlau
07111000,24,82,24.0,Koblenz
08221000,29,85,29.0,Heidelberg
16055000,34,88,34.0,Weimar
09562000,32,90,32.0,Erlangen
16053000,36,97,36.0,Jena
05515000,43,97,43.0,Münster
12052000,38,100,38.0,Cottbus
03401000,36,110,36.0,Delmenhorst
03403000,42,110,42.0,Oldenburg
09463000,43,115,43.0,Coburg
04012000,48,119,48.0,Bremerhaven
09261000,39,124,39.0,Landshut
03102000,46,129,46.0,Salzgitter
09763000,59,129,59.0,Kempten
03402000,44,130,44.0,Emden
05512000,56,138,56.0,Bottrop
03103000,50,139,50.0,Wolfsburg
09362000,38,141,38.0,Regensburg
09663000,44,145,44.0,Würzburg
13003000,45,146,45.0,Rostock
09662000,43,150,43.0,Schweinfurt
09764000,62,152,62.0,Memmingen
07312000,55,156,55.0,Kaiserslautern
01003000,63,161,63.0,Lübeck
08311000,61,165,61.0,Freiburg i.Breisgau
12054000,59,167,59.0,Potsdam
06411000,71,171,71.0,Darmstadt
03404000,52,172,52.0,Osnabrück
07319000,89,179,89.0,Worms
11009000,74,180,74.0,Berlin Treptow-Köpenick
05916000,83,182,83.0,Herne
11006000,79,184,79.0,Berlin Steglitz-Zehlendorf
15003000,71,187,71.0,Magdeburg
16051000,74,196,74.0,Erfurt
03101000,69,201,69.0,Braunschweig
01002000,75,201,75.0,Kiel
09161000,77,202,77.0,Ingolstadt
05119000,68,208,68.0,Oberhausen
11002000,79,211,79.0,Berlin Friedrichshain-Kreuzberg
05120000,84,215,84.0,Remscheid
05117000,86,216,86.0,Mülheim a.d.Ruhr
09563000,71,219,71.0,Fürth
15002000,81,220,81.0,Halle
05122000,84,221,84.0,Solingen
06413000,97,222,97.0,Offenbach
11005000,97,237,97.0,Berlin Spandau
08421000,102,242,102.0,Ulm
11012000,78,245,78.0,Berlin Reinickendorf
11004000,86,249,86.0,Berlin Charlottenburg-Wilmersdorf
05915000,73,264,73.0,Hamm
11010000,103,267,103.0,Berlin Marzahn-Hellersdorf
11003000,92,273,92.0,Berlin Pankow
08231000,100,279,100.0,Pforzheim
11011000,88,280,88.0,Berlin Lichtenberg
14511000,66,282,66.0,Chemnitz
08121000,113,283,113.0,Heilbronn
07315000,127,288,127.0,Mainz
08212000,110,291,110.0,Karlsruhe
05316000,100,302,100.0,Leverkusen
05116000,132,309,132.0,Mönchengladbach
11007000,128,320,128.0,Berlin Tempelhof-Schöneberg
05114000,112,333,112.0,Krefeld
07314000,176,366,176.0,Ludwigshafen
05513000,150,392,150.0,Gelsenkirchen
06611000,171,411,171.0,Kassel
11008000,197,424,197.0,Berlin Neukölln
09761000,144,447,144.0,Augsburg
08222000,198,461,198.0,Mannheim
04011000,177,482,177.0,Bremen
14713000,163,485,163.0,Leipzig
05914000,180,500,180.0,Hagen
11001000,144,509,144.0,Berlin Mitte
05314000,262,511,262.0,Bonn
06414000,222,517,222.0,Wiesbaden
05911000,223,547,223.0,Bochum
05124000,192,554,192.0,Wuppertal
05711000,204,576,204.0,Bielefeld
05113000,275,585,275.0,Essen
05112000,273,632,273.0,Duisburg
14612000,208,650,208.0,Dresden
05111000,345,746,345.0,Düsseldorf
05913000,314,814,314.0,Dortmund
09564000,402,935,402.0,Nürnberg
08111000,413,966,413.0,Stuttgart
06412000,373,1063,373.0,Frankfurt am Main
02000000,465,1241,465.0,Hamburg
09162000,518,1337,518.0,München
05315000,570,1625,570.0,Köln
