,last7,last14,mix,Gemeinde
Pirmasens,0,2,0.6,Pirmasens
Schwerin,1,3,1.0,Schwerin
Brandenburg a.d.Havel,2,3,2.0,Brandenburg a.d.Havel
Weiden i.d.OPf.,1,3,1.0,Weiden i.d.OPf.
Bayreuth,0,4,0.6,Bayreuth
Straubing,1,4,1.0,Straubing
Neumünster,2,5,2.0,Neumünster
Flensburg,0,6,0.6,Flensburg
Wilhelmshaven,2,7,2.0,Wilhelmshaven
Neustadt a.d.Weinstraße,0,8,0.6,Neustadt a.d.Weinstraße
Landau i.d.Pfalz,1,8,1.0,Landau i.d.Pfalz
Dessau-Roßlau,1,8,1.0,Dessau-Roßlau
Suhl,4,10,4.0,Suhl
Passau,8,10,8.0,Passau
Weimar,5,11,5.0,Weimar
Schwabach,2,12,2.0,Schwabach
Frankfurt (Oder),5,13,5.0,Frankfurt (Oder)
Emden,6,13,6.0,Emden
Rostock,5,15,5.0,Rostock
Amberg,8,15,8.0,Amberg
Baden-Baden,9,17,9.0,Baden-Baden
Coburg,6,19,6.0,Coburg
Jena,7,19,7.0,Jena
Braunschweig,7,20,7.0,Braunschweig
Wolfsburg,2,22,2.0,Wolfsburg
Frankenthal,12,22,12.0,Frankenthal
Eisenach,17,22,17.0,Eisenach
Kaufbeuren,10,23,10.0,Kaufbeuren
Cottbus,14,23,14.0,Cottbus
Hof,9,25,9.0,Hof
Bremerhaven,12,25,12.0,Bremerhaven
Kempten,10,25,10.0,Kempten
Rosenheim,10,26,10.0,Rosenheim
Magdeburg,8,27,8.0,Magdeburg
Gera,11,27,11.0,Gera
Speyer,10,28,10.0,Speyer
Bamberg,22,29,22.0,Bamberg
Osnabrück,14,29,14.0,Osnabrück
Trier,9,29,9.0,Trier
Salzgitter,2,30,2.0,Salzgitter
Potsdam,3,30,3.0,Potsdam
Ansbach,8,31,8.0,Ansbach
Memmingen,12,32,12.0,Memmingen
Heidelberg,12,32,12.0,Heidelberg
Oldenburg,12,32,12.0,Oldenburg
Worms,16,32,16.0,Worms
Koblenz,13,34,13.0,Koblenz
Landshut,16,35,16.0,Landshut
Münster,16,37,16.0,Münster
Bottrop,7,37,7.0,Bottrop
Aschaffenburg,15,39,15.0,Aschaffenburg
Kiel,16,39,16.0,Kiel
Remscheid,15,39,15.0,Remscheid
Mülheim a.d.Ruhr,29,42,29.0,Mülheim a.d.Ruhr
Erlangen,15,43,15.0,Erlangen
Zweibrücken,15,43,15.0,Zweibrücken
Delmenhorst,26,43,26.0,Delmenhorst
Kaiserslautern,16,45,16.0,Kaiserslautern
Lübeck,15,46,15.0,Lübeck
Berlin Treptow-Köpenick,24,53,24.0,Berlin Treptow-Köpenick
Freiburg i.Breisgau,20,55,20.0,Freiburg i.Breisgau
Herne,12,55,12.0,Herne
Darmstadt,18,57,18.0,Darmstadt
Hamm,12,58,12.0,Hamm
Chemnitz,22,59,22.0,Chemnitz
Berlin Steglitz-Zehlendorf,22,63,22.0,Berlin Steglitz-Zehlendorf
Würzburg,19,63,19.0,Würzburg
Halle,13,64,13.0,Halle
Fürth,27,65,27.0,Fürth
Regensburg,23,65,23.0,Regensburg
Offenbach,22,66,22.0,Offenbach
Karlsruhe,16,67,16.0,Karlsruhe
Schweinfurt,45,68,45.0,Schweinfurt
Erfurt,22,68,22.0,Erfurt
Berlin Pankow,21,71,21.0,Berlin Pankow
Berlin Lichtenberg,34,75,34.0,Berlin Lichtenberg
Solingen,22,75,22.0,Solingen
Kassel,36,78,36.0,Kassel
Ulm,34,79,34.0,Ulm
Ingolstadt,25,81,25.0,Ingolstadt
Oberhausen,42,85,42.0,Oberhausen
Berlin Friedrichshain-Kreuzberg,24,90,24.0,Berlin Friedrichshain-Kreuzberg
Mönchengladbach,46,93,46.0,Mönchengladbach
Berlin Tempelhof-Schöneberg,30,95,30.0,Berlin Tempelhof-Schöneberg
Leverkusen,33,96,33.0,Leverkusen
Berlin Reinickendorf,51,97,51.0,Berlin Reinickendorf
Berlin Marzahn-Hellersdorf,26,101,26.0,Berlin Marzahn-Hellersdorf
Krefeld,36,102,36.0,Krefeld
Dresden,37,103,37.0,Dresden
Mannheim,58,121,58.0,Mannheim
Gelsenkirchen,47,121,47.0,Gelsenkirchen
Berlin Charlottenburg-Wilmersdorf,42,122,42.0,Berlin Charlottenburg-Wilmersdorf
Pforzheim,53,125,53.0,Pforzheim
Bielefeld,32,127,32.0,Bielefeld
Leipzig,40,129,40.0,Leipzig
Heilbronn,59,130,59.0,Heilbronn
Ludwigshafen,32,133,32.0,Ludwigshafen
Bochum,57,162,57.0,Bochum
Hagen,58,165,58.0,Hagen
Berlin Spandau,71,172,71.0,Berlin Spandau
Mainz,82,172,82.0,Mainz
Augsburg,85,172,85.0,Augsburg
Berlin Neukölln,26,175,26.0,Berlin Neukölln
Wiesbaden,67,175,67.0,Wiesbaden
Berlin Mitte,70,178,70.0,Berlin Mitte
Bremen,64,198,64.0,Bremen
Essen,85,219,85.0,Essen
Düsseldorf,77,230,77.0,Düsseldorf
Wuppertal,104,241,104.0,Wuppertal
Duisburg,109,248,109.0,Duisburg
Bonn,96,249,96.0,Bonn
Dortmund,98,249,98.0,Dortmund
Nürnberg,180,382,180.0,Nürnberg
Frankfurt am Main,161,389,161.0,Frankfurt am Main
Stuttgart,164,393,164.0,Stuttgart
Köln,186,447,186.0,Köln
München,227,554,227.0,München
Hamburg,225,581,225.0,Hamburg
