,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
1,2,Emden,0,159,63,-20.75% ↘
3,4,Weiden i.d.OPf.,0,208,64,-38.46% ↘
4,5,Wilhelmshaven,0,208,76,-26.92% ↘
5,6,Zweibrücken,0,226,112,-0.88% ↘
6,7,Neumünster,0,231,111,-3.90% ↘
9,10,Flensburg,0,247,143,15.79% ↗
17,18,Pirmasens,0,303,149,-1.65% ↘
19,20,Delmenhorst,0,312,141,-9.62% ↘
20,21,Schwabach,1,314,141,-10.19% ↘
21,22,Hof,0,321,163,1.56% ↗
23,24,Passau,0,348,137,-21.26% ↘
26,27,Straubing,0,354,140,-20.90% ↘
28,29,Landau i.d.Pfalz,0,357,164,-8.12% ↘
33,34,Coburg,0,387,195,0.78% ↗
34,35,Trier,0,394,172,-12.69% ↘
37,38,Baden-Baden,0,406,195,-3.94% ↘
38,39,Ansbach,0,412,170,-17.48% ↘
41,42,Amberg,0,418,183,-12.44% ↘
45,46,Oldenburg,0,458,191,-16.59% ↘
47,48,Schwerin,0,461,230,-0.22% ↘
52,53,Frankenthal,0,478,220,-7.95% ↘
53,54,Aschaffenburg,0,480,188,-21.67% ↘
55,56,Bayreuth,0,501,228,-8.98% ↘
56,57,Kaufbeuren,0,508,200,-21.26% ↘
60,61,Bottrop,0,527,238,-9.68% ↘
61,62,Memmingen,0,528,229,-13.26% ↘
63,64,Bremerhaven,0,539,235,-12.80% ↘
65,66,Koblenz,0,545,270,-0.92% ↘
74,75,Wolfsburg,0,604,274,-9.27% ↘
75,76,Neustadt a.d.Weinstraße,0,624,260,-16.67% ↘
77,78,Osnabrück,0,642,341,6.23% ↗
78,79,Landshut,0,645,240,-25.58% ↘
81,82,Erlangen,0,655,249,-23.97% ↘
83,84,Salzgitter,0,659,288,-12.59% ↘
85,86,Speyer,0,666,284,-14.71% ↘
87,88,Schweinfurt,0,673,302,-10.25% ↘
94,95,Bamberg,0,710,329,-7.32% ↘
95,96,Mülheim a.d.Ruhr,0,713,315,-11.64% ↘
97,98,Suhl,0,717,349,-2.65% ↘
103,104,Würzburg,0,755,341,-9.67% ↘
108,109,Remscheid,0,777,406,4.50% ↗
109,110,Kempten,0,778,368,-5.40% ↘
112,113,Rosenheim,0,786,338,-13.99% ↘
117,118,Worms,0,823,287,-30.26% ↘
118,119,Kaiserslautern,0,824,354,-14.08% ↘
119,120,Kiel,0,834,407,-2.40% ↘
121,122,Frankfurt (Oder),0,847,425,0.35% ↗
124,125,Brandenburg a.d.Havel,0,850,445,4.71% ↗
125,126,Darmstadt,0,857,395,-7.82% ↘
130,131,Solingen,0,884,400,-9.50% ↘
141,142,Münster,0,940,445,-5.32% ↘
146,147,Mainz,0,953,466,-2.20% ↘
149,150,Lübeck,0,959,538,12.20% ↗
151,152,Kassel,0,964,495,2.70% ↗
158,159,Fürth,0,1003,472,-5.88% ↘
161,162,Herne,0,1012,508,0.40% ↗
162,163,Heidelberg,0,1017,471,-7.37% ↘
164,165,Oberhausen,0,1020,479,-6.08% ↘
165,166,Leverkusen,0,1024,454,-11.33% ↘
168,169,Ulm,0,1036,469,-9.46% ↘
174,175,Braunschweig,0,1055,443,-16.02% ↘
184,185,Hamm,0,1106,478,-13.56% ↘
190,191,Weimar,0,1126,576,2.31% ↗
194,195,Offenbach,0,1152,559,-2.95% ↘
202,203,Regensburg,0,1200,549,-8.50% ↘
208,209,Mönchengladbach,0,1246,401,-35.63% ↘
213,214,Potsdam,0,1291,648,0.39% ↗
219,220,Hagen,0,1359,611,-10.08% ↘
221,222,Dessau-Roßlau,0,1366,713,4.39% ↗
225,226,Ludwigshafen,0,1413,683,-3.33% ↘
229,230,Ingolstadt,0,1442,610,-15.40% ↘
236,237,Berlin Steglitz-Zehlendorf,0,1488,641,-13.84% ↘
251,252,Rostock,0,1592,779,-2.14% ↘
253,254,Krefeld,0,1607,865,7.65% ↗
256,257,Berlin Reinickendorf,0,1638,712,-13.06% ↘
258,259,Gelsenkirchen,0,1650,743,-9.94% ↘
260,261,Jena,0,1689,861,1.95% ↗
261,262,Heilbronn,0,1694,696,-17.83% ↘
262,263,Gera,0,1697,859,1.24% ↗
263,264,Bochum,0,1699,786,-7.47% ↘
270,271,Pforzheim,0,1818,780,-14.19% ↘
273,274,Bonn,0,1840,746,-18.91% ↘
276,277,Berlin Charlottenburg-Wilmersdorf,0,1859,884,-4.90% ↘
282,283,Freiburg i.Breisgau,0,1907,899,-5.72% ↘
287,288,Berlin Friedrichshain-Kreuzberg,0,1946,922,-5.24% ↘
288,289,Berlin Lichtenberg,0,1952,1046,7.17% ↗
294,295,Karlsruhe,0,2021,942,-6.78% ↘
296,297,Berlin Marzahn-Hellersdorf,0,2032,863,-15.06% ↘
300,301,Wiesbaden,0,2079,1485,42.86% ↗
302,303,Berlin Treptow-Köpenick,0,2121,1028,-3.06% ↘
305,306,Berlin Spandau,0,2134,1037,-2.81% ↘
311,312,Augsburg,0,2225,822,-26.11% ↘
319,320,Berlin Tempelhof-Schöneberg,0,2302,1024,-11.03% ↘
322,323,Berlin Neukölln,0,2323,989,-14.85% ↘
329,330,Bielefeld,0,2404,1037,-13.73% ↘
333,334,Cottbus,0,2455,1222,-0.45% ↘
335,336,Bremen,0,2476,1318,6.46% ↗
338,339,Duisburg,0,2552,1161,-9.01% ↘
342,343,Berlin Pankow,0,2626,1257,-4.27% ↘
344,345,Berlin Mitte,0,2649,1268,-4.27% ↘
349,350,Mannheim,0,2760,1158,-16.09% ↘
351,352,Wuppertal,0,2780,1391,0.07% ↗
364,365,Essen,0,3053,1445,-5.34% ↘
367,368,Magdeburg,0,3225,1580,-2.02% ↘
370,371,Dortmund,0,3339,1635,-2.07% ↘
376,377,Erfurt,0,3471,1761,1.47% ↗
379,380,Halle,0,3586,1661,-7.36% ↘
382,383,Düsseldorf,0,3802,1765,-7.15% ↘
391,392,Frankfurt am Main,0,4836,2100,-13.15% ↘
392,393,Nürnberg,0,4845,2179,-10.05% ↘
393,394,Chemnitz,0,4873,2150,-11.76% ↘
398,399,Stuttgart,0,5858,3248,10.89% ↗
402,403,Leipzig,0,7622,3438,-9.79% ↘
405,406,Köln,0,8890,3247,-26.95% ↘
406,407,Hamburg,0,9565,4877,1.98% ↗
408,409,München,0,10280,4169,-18.89% ↘
410,411,Dresden,0,11046,5100,-7.66% ↘
