,last7,last14,mix,Gemeinde
Weiden i.d.OPf.,1,2,1.0,Weiden i.d.OPf.
Bayreuth,1,2,1.0,Bayreuth
Pirmasens,1,2,1.0,Pirmasens
Brandenburg a.d.Havel,1,3,1.0,Brandenburg a.d.Havel
Neustadt a.d.Weinstraße,1,3,1.0,Neustadt a.d.Weinstraße
Schwerin,2,3,2.0,Schwerin
Straubing,0,4,0.6,Straubing
Landau i.d.Pfalz,2,5,2.0,Landau i.d.Pfalz
Wilhelmshaven,1,6,1.0,Wilhelmshaven
Flensburg,1,6,1.0,Flensburg
Neumünster,4,6,4.0,Neumünster
Dessau-Roßlau,0,7,0.6,Dessau-Roßlau
Suhl,3,8,3.0,Suhl
Schwabach,0,9,0.6,Schwabach
Wolfsburg,1,9,1.0,Wolfsburg
Frankfurt (Oder),2,9,2.0,Frankfurt (Oder)
Weimar,2,9,2.0,Weimar
Emden,5,11,5.0,Emden
Rostock,3,12,3.0,Rostock
Passau,7,13,7.0,Passau
Baden-Baden,9,15,9.0,Baden-Baden
Coburg,4,15,4.0,Coburg
Amberg,3,15,3.0,Amberg
Jena,6,16,6.0,Jena
Potsdam,4,17,4.0,Potsdam
Aschaffenburg,13,18,13.0,Aschaffenburg
Kempten,7,18,7.0,Kempten
Magdeburg,8,18,8.0,Magdeburg
Hof,5,21,5.0,Hof
Kaufbeuren,8,21,8.0,Kaufbeuren
Bremerhaven,5,21,5.0,Bremerhaven
Salzgitter,3,22,3.0,Salzgitter
Eisenach,13,22,13.0,Eisenach
Osnabrück,11,22,11.0,Osnabrück
Speyer,6,22,6.0,Speyer
Trier,7,23,7.0,Trier
Braunschweig,12,23,12.0,Braunschweig
Gera,9,23,9.0,Gera
Frankenthal,9,23,9.0,Frankenthal
Cottbus,13,25,13.0,Cottbus
Rosenheim,5,25,5.0,Rosenheim
Memmingen,6,26,6.0,Memmingen
Koblenz,8,26,8.0,Koblenz
Worms,13,26,13.0,Worms
Oldenburg,10,27,10.0,Oldenburg
Ansbach,8,28,8.0,Ansbach
Heidelberg,11,28,11.0,Heidelberg
Münster,9,30,9.0,Münster
Bottrop,8,30,8.0,Bottrop
Bamberg,28,34,28.0,Bamberg
Landshut,11,35,11.0,Landshut
Kiel,12,35,12.0,Kiel
Kaiserslautern,10,36,10.0,Kaiserslautern
Remscheid,14,37,14.0,Remscheid
Zweibrücken,16,37,16.0,Zweibrücken
Erlangen,11,38,11.0,Erlangen
Lübeck,14,42,14.0,Lübeck
Berlin Treptow-Köpenick,16,43,16.0,Berlin Treptow-Köpenick
Delmenhorst,14,43,14.0,Delmenhorst
Chemnitz,14,44,14.0,Chemnitz
Mülheim a.d.Ruhr,22,45,22.0,Mülheim a.d.Ruhr
Hamm,8,47,8.0,Hamm
Herne,16,48,16.0,Herne
Offenbach,16,48,16.0,Offenbach
Karlsruhe,13,49,13.0,Karlsruhe
Fürth,27,51,27.0,Fürth
Darmstadt,23,51,23.0,Darmstadt
Erfurt,11,52,11.0,Erfurt
Halle,12,52,12.0,Halle
Freiburg i.Breisgau,23,53,23.0,Freiburg i.Breisgau
Berlin Pankow,16,57,16.0,Berlin Pankow
Regensburg,14,57,14.0,Regensburg
Berlin Steglitz-Zehlendorf,20,60,20.0,Berlin Steglitz-Zehlendorf
Berlin Lichtenberg,26,61,26.0,Berlin Lichtenberg
Würzburg,16,62,16.0,Würzburg
Ingolstadt,20,66,20.0,Ingolstadt
Schweinfurt,28,68,28.0,Schweinfurt
Berlin Reinickendorf,28,69,28.0,Berlin Reinickendorf
Kassel,25,70,25.0,Kassel
Berlin Friedrichshain-Kreuzberg,25,71,25.0,Berlin Friedrichshain-Kreuzberg
Solingen,28,71,28.0,Solingen
Ulm,32,71,32.0,Ulm
Leverkusen,17,75,17.0,Leverkusen
Oberhausen,38,75,38.0,Oberhausen
Berlin Tempelhof-Schöneberg,25,78,25.0,Berlin Tempelhof-Schöneberg
Berlin Marzahn-Hellersdorf,24,81,24.0,Berlin Marzahn-Hellersdorf
Berlin Neukölln,20,82,20.0,Berlin Neukölln
Mönchengladbach,35,85,35.0,Mönchengladbach
Krefeld,36,89,36.0,Krefeld
Dresden,32,92,32.0,Dresden
Berlin Charlottenburg-Wilmersdorf,27,94,27.0,Berlin Charlottenburg-Wilmersdorf
Bielefeld,21,98,21.0,Bielefeld
Pforzheim,36,103,36.0,Pforzheim
Gelsenkirchen,33,106,33.0,Gelsenkirchen
Leipzig,40,106,40.0,Leipzig
Ludwigshafen,29,118,29.0,Ludwigshafen
Mannheim,58,119,58.0,Mannheim
Bochum,46,121,46.0,Bochum
Heilbronn,56,125,56.0,Heilbronn
Berlin Mitte,51,133,51.0,Berlin Mitte
Berlin Spandau,38,135,38.0,Berlin Spandau
Wiesbaden,56,145,56.0,Wiesbaden
Mainz,58,153,58.0,Mainz
Hagen,57,155,57.0,Hagen
Bremen,52,157,52.0,Bremen
Augsburg,63,168,63.0,Augsburg
Essen,81,178,81.0,Essen
Düsseldorf,69,209,69.0,Düsseldorf
Bonn,61,210,61.0,Bonn
Dortmund,100,222,100.0,Dortmund
Duisburg,69,223,69.0,Duisburg
Wuppertal,74,225,74.0,Wuppertal
Frankfurt am Main,132,339,132.0,Frankfurt am Main
Nürnberg,126,343,126.0,Nürnberg
Stuttgart,129,360,129.0,Stuttgart
Köln,137,394,137.0,Köln
München,204,537,204.0,München
Hamburg,249,568,249.0,Hamburg
