,08.07.2021,07.07.2021,06.07.2021,05.07.2021,04.07.2021,03.07.2021,02.07.2021,01.07.2021,30.06.2021,29.06.2021,28.06.2021,27.06.2021,26.06.2021,25.06.2021
Bad Berleburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bad Laasphe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burbach,0,1,0,1,0,0,2,2,2,0,0,0,1,1
Erndtebrück,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Freudenberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hilchenbach,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kreuztal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Netphen,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Neunkirchen,0,0,0,0,0,0,0,0,3,0,3,0,3,1
Siegen,5,1,2,1,0,0,3,1,0,0,0,0,1,2
Wilnsdorf,0,0,0,0,0,0,0,0,0,0,0,0,1,0
