,last7,last14,mix,Gemeinde
Altenberge,25,57,25.0,Altenberge
Emsdetten,82,168,82.0,Emsdetten
Greven,65,120,65.0,Greven
Hopsten,18,35,18.0,Hopsten
Hörstel,48,92,48.0,Hörstel
Horstmar,12,28,12.0,Horstmar
Ibbenbüren,141,286,141.0,Ibbenbüren
Ladbergen,11,17,11.0,Ladbergen
Laer,17,35,17.0,Laer
Lengerich,40,116,40.0,Lengerich
Lienen,30,61,30.0,Lienen
Lotte,34,81,34.0,Lotte
Metelen,5,10,5.0,Metelen
Mettingen,14,36,14.0,Mettingen
Neuenkirchen,41,80,41.0,Neuenkirchen
Nordwalde,26,86,26.0,Nordwalde
Ochtrup,40,70,40.0,Ochtrup
Recke,12,53,12.0,Recke
Rheine,201,357,201.0,Rheine
Saerbeck,11,25,11.0,Saerbeck
Steinfurt,94,193,94.0,Steinfurt
Tecklenburg,3,15,3.0,Tecklenburg
Westerkappeln,16,45,16.0,Westerkappeln
Wettringen,17,57,17.0,Wettringen
