AGS,09.12.2021,08.12.2021,07.12.2021,06.12.2021,05.12.2021,04.12.2021,03.12.2021,02.12.2021,01.12.2021,30.11.2021,29.11.2021,28.11.2021,27.11.2021,26.11.2021
07319000,198,0,0,303,0,0,0,201,0,0,164,0,0,0
07331003,49,0,0,54,0,0,0,32,0,0,33,0,0,0
07331001,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331002,26,0,0,41,0,0,0,43,0,0,43,0,0,0
07331023,10,0,0,23,0,0,0,25,0,0,10,0,0,0
07331017,24,0,0,28,0,0,0,28,0,0,9,0,0,0
07331004,51,0,0,47,0,0,0,36,0,0,29,0,0,0
07331006,52,0,0,72,0,0,0,96,0,0,92,0,0,0
07331005,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331007,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331008,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331010,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331012,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331014,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331020,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331021,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331022,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331024,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331025,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331026,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331027,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331031,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331032,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331042,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331043,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331044,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331050,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331051,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331052,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331053,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331067,44,0,0,74,0,0,0,69,0,0,37,0,0,0
07331018,26,0,0,41,0,0,0,43,0,0,43,0,0,0
07331034,26,0,0,41,0,0,0,43,0,0,43,0,0,0
07331038,26,0,0,41,0,0,0,43,0,0,43,0,0,0
07331045,26,0,0,41,0,0,0,43,0,0,43,0,0,0
07331041,10,0,0,23,0,0,0,25,0,0,10,0,0,0
07331046,10,0,0,23,0,0,0,25,0,0,10,0,0,0
07331048,10,0,0,23,0,0,0,25,0,0,10,0,0,0
07331047,10,0,0,23,0,0,0,25,0,0,10,0,0,0
07331054,10,0,0,23,0,0,0,25,0,0,10,0,0,0
07331066,10,0,0,23,0,0,0,25,0,0,10,0,0,0
07331030,24,0,0,28,0,0,0,28,0,0,9,0,0,0
07331035,24,0,0,28,0,0,0,28,0,0,9,0,0,0
07331060,24,0,0,28,0,0,0,28,0,0,9,0,0,0
07331062,24,0,0,28,0,0,0,28,0,0,9,0,0,0
07331070,24,0,0,28,0,0,0,28,0,0,9,0,0,0
07331072,24,0,0,28,0,0,0,28,0,0,9,0,0,0
07331075,24,0,0,28,0,0,0,28,0,0,9,0,0,0
07331019,51,0,0,47,0,0,0,36,0,0,29,0,0,0
07331029,51,0,0,47,0,0,0,36,0,0,29,0,0,0
07331033,51,0,0,47,0,0,0,36,0,0,29,0,0,0
07331056,51,0,0,47,0,0,0,36,0,0,29,0,0,0
07331058,51,0,0,47,0,0,0,36,0,0,29,0,0,0
07331059,51,0,0,47,0,0,0,36,0,0,29,0,0,0
07331061,51,0,0,47,0,0,0,36,0,0,29,0,0,0
07331063,51,0,0,47,0,0,0,36,0,0,29,0,0,0
07331064,51,0,0,47,0,0,0,36,0,0,29,0,0,0
07331065,51,0,0,47,0,0,0,36,0,0,29,0,0,0
07331068,51,0,0,47,0,0,0,36,0,0,29,0,0,0
07331073,51,0,0,47,0,0,0,36,0,0,29,0,0,0
07331009,52,0,0,72,0,0,0,96,0,0,92,0,0,0
07331015,52,0,0,72,0,0,0,96,0,0,92,0,0,0
07331028,52,0,0,72,0,0,0,96,0,0,92,0,0,0
07331036,52,0,0,72,0,0,0,96,0,0,92,0,0,0
07331037,52,0,0,72,0,0,0,96,0,0,92,0,0,0
07331039,52,0,0,72,0,0,0,96,0,0,92,0,0,0
07331011,52,0,0,72,0,0,0,96,0,0,92,0,0,0
07331049,52,0,0,72,0,0,0,96,0,0,92,0,0,0
07331055,52,0,0,72,0,0,0,96,0,0,92,0,0,0
07331071,52,0,0,72,0,0,0,96,0,0,92,0,0,0
