AGS,last7,last14,mix,last7_risk,last14_risk,mix_risk,Gemeinde
07319000,199,389,199.0,116,222,116.0,Stadt Worms
07331003,23,54,23.0,15,36,15.0,Stadt Alzey
07331001,14,49,14.0,4,24,4.0,VG Alzey-Land
07331002,24,38,24.0,11,24,11.0,VG Eich
07331023,14,27,14.0,12,22,12.0,VG Monsheim
07331017,19,28,19.0,15,20,15.0,VG Wöllstein
07331004,52,106,52.0,25,58,25.0,VG Wörrstadt
07331006,39,75,39.0,20,42,20.0,VG Wonnegau
07331005,14,49,14.0,4,24,4.0,VG Alzey-Land
07331007,14,49,14.0,4,24,4.0,VG Alzey-Land
07331008,14,49,14.0,4,24,4.0,VG Alzey-Land
07331010,14,49,14.0,4,24,4.0,VG Alzey-Land
07331012,14,49,14.0,4,24,4.0,VG Alzey-Land
07331014,14,49,14.0,4,24,4.0,VG Alzey-Land
07331020,14,49,14.0,4,24,4.0,VG Alzey-Land
07331021,14,49,14.0,4,24,4.0,VG Alzey-Land
07331022,14,49,14.0,4,24,4.0,VG Alzey-Land
07331024,14,49,14.0,4,24,4.0,VG Alzey-Land
07331025,14,49,14.0,4,24,4.0,VG Alzey-Land
07331026,14,49,14.0,4,24,4.0,VG Alzey-Land
07331027,14,49,14.0,4,24,4.0,VG Alzey-Land
07331031,14,49,14.0,4,24,4.0,VG Alzey-Land
07331032,14,49,14.0,4,24,4.0,VG Alzey-Land
07331042,14,49,14.0,4,24,4.0,VG Alzey-Land
07331043,14,49,14.0,4,24,4.0,VG Alzey-Land
07331044,14,49,14.0,4,24,4.0,VG Alzey-Land
07331050,14,49,14.0,4,24,4.0,VG Alzey-Land
07331051,14,49,14.0,4,24,4.0,VG Alzey-Land
07331052,14,49,14.0,4,24,4.0,VG Alzey-Land
07331053,14,49,14.0,4,24,4.0,VG Alzey-Land
07331067,14,49,14.0,4,24,4.0,VG Alzey-Land
07331018,24,38,24.0,11,24,11.0,VG Eich
07331034,24,38,24.0,11,24,11.0,VG Eich
07331038,24,38,24.0,11,24,11.0,VG Eich
07331045,24,38,24.0,11,24,11.0,VG Eich
07331041,14,27,14.0,12,22,12.0,VG Monsheim
07331046,14,27,14.0,12,22,12.0,VG Monsheim
07331048,14,27,14.0,12,22,12.0,VG Monsheim
07331047,14,27,14.0,12,22,12.0,VG Monsheim
07331054,14,27,14.0,12,22,12.0,VG Monsheim
07331066,14,27,14.0,12,22,12.0,VG Monsheim
07331030,19,28,19.0,15,20,15.0,VG Wöllstein
07331035,19,28,19.0,15,20,15.0,VG Wöllstein
07331060,19,28,19.0,15,20,15.0,VG Wöllstein
07331062,19,28,19.0,15,20,15.0,VG Wöllstein
07331070,19,28,19.0,15,20,15.0,VG Wöllstein
07331072,19,28,19.0,15,20,15.0,VG Wöllstein
07331075,19,28,19.0,15,20,15.0,VG Wöllstein
07331019,52,106,52.0,25,58,25.0,VG Wörrstadt
07331029,52,106,52.0,25,58,25.0,VG Wörrstadt
07331033,52,106,52.0,25,58,25.0,VG Wörrstadt
07331056,52,106,52.0,25,58,25.0,VG Wörrstadt
07331058,52,106,52.0,25,58,25.0,VG Wörrstadt
07331059,52,106,52.0,25,58,25.0,VG Wörrstadt
07331061,52,106,52.0,25,58,25.0,VG Wörrstadt
07331063,52,106,52.0,25,58,25.0,VG Wörrstadt
07331064,52,106,52.0,25,58,25.0,VG Wörrstadt
07331065,52,106,52.0,25,58,25.0,VG Wörrstadt
07331068,52,106,52.0,25,58,25.0,VG Wörrstadt
07331073,52,106,52.0,25,58,25.0,VG Wörrstadt
07331009,39,75,39.0,20,42,20.0,VG Wonnegau
07331015,39,75,39.0,20,42,20.0,VG Wonnegau
07331028,39,75,39.0,20,42,20.0,VG Wonnegau
07331036,39,75,39.0,20,42,20.0,VG Wonnegau
07331037,39,75,39.0,20,42,20.0,VG Wonnegau
07331039,39,75,39.0,20,42,20.0,VG Wonnegau
07331011,39,75,39.0,20,42,20.0,VG Wonnegau
07331049,39,75,39.0,20,42,20.0,VG Wonnegau
07331055,39,75,39.0,20,42,20.0,VG Wonnegau
07331071,39,75,39.0,20,42,20.0,VG Wonnegau
