Kommune,last7,last14,mix,Gemeinde
Aschheim,6,12,6.0,Aschheim
Aying,1,3,1.0,Aying
Baierbrunn,0,1,0.6,Baierbrunn
Brunnthal,1,2,1.0,Brunnthal
Feldkirchen,5,10,5.0,Feldkirchen
Garching,10,16,10.0,Garching
Gräfelfing,0,6,0.6,Gräfelfing
Grasbrunn,0,4,0.6,Grasbrunn
Grünwald,4,7,4.0,Grünwald
Haar,10,22,10.0,Haar
Hohenbrunn,0,2,0.6,Hohenbrunn
Höhenkirchen-Siegertsbrunn,3,6,3.0,Höhenkirchen-Siegertsbrunn
Ismaning,1,4,1.0,Ismaning
Kirchheim,6,6,6.0,Kirchheim
Neubiberg,7,7,7.0,Neubiberg
Neuried,6,12,6.0,Neuried
Oberhaching,2,4,2.0,Oberhaching
Oberschleißheim,7,14,7.0,Oberschleißheim
Ottobrunn,24,45,24.0,Ottobrunn
Planegg,6,9,6.0,Planegg
Pullach,3,5,3.0,Pullach
Putzbrunn,4,14,4.0,Putzbrunn
Sauerlach,1,3,1.0,Sauerlach
Schäftlarn,5,9,5.0,Schäftlarn
Straßlach-Dingharting,0,0,0.2,Straßlach-Dingharting
Taufkirchen,11,18,11.0,Taufkirchen
Unterföhring,8,13,8.0,Unterföhring
Unterhaching,6,22,6.0,Unterhaching
Unterschleißheim,20,36,20.0,Unterschleißheim
