,Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage_x,Einwohner,7-Tages-Inzidenz,Landkreis,Neuzugänge letzten 7 Tage_y,Neuzugänge letzten 14 Tage,Neuzugänge letzten 7 Tage
169,Borna,1,2150.0,19.006,1.1312,Leipzig,72,287,215
170,Bennewitz,2,540.0,4.988,1.0826,Leipzig,25,79,54
171,Borsdorf,3,870.0,8.139,1.0689,Leipzig,58,145,87
172,Markranstädt,4,1630.0,15.885,1.0261,Leipzig,62,225,163
173,Rötha,5,580.0,6.2010000000000005,9353.0,Leipzig,26,84,58
174,Frohburg,6,1000.0,12.35,8097.0,Leipzig,37,137,100
175,Zwenkau,7,600.0,9.274,647.0,Leipzig,48,108,60
176,Thallwitz,8,230.0,3.5639999999999996,6453.0,Leipzig,10,33,23
177,Belgershain,9,200.0,3.375,5926.0,Leipzig,16,36,20
178,Markkleeberg,10,1450.0,24.595,5896.0,Leipzig,52,197,145
179,Neukieritzsch,11,400.0,6.834,5853.0,Leipzig,13,53,40
180,Wurzen,12,920.0,16.176,5687.0,Leipzig,37,129,92
181,Elstertrebnitz,13,70.0,1.301,538.0,Leipzig,2,9,7
182,Brandis,14,510.0,9.649,5286.0,Leipzig,19,70,51
183,Naunhof,15,460.0,8.714,5279.0,Leipzig,37,83,46
184,Machern,16,330.0,6.772,4873.0,Leipzig,21,54,33
185,Großpösna,17,260.0,5.431,4787.0,Leipzig,15,41,26
186,Regis-Breitingen,18,180.0,3.833,4696.0,Leipzig,8,26,18
187,Böhlen,19,310.0,6.657,4657.0,Leipzig,27,58,31
188,Lossatal,20,260.0,6.011,4325.0,Leipzig,21,47,26
189,Bad Lausick,21,350.0,8.097999999999999,4322.0,Leipzig,42,77,35
190,Groitzsch,22,300.0,7.582000000000001,3957.0,Leipzig,14,44,30
191,Pegau,23,250.0,6.5,3846.0,Leipzig,17,42,25
192,Parthenstein,24,120.0,3.552,3378.0,Leipzig,12,24,12
193,Otterwisch,25,40.0,1.3730000000000002,2913.0,Leipzig,0,4,4
194,Kitzscher,26,130.0,5.142,2528.0,Leipzig,15,28,13
195,Geithain,27,140.0,6.811,2055.0,Leipzig,5,19,14
196,Grimma,28,550.0,28.129,1955.0,Leipzig,58,113,55
197,Trebsen/Mulde,29,50.0,3.7880000000000003,132.0,Leipzig,5,10,5
198,Colditz,30,110.0,8.34,1319.0,Leipzig,23,34,11
