,Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage_x,Einwohner,7-Tages-Inzidenz,Landkreis,Neuzugänge letzten 7 Tage_y,Neuzugänge letzten 14 Tage,Neuzugänge letzten 7 Tage
199,Wülknitz,1,860.0,4.228,2.0341,Meißen,42,128,86
200,Thiendorf,2,770.0,3.815,2.0183,Meißen,68,145,77
201,Ebersbach,3,810.0,4.334,1.8689,Meißen,65,146,81
202,Großenhain,4,3300.0,18.043,1.829,Meißen,339,669,330
203,Gröditz,5,1220.0,6.879,1.7735,Meißen,81,203,122
204,Glaubitz,6,1320.0,7.506,1.7586,Meißen,113,245,132
205,Niederau,7,690.0,4.071000000000001,1.6949,Meißen,83,152,69
206,Moritzburg,8,1400.0,8.362,1.6742,Meißen,116,256,140
207,Käbschütztal,9,440.0,2.755,1.5971,Meißen,33,77,44
208,Klipphausen,10,1610.0,10.309000000000001,1.5617,Meißen,131,292,161
209,Zeithain,11,850.0,5.5120000000000005,1.5421,Meißen,62,147,85
210,Radeburg,12,1080.0,7.237,1.4923,Meißen,123,231,108
211,Radebeul,13,4940.0,33.939,1.4556,Meißen,604,1098,494
212,Meißen,14,4010.0,28.142,1.4249,Meißen,430,831,401
213,Lampertswalde,15,610.0,4.322,1.4114,Meißen,53,114,61
214,Priestewitz,16,440.0,3.167,1.3893,Meißen,29,73,44
215,Strehla,17,500.0,3.6860000000000004,1.3565,Meißen,87,137,50
216,Coswig,18,2770.0,20.516,1.3502,Meißen,316,593,277
217,Nossen,19,1270.0,10.494000000000002,1.2102,Meißen,127,254,127
218,Diera-Zehren,20,370.0,3.222,1.1484,Meißen,34,71,37
219,Weinböhla,21,1170.0,10.398,1.1252,Meißen,141,258,117
220,Stauchitz,22,320.0,3.108,1.0296,Meißen,43,75,32
221,Hirschstein,23,200.0,1.9680000000000002,1.0163,Meißen,26,46,20
222,Lommatzsch,24,470.0,4.813,9765.0,Meißen,57,104,47
223,Riesa,25,2550.0,28.995,8795.0,Meißen,329,584,255
413,Nünchritz,6,1320.0,7.506,1.7586,Meißen,113,245,132
414,Röderaue,1,860.0,4.228,2.0341,Meißen,42,128,86
415,Schönfeld,15,610.0,4.322,1.4114,Meißen,53,114,61
