,Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage_x,Einwohner,7-Tages-Inzidenz,Landkreis,Neuzugänge letzten 7 Tage_y,Neuzugänge letzten 14 Tage,Neuzugänge letzten 7 Tage
224,Dorfchemnitz,1,220.0,1.516,1.4512,Mittelsachsen,12,34,22
225,Königshain-Wiederau,2,270.0,2.5810000000000004,1.0461,Mittelsachsen,39,66,27
226,Seelitz,3,160.0,1.6740000000000002,9558.0,Mittelsachsen,12,28,16
227,Erlau,4,260.0,3.139,8283.0,Mittelsachsen,30,56,26
228,Wechselburg,5,140.0,1.7730000000000001,7896.0,Mittelsachsen,5,19,14
229,Frauenstein,6,210.0,2.73,7692.0,Mittelsachsen,10,31,21
230,Zettlitz,7,50.0,661.0,7564.0,Mittelsachsen,0,5,5
231,Rechenberg-Bienenmühle,8,130.0,1.814,7166.0,Mittelsachsen,12,25,13
232,Zschaitz-Ottewig,9,90.0,1.3030000000000002,6907.0,Mittelsachsen,3,12,9
233,Lichtenberg/Erzgeb.,10,180.0,2.678,6721.0,Mittelsachsen,18,36,18
234,Geringswalde,11,270.0,4.163,6486.0,Mittelsachsen,20,47,27
235,Altmittweida,12,120.0,1.88,6383.0,Mittelsachsen,5,17,12
236,Oberschöna,13,210.0,3.3080000000000003,6348.0,Mittelsachsen,21,42,21
237,Großschirma,14,350.0,5.52,6341.0,Mittelsachsen,26,61,35
238,Großhartmannsdorf,15,140.0,2.451,5712.0,Mittelsachsen,13,27,14
239,Niederwiesa,16,270.0,4.821000000000001,560.0,Mittelsachsen,19,46,27
240,Halsbrücke,17,270.0,5.084,5311.0,Mittelsachsen,10,37,27
241,Bobritzsch-Hilbersdorf,18,300.0,5.662000000000001,5298.0,Mittelsachsen,20,50,30
242,Weißenborn/Erzgeb.,19,130.0,2.477,5248.0,Mittelsachsen,12,25,13
243,Sayda,20,80.0,1.714,4667.0,Mittelsachsen,14,22,8
244,Rossau,21,160.0,3.48,4598.0,Mittelsachsen,12,28,16
245,Neuhausen/Erzgeb.,22,100.0,2.543,3932.0,Mittelsachsen,17,27,10
246,Reinsberg,23,110.0,2.819,3902.0,Mittelsachsen,6,17,11
247,Roßwein,24,270.0,7.355,3671.0,Mittelsachsen,14,41,27
248,Mittweida,25,500.0,14.189,3524.0,Mittelsachsen,33,83,50
249,Freiberg,26,1400.0,39.755,3522.0,Mittelsachsen,117,257,140
250,Döbeln,27,820.0,23.386,3506.0,Mittelsachsen,30,112,82
251,Flöha,28,370.0,10.565,3502.0,Mittelsachsen,25,62,37
252,Taura,29,80.0,2.307,3468.0,Mittelsachsen,6,14,8
253,Burgstädt,30,360.0,10.485999999999999,3433.0,Mittelsachsen,26,62,36
254,Oederan,31,260.0,7.867999999999999,3305.0,Mittelsachsen,18,44,26
255,Ostrau,32,110.0,3.5,3143.0,Mittelsachsen,3,14,11
256,Lichtenau,33,220.0,7.058,3117.0,Mittelsachsen,19,41,22
257,Großweitzschen,34,80.0,2.715,2947.0,Mittelsachsen,2,10,8
258,Kriebstein,35,60.0,2.04,2941.0,Mittelsachsen,3,9,6
259,Hartha,36,200.0,6.807,2938.0,Mittelsachsen,6,26,20
260,Königsfeld,37,40.0,1.374,2911.0,Mittelsachsen,2,6,4
261,Penig,38,240.0,8.566,2802.0,Mittelsachsen,16,40,24
262,Leubsdorf,39,90.0,3.265,2757.0,Mittelsachsen,2,11,9
263,Rochlitz,40,150.0,5.62,2669.0,Mittelsachsen,14,29,15
264,Brand-Erbisdorf,41,240.0,9.134,2628.0,Mittelsachsen,28,52,24
265,Hartmannsdorf,42,110.0,4.4,250.0,Mittelsachsen,5,16,11
266,Eppendorf,43,100.0,4.008,2495.0,Mittelsachsen,5,15,10
267,Augustusburg,44,110.0,4.488,2451.0,Mittelsachsen,5,16,11
268,Frankenberg/Sa.,45,330.0,13.759,2398.0,Mittelsachsen,32,65,33
269,Claußnitz,46,60.0,3.008,1995.0,Mittelsachsen,11,17,6
270,Striegistal,47,90.0,4.582,1964.0,Mittelsachsen,22,31,9
271,Waldheim,48,170.0,8.954,1899.0,Mittelsachsen,10,27,17
272,Mulda/Sa.,49,40.0,2.455,1629.0,Mittelsachsen,14,18,4
273,Leisnig,50,130.0,8.215,1582.0,Mittelsachsen,15,28,13
274,Mühlau,51,30.0,2.127,141.0,Mittelsachsen,0,3,3
275,Hainichen,52,110.0,8.471,1299.0,Mittelsachsen,25,36,11
276,Lunzenau,53,40.0,4.095,977.0,Mittelsachsen,11,15,4
