,Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage_x,Einwohner,7-Tages-Inzidenz,Landkreis,Neuzugänge letzten 7 Tage_y,Neuzugänge letzten 14 Tage,Neuzugänge letzten 7 Tage
277,Krostitz,1,530.0,4.033,1.3142,Nordsachsen,16,69,53
278,Löbnitz,2,120.0,2.086,5753.0,Nordsachsen,19,31,12
279,Liebschützberg,3,130.0,2.975,437.0,Nordsachsen,15,28,13
280,Cavertitz,4,90.0,2.214,4065.0,Nordsachsen,4,13,9
281,Doberschütz,5,140.0,4.093999999999999,342.0,Nordsachsen,34,48,14
282,Trossin,6,40.0,1.2429999999999999,3218.0,Nordsachsen,4,8,4
283,Zschepplin,7,90.0,2.8489999999999998,3159.0,Nordsachsen,12,21,9
284,Mockrehna,8,150.0,5.041,2976.0,Nordsachsen,13,28,15
285,Rackwitz,9,140.0,5.135,2726.0,Nordsachsen,20,34,14
286,Delitzsch,10,660.0,24.823,2659.0,Nordsachsen,86,152,66
287,Wiedemar,11,110.0,5.267,2088.0,Nordsachsen,18,29,11
288,Taucha,12,310.0,15.745,1969.0,Nordsachsen,23,54,31
289,Schkeuditz,13,340.0,18.312,1857.0,Nordsachsen,26,60,34
290,Bad Düben,14,130.0,7.83,166.0,Nordsachsen,26,39,13
291,Jesewitz,15,50.0,3.09,1618.0,Nordsachsen,9,14,5
292,Mügeln,16,80.0,5.872000000000001,1362.0,Nordsachsen,11,19,8
293,Torgau,17,270.0,19.883,1358.0,Nordsachsen,27,54,27
294,Oschatz,18,190.0,14.097999999999999,1348.0,Nordsachsen,45,64,19
295,Eilenburg,19,200.0,15.557,1286.0,Nordsachsen,45,65,20
296,Schönwölkau,20,30.0,2.551,1176.0,Nordsachsen,11,14,3
297,Wermsdorf,21,60.0,5.2010000000000005,1154.0,Nordsachsen,7,13,6
298,Laußig,22,40.0,3.6439999999999997,1098.0,Nordsachsen,8,12,4
299,Belgern-Schildau,23,70.0,7.718999999999999,907.0,Nordsachsen,7,14,7
300,Beilrode,24,30.0,4.154,722.0,Nordsachsen,8,11,3
301,Arzberg,25,10.0,1.879,532.0,Nordsachsen,3,4,1
302,Dahlen,26,20.0,4.245,471.0,Nordsachsen,16,18,2
303,Naundorf,27,10.0,2.247,445.0,Nordsachsen,4,5,1
304,Dommitzsch,28,10.0,2.458,407.0,Nordsachsen,2,3,1
305,Dreiheide,29,6.0,2.102,0.0,Nordsachsen,3,3,0
306,Elsnig,29,6.0,1.3940000000000001,0.0,Nordsachsen,1,1,0
