,Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage_x,Einwohner,7-Tages-Inzidenz,Landkreis,Neuzugänge letzten 7 Tage_y,Neuzugänge letzten 14 Tage,Neuzugänge letzten 7 Tage
307,Liebstadt,1,160.0,1.272,1.2579,Sächsische Schweiz-Osterzgebirge,1,17,16
308,Glashütte,2,840.0,6.747999999999999,1.2448,Sächsische Schweiz-Osterzgebirge,70,154,84
309,Hermsdorf/Erzgeb.,3,80.0,772.0,1.0363,Sächsische Schweiz-Osterzgebirge,5,13,8
310,Stolpen,4,560.0,5.523,1.0139,Sächsische Schweiz-Osterzgebirge,28,84,56
311,Hartmannsdorf-Reichenau,5,100.0,992.0,1.0081,Sächsische Schweiz-Osterzgebirge,7,17,10
312,Tharandt,6,530.0,5.354,9899.0,Sächsische Schweiz-Osterzgebirge,37,90,53
313,Dippoldiswalde,7,1390.0,14.155,982.0,Sächsische Schweiz-Osterzgebirge,91,230,139
314,Klingenberg,8,650.0,6.751,9628.0,Sächsische Schweiz-Osterzgebirge,43,108,65
315,Altenberg,9,720.0,7.829,9197.0,Sächsische Schweiz-Osterzgebirge,16,88,72
316,Kreischa,10,410.0,4.56,8991.0,Sächsische Schweiz-Osterzgebirge,14,55,41
317,Dorfhain,11,90.0,1.064,8459.0,Sächsische Schweiz-Osterzgebirge,3,12,9
318,Bannewitz,12,900.0,11.095,8112.0,Sächsische Schweiz-Osterzgebirge,53,143,90
319,Bad Gottleuba-Berggießhübel,13,410.0,5.551,7386.0,Sächsische Schweiz-Osterzgebirge,23,64,41
320,Wilsdruff,14,1040.0,14.452,7196.0,Sächsische Schweiz-Osterzgebirge,38,142,104
321,Dohma,15,120.0,1.964,611.0,Sächsische Schweiz-Osterzgebirge,7,19,12
322,Heidenau,16,940.0,16.566,5674.0,Sächsische Schweiz-Osterzgebirge,49,143,94
323,Dohna,17,350.0,6.171,5672.0,Sächsische Schweiz-Osterzgebirge,59,94,35
324,Struppen,18,140.0,2.5,560.0,Sächsische Schweiz-Osterzgebirge,0,14,14
325,Freital,19,2080.0,39.319,529.0,Sächsische Schweiz-Osterzgebirge,87,295,208
326,Reinhardtsdorf-Schöna,20,60.0,1.294,4637.0,Sächsische Schweiz-Osterzgebirge,1,7,6
327,Müglitztal,21,80.0,1.906,4197.0,Sächsische Schweiz-Osterzgebirge,9,17,8
328,Lohmen,22,130.0,3.115,4173.0,Sächsische Schweiz-Osterzgebirge,4,17,13
329,Pirna,23,1540.0,38.266,4024.0,Sächsische Schweiz-Osterzgebirge,81,235,154
330,Neustadt in Sachsen,24,470.0,11.909,3947.0,Sächsische Schweiz-Osterzgebirge,9,56,47
331,Bahretal,25,70.0,2.138,3274.0,Sächsische Schweiz-Osterzgebirge,3,10,7
332,Stadt Wehlen,26,50.0,1.5630000000000002,3199.0,Sächsische Schweiz-Osterzgebirge,8,13,5
333,Bad Schandau,27,110.0,3.464,3176.0,Sächsische Schweiz-Osterzgebirge,2,13,11
334,Dürrröhrsdorf-Dittersbach,28,130.0,4.271,3044.0,Sächsische Schweiz-Osterzgebirge,10,23,13
335,Rathen,29,10.0,338.0,2959.0,Sächsische Schweiz-Osterzgebirge,0,1,1
336,Rathmannsdorf,30,20.0,895.0,2235.0,Sächsische Schweiz-Osterzgebirge,0,2,2
337,Sebnitz,31,200.0,9.3,2151.0,Sächsische Schweiz-Osterzgebirge,3,23,20
338,Rabenau,32,90.0,4.415,2039.0,Sächsische Schweiz-Osterzgebirge,9,18,9
339,Gohrisch,33,30.0,1.791,1675.0,Sächsische Schweiz-Osterzgebirge,4,7,3
340,Hohnstein,34,50.0,3.2439999999999998,1541.0,Sächsische Schweiz-Osterzgebirge,3,8,5
341,Königstein/Sächs. Schw.,35,30.0,2.072,1448.0,Sächsische Schweiz-Osterzgebirge,1,4,3
342,Rosenthal-Bielatal,36,20.0,1.594,1255.0,Sächsische Schweiz-Osterzgebirge,3,5,2
