Gemeinde,Neuzugänge letzten 7 Tage
Weißenberg,23
Haselbachtal,28
Hochkirch,11
Großharthau,10
Frankenthal,3
Schwepnitz,8
Lauta,26
Sohland a.d. Spree,19
Kubschütz,7
Steina,4
Großpostwitz/O.L.,6
Radibor,6
Ralbitz-Rosenthal,3
Pulsnitz,12
Kamenz,27
Arnsdorf,7
Radeberg,26
Königsbrück,6
Göda,4
Doberschau-Gaußig,5
Großdubrau,5
Großröhrsdorf,11
Ottendorf-Okrilla,11
Laußnitz,2
Obergurig,2
Bischofswerda,10
Bautzen,34
Königswartha,3
Neschwitz,2
Ohorn,2
Demitz-Thumitz,2
Rammenau,1
Wachau,3
"Bernsdorf,  Stadt",4
Lichtenberg,1
Neukirch,1
Elsterheide,2
Schirgiswalde-Kirschau,3
Malschwitz,2
Wilthen,2
Burkau,1
Lohsa,2
Hoyerswerda,12
Elstra,1
Steinigtwolmsdorf,1
Wittichenau,2
Schmölln-Putzkau,1
Cunewalde,1
Neukirch/Lausitz,1
Crostwitz,0
Großnaundorf,0
Nebelschütz,0
Oßling,0
Panschwitz-Kuckau,0
Puschwitz,0
Räckelwitz,0
Spreetal,0
Johanngeorgenstadt,32
Bockau,16
Heidersdorf,4
Geyer,17
Marienberg,76
Breitenbrunn/Erzgeb.,23
Gornau/Erzgeb.,16
Ehrenfriedersdorf,19
Bärenstein,9
Thum,20
Olbernhau,41
Pockau-Lengefeld,24
Drebach,16
Wolkenstein,12
Schlettau,7
Gelenau/Erzgeb.,12
Lößnitz,22
Zschorlau,14
Eibenstock,18
Grünhain-Beierfeld,14
Stützengrün,7
Zschopau,20
Amtsberg,8
Schneeberg,27
Niederwürschnitz,5
Oberwiesenthal,4
Scheibenberg,4
Seiffen/Erzgeb.,4
Thermalbad Wiesenbad,6
Tannenberg,2
Raschau-Markersbach,8
Oelsnitz/Erzgeb.,17
Lugau/Erzgeb.,12
Annaberg-Buchholz,29
Mildenau,5
Jahnsdorf/Erzgeb.,8
Neukirchen/Erzgeb.,10
Großolbersdorf,4
