,Gemeinde,Neuzugänge letzten 7 Tage_x,Neuzugänge letzten 7 Tage_y,Neuzugänge letzten 14 Tage
0,Puschwitz,5,0,5
1,Steina,6,2,8
2,Spreetal,6,5,11
3,Haselbachtal,11,6,17
4,Ohorn,5,3,8
5,Burkau,5,1,6
6,Radeberg,34,17,51
7,Königsbrück,8,3,11
8,Demitz-Thumitz,4,0,4
9,Cunewalde,6,6,12
10,Neschwitz,3,6,9
11,"Bernsdorf,  Stadt",8,2,10
12,Königswartha,4,2,6
13,Elsterheide,4,5,9
14,Frankenthal,1,0,1
15,Großnaundorf,1,0,1
16,Schmölln-Putzkau,3,0,3
17,Göda,3,2,5
18,Ottendorf-Okrilla,9,5,14
19,Räckelwitz,1,1,2
20,Nebelschütz,1,0,1
21,Kamenz,13,9,22
22,Großpostwitz/O.L.,2,1,3
23,Großdubrau,3,1,4
24,Weißenberg,2,0,2
25,Radibor,2,0,2
26,Neukirch,1,2,3
27,Wilthen,3,4,7
28,Ralbitz-Rosenthal,1,6,7
29,Lohsa,3,9,12
30,Bischofswerda,6,8,14
31,Pulsnitz,4,4,8
32,Hoyerswerda,17,30,47
33,Wittichenau,3,5,8
34,Schirgiswalde-Kirschau,3,1,4
35,Obergurig,1,1,2
36,Lauta,4,7,11
37,Wachau,2,6,8
38,Oßling,1,0,1
39,Neukirch/Lausitz,2,2,4
40,Arnsdorf,2,8,10
41,Bautzen,14,17,31
42,Großröhrsdorf,3,6,9
43,Doberschau-Gaußig,1,2,3
44,Malschwitz,1,3,4
45,Sohland a.d. Spree,1,0,1
46,Crostwitz,0,0,0
47,Elstra,0,2,2
48,Großharthau,0,5,5
49,Hochkirch,0,1,1
50,Kubschütz,0,0,0
51,Laußnitz,0,0,0
52,Lichtenberg,0,3,3
53,Panschwitz-Kuckau,0,0,0
54,Rammenau,0,2,2
55,Schwepnitz,0,6,6
56,Steinigtwolmsdorf,0,1,1
57,Deutschneudorf,5,0,5
58,Scheibenberg,10,2,12
59,Bärenstein,9,6,15
60,Seiffen/Erzgeb.,7,0,7
61,Heidersdorf,2,0,2
62,Ehrenfriedersdorf,11,4,15
63,Annaberg-Buchholz,45,25,70
64,Breitenbrunn/Erzgeb.,10,4,14
65,Stützengrün,6,12,18
66,Jahnsdorf/Erzgeb.,10,9,19
67,Grünhainichen,6,0,6
68,Schlettau,4,4,8
69,Neukirchen/Erzgeb.,11,2,13
70,Crottendorf,6,4,10
71,Stollberg/Erzgeb.,16,1,17
72,Drebach,7,13,20
73,Thermalbad Wiesenbad,4,5,9
74,Raschau-Markersbach,6,4,10
75,Olbernhau,13,17,30
76,Lauter-Bernsbach,10,2,12
77,Elterlein,3,9,12
78,Grünhain-Beierfeld,6,0,6
79,Sehmatal,6,3,9
80,Schönheide,4,3,7
81,Oelsnitz/Erzgeb.,10,9,19
82,Tannenberg,1,0,1
83,Eibenstock,6,0,6
84,Thum,4,9,13
85,Niederwürschnitz,2,1,3
86,Johanngeorgenstadt,3,2,5
87,Jöhstadt,2,0,2
88,Pockau-Lengefeld,5,7,12
89,Schwarzenberg/Erzgeb.,10,14,24
90,Großrückerswalde,2,0,2
91,Aue-Bad Schlema,12,16,28
92,Zschopau,5,5,10
93,Gornau/Erzgeb.,2,2,4
94,Wolkenstein,2,2,4
95,Burkhardtsdorf,3,5,8
96,Gelenau/Erzgeb.,2,2,4
97,Oberwiesenthal,1,2,3
98,Thalheim/Erzgeb.,2,3,5
99,Mildenau,1,4,5
100,Schneeberg,3,4,7
101,Zschorlau,1,1,2
102,Marienberg,3,6,9
103,Lößnitz,1,4,5
104,Amtsberg,0,1,1
105,Auerbach,0,0,0
106,Bockau,0,3,3
107,Börnichen/Erzgeb.,0,0,0
108,Geyer,0,4,4
109,Gornsdorf,0,2,2
110,Großolbersdorf,0,2,2
111,Hohndorf,0,0,0
112,Königswalde,0,4,4
113,Lugau/Erzgeb.,0,2,2
114,Niederdorf,0,0,0
115,Zwönitz,0,8,8
116,Bertsdorf-Hörnitz,8,6,14
117,Großschweidnitz,4,2,6
118,Weißkeißel,4,6,10
119,Jonsdorf,4,0,4
120,Schöpstal,6,1,7
121,Trebendorf,2,1,3
122,Ebersbach-Neugersdorf,25,15,40
123,Kottmar,14,3,17
124,Großschönau,8,14,22
125,Oderwitz,7,6,13
126,Waldhufen,3,1,4
127,Gablenz,2,1,3
128,Schleife,3,4,7
129,Neusalza-Spremberg,4,6,10
130,Dürrhennersdorf,1,1,2
131,Groß Düben,1,0,1
132,Schönbach,1,1,2
133,Niesky,8,0,8
134,Hähnichen,1,0,1
135,Oybin,1,3,4
136,Boxberg/O.L.,3,8,11
137,Hainewalde,1,0,1
138,Zittau,16,15,31
139,Neißeaue,1,1,2
140,Leutersdorf,2,5,7
141,Mittelherwigsdorf,2,3,5
142,Lawalde,1,0,1
143,Löbau,7,8,15
144,Ostritz,1,1,2
145,Olbersdorf,2,4,6
146,Kodersdorf,1,2,3
147,Rietschen,1,3,4
148,Görlitz,22,23,45
149,Weißwasser/O.L.,5,2,7
150,Krauschwitz i.d. O.L.,1,0,1
151,Seifhennersdorf,1,0,1
152,Rothenburg/O.L.,1,1,2
153,Bad Muskau,0,3,3
154,Beiersdorf,0,1,1
155,Bernstadt a.d. Eigen,0,0,0
156,Herrnhut,0,2,2
157,Hohendubrau,0,1,1
158,Horka,0,0,0
159,Königshain,0,0,0
160,Kreba-Neudorf,0,0,0
161,Markersdorf,0,1,1
162,Mücka,0,0,0
163,Oppach,0,3,3
164,Quitzdorf am See,0,0,0
165,Reichenbach/O.L.,0,0,0
166,Rosenbach,0,3,3
167,Schönau-Berzdorf a.d. Eigen,0,0,0
168,Vierkirchen,0,1,1
169,Elstertrebnitz,5,2,7
170,Regis-Breitingen,9,2,11
171,Markranstädt,36,14,50
172,Bennewitz,11,21,32
173,Thallwitz,7,7,14
174,Lossatal,11,11,22
175,Bad Lausick,13,12,25
176,Groitzsch,11,12,23
177,Wurzen,17,34,51
178,Neukieritzsch,7,12,19
179,Grimma,27,28,55
180,Colditz,8,15,23
181,Brandis,9,5,14
182,Rötha,5,5,10
183,Pegau,5,13,18
184,Trebsen/Mulde,3,1,4
185,Markkleeberg,19,20,39
186,Zwenkau,6,7,13
187,Frohburg,8,5,13
188,Machern,4,4,8
189,Geithain,4,4,8
190,Borsdorf,4,5,9
191,Böhlen,3,11,14
192,Kitzscher,2,1,3
193,Großpösna,2,3,5
194,Borna,7,18,25
195,Belgershain,1,0,1
196,Naunhof,2,3,5
197,Otterwisch,0,0,0
198,Parthenstein,0,1,1
199,Radeburg,16,7,23
200,Strehla,8,3,11
201,Hirschstein,3,2,5
202,Stauchitz,4,0,4
203,Moritzburg,10,8,18
204,Lampertswalde,5,3,8
205,Thiendorf,4,1,5
206,Coswig,22,17,39
207,Meißen,30,19,49
208,Großenhain,19,10,29
209,Priestewitz,3,1,4
210,Klipphausen,9,8,17
211,Radebeul,28,31,59
212,Lommatzsch,4,1,5
213,Glaubitz,6,10,16
214,Käbschütztal,2,2,4
215,Diera-Zehren,2,2,4
216,Niederau,2,6,8
217,Riesa,14,15,29
218,Wülknitz,2,2,4
219,Gröditz,3,4,7
220,Weinböhla,3,6,9
221,Nossen,3,7,10
222,Ebersbach,1,0,1
223,Zeithain,1,0,1
224,Neuhausen/Erzgeb.,29,4,33
225,Bobritzsch-Hilbersdorf,19,7,26
226,Geringswalde,11,15,26
227,Rechenberg-Bienenmühle,4,2,6
228,Großhartmannsdorf,5,2,7
229,Sayda,3,0,3
230,Zschaitz-Ottewig,2,1,3
231,Augustusburg,6,0,6
232,Striegistal,6,2,8
233,Dorfchemnitz,2,0,2
234,Flöha,13,5,18
235,Wechselburg,2,0,2
236,Waldheim,10,10,20
237,Lichtenberg/Erzgeb.,3,0,3
238,Rochlitz,6,8,14
239,Altmittweida,2,0,2
240,Roßwein,7,24,31
241,Leubsdorf,3,1,4
242,Ostrau,3,1,4
243,Oederan,6,2,8
244,Großweitzschen,2,2,4
245,Döbeln,17,20,37
246,Königsfeld,1,0,1
247,Freiberg,26,24,50
248,Erlau,2,2,4
249,Mittweida,9,5,14
250,Oberschöna,2,4,6
251,Halsbrücke,3,4,7
252,Brand-Erbisdorf,5,6,11
253,Frankenberg/Sa.,7,14,21
254,Mühlau,1,0,1
255,Hartmannsdorf,2,1,3
256,Weißenborn/Erzgeb.,1,1,2
257,Königshain-Wiederau,1,2,3
258,Burgstädt,4,5,9
259,Leisnig,3,17,20
260,Hainichen,3,10,13
261,Hartha,2,5,7
262,Rossau,1,2,3
263,Eppendorf,1,1,2
264,Lunzenau,1,1,2
265,Penig,2,11,13
266,Niederwiesa,1,3,4
267,Großschirma,1,1,2
268,Claußnitz,0,1,1
269,Frauenstein,0,0,0
270,Kriebstein,0,2,2
271,Lichtenau,0,1,1
272,Mulda/Sa.,0,3,3
273,Reinsberg,0,2,2
274,Seelitz,0,0,0
275,Taura,0,0,0
276,Zettlitz,0,1,1
277,Arzberg,24,4,28
278,Laußig,30,14,44
279,Doberschütz,27,7,34
280,Beilrode,18,16,34
281,Zschepplin,12,5,17
282,Eilenburg,44,38,82
283,Mockrehna,13,11,24
284,Schkeuditz,38,29,67
285,Belgern-Schildau,13,16,29
286,Liebschützberg,5,3,8
287,Trossin,2,2,4
288,Wermsdorf,8,16,24
289,Bad Düben,12,18,30
290,Elsnig,2,2,4
291,Jesewitz,4,4,8
292,Dommitzsch,3,16,19
293,Torgau,24,20,44
294,Dahlen,5,2,7
295,Schönwölkau,3,7,10
296,Wiedemar,6,7,13
297,Rackwitz,5,19,24
298,Naundorf,2,5,7
299,Taucha,14,34,48
300,Delitzsch,18,44,62
301,Mügeln,3,15,18
302,Krostitz,2,1,3
303,Löbnitz,1,3,4
304,Dreiheide,1,2,3
305,Oschatz,6,2,8
306,Cavertitz,0,2,2
307,Dorfhain,5,7,12
308,Rathmannsdorf,3,0,3
309,Rosenthal-Bielatal,5,2,7
310,Gohrisch,5,0,5
311,Lohmen,7,2,9
312,Reinhardtsdorf-Schöna,3,3,6
313,Rabenau,10,1,11
314,Sebnitz,17,10,27
315,Glashütte,11,2,13
316,Hohnstein,5,1,6
317,Heidenau,24,9,33
318,Bannewitz,16,4,20
319,Bahretal,3,1,4
320,Kreischa,6,5,11
321,Hermsdorf/Erzgeb.,1,3,4
322,Dohna,8,6,14
323,Struppen,3,1,4
324,Neustadt in Sachsen,13,25,38
325,Altenberg,8,3,11
326,Wilsdruff,14,9,23
327,Hartmannsdorf-Reichenau,1,2,3
328,Dürrröhrsdorf-Dittersbach,4,0,4
329,Freital,37,18,55
330,Stolpen,5,3,8
331,Bad Gottleuba-Berggießhübel,5,7,12
332,Bad Schandau,3,2,5
333,Tharandt,4,4,8
334,Pirna,28,30,58
335,Dippoldiswalde,10,5,15
336,Stadt Wehlen,1,1,2
337,Dohma,1,2,3
338,Königstein/Sächs. Schw.,1,3,4
339,Klingenberg,2,4,6
340,Liebstadt,0,0,0
341,Müglitztal,0,0,0
342,Rathen,0,1,1
343,Treuen,67,67,134
344,Lengenfeld,52,13,65
345,Theuma,7,0,7
346,Steinberg,18,16,34
347,Neustadt/Vogtl.,6,3,9
348,Elsterberg,24,16,40
349,Tirpersdorf,8,4,12
350,Bad Brambach,10,8,18
351,Neuensalz,10,4,14
352,Rodewisch,29,19,48
353,Bad Elster,16,9,25
354,Adorf/Vogtl.,21,11,32
355,Werda,6,4,10
356,Schöneck/Vogtl.,12,8,20
357,Falkenstein/Vogtl.,28,15,43
358,Ellefeld,8,10,18
359,Mühlental,4,7,11
360,Auerbach/Vogtl.,54,35,89
361,Netzschkau,11,8,19
362,Eichigt,3,2,5
363,Pöhl,6,3,9
364,Klingenthal,17,27,44
365,Oelsnitz/Vogtl.,21,12,33
366,Markneukirchen,15,15,30
367,Reichenbach im Vogtland,40,21,61
368,Grünbach,3,1,4
369,Muldenhammer,5,3,8
370,Pausa-Mühltroff,7,5,12
371,Bergen,1,1,2
372,Neumark,3,3,6
373,Plauen,61,68,129
374,Bösenbrunn,1,0,1
375,Rosenbach/Vogtl.,3,5,8
376,Weischlitz,4,2,6
377,Heinsdorfergrund,1,5,6
378,Limbach,0,1,1
379,Triebel/Vogtl.,0,1,1
380,Hirschfeld,2,0,2
381,Crinitzberg,3,3,6
382,Hartmannsdorf b. Kirchberg,2,1,3
383,Kirchberg,11,16,27
384,Lichtentanne,8,4,12
385,Schönberg,1,3,4
386,Neukirchen/Pleiße,4,0,4
387,Oberwiera,1,0,1
388,St. Egidien,3,0,3
