Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage,Einwohner,7-Tages-Inzidenz,Landkreis
Weißenberg,1,20,3.096,6460.0,Bautzen
Haselbachtal,2,18,4.013,4485.0,Bautzen
Frankenthal,3,4,923.0,4334.0,Bautzen
Großharthau,4,9,2.793,3222.0,Bautzen
Hochkirch,5,7,2.256,3103.0,Bautzen
Schwepnitz,6,6,2.478,2421.0,Bautzen
Kubschütz,7,6,2.529,2372.0,Bautzen
Radeberg,8,39,18.565,2101.0,Bautzen
Großnaundorf,9,2,958.0,2088.0,Bautzen
Königsbrück,10,9,4.539,1983.0,Bautzen
Großpostwitz/O.L.,11,5,2.741,1824.0,Bautzen
Neschwitz,12,4,2.401,1666.0,Bautzen
Göda,13,5,3.063,1632.0,Bautzen
Laußnitz,14,3,1.8519999999999999,1620.0,Bautzen
Radibor,15,5,3.1189999999999998,1603.0,Bautzen
Arnsdorf,16,6,4.867,1233.0,Bautzen
Steina,17,2,1.6269999999999998,1229.0,Bautzen
Ohorn,18,3,2.454,1222.0,Bautzen
Pulsnitz,19,9,7.468,1205.0,Bautzen
Sohland a.d. Spree,20,8,6.742999999999999,1186.0,Bautzen
Großdubrau,21,5,4.249,1177.0,Bautzen
Lauta,22,9,8.363,1076.0,Bautzen
Kamenz,23,17,16.914,1005.0,Bautzen
Großröhrsdorf,24,8,9.615,832.0,Bautzen
Burkau,25,2,2.605,768.0,Bautzen
Demitz-Thumitz,26,2,2.634,759.0,Bautzen
Bischofswerda,27,8,10.937999999999999,731.0,Bautzen
Doberschau-Gaußig,28,3,4.135,726.0,Bautzen
Wachau,29,3,4.273,702.0,Bautzen
"Bernsdorf,  Stadt",30,4,6.422000000000001,623.0,Bautzen
Lichtenberg,31,1,1.618,618.0,Bautzen
Neukirch,32,1,1.619,618.0,Bautzen
Ralbitz-Rosenthal,33,1,1.702,588.0,Bautzen
Hoyerswerda,34,19,32.405,586.0,Bautzen
Spreetal,35,1,1.845,542.0,Bautzen
Obergurig,36,1,2.07,483.0,Bautzen
Panschwitz-Kuckau,37,1,2.09,478.0,Bautzen
Oßling,38,1,2.26,442.0,Bautzen
Cunewalde,39,2,4.593,435.0,Bautzen
Ottendorf-Okrilla,40,4,9.98,401.0,Bautzen
Bautzen,41,15,38.425,390.0,Bautzen
Elstra,42,1,2.7230000000000003,367.0,Bautzen
Steinigtwolmsdorf,43,1,2.8110000000000004,356.0,Bautzen
Königswartha,44,1,3.458,289.0,Bautzen
Malschwitz,45,1,4.643,215.0,Bautzen
Neukirch/Lausitz,46,1,4.8469999999999995,206.0,Bautzen
Wilthen,47,1,4.881,205.0,Bautzen
Crostwitz,48,0,1.025,0.0,Bautzen
Elsterheide,48,0,3.463,0.0,Bautzen
Lohsa,48,0,5.232,0.0,Bautzen
Nebelschütz,48,0,1.226,0.0,Bautzen
Puschwitz,48,0,820.0,0.0,Bautzen
Räckelwitz,48,0,1.131,0.0,Bautzen
Rammenau,48,0,1.338,0.0,Bautzen
Schirgiswalde-Kirschau,48,0,6.185,0.0,Bautzen
Schmölln-Putzkau,48,0,3.0060000000000002,0.0,Bautzen
Wittichenau,48,0,5.729,0.0,Bautzen
Bockau,1,10,2.225,4494.0,Erzgebirgskreis
Zschorlau,2,23,5.235,4394.0,Erzgebirgskreis
Deutschneudorf,3,4,990.0,4040.0,Erzgebirgskreis
Olbernhau,4,43,10.84,3967.0,Erzgebirgskreis
Heidersdorf,5,3,784.0,3827.0,Erzgebirgskreis
Bärenstein,6,8,2.282,3506.0,Erzgebirgskreis
Ehrenfriedersdorf,7,16,4.68,3419.0,Erzgebirgskreis
Amtsberg,8,12,3.6889999999999996,3253.0,Erzgebirgskreis
Thum,9,16,5.118,3126.0,Erzgebirgskreis
Marienberg,10,49,16.906,2898.0,Erzgebirgskreis
Auerbach,11,7,2.455,2851.0,Erzgebirgskreis
Lößnitz,12,22,8.201,2683.0,Erzgebirgskreis
Eibenstock,13,19,7.261,2617.0,Erzgebirgskreis
Gornsdorf,14,5,1.911,2616.0,Erzgebirgskreis
Schlettau,15,6,2.3680000000000003,2534.0,Erzgebirgskreis
Oberwiesenthal,16,5,2.0780000000000003,2406.0,Erzgebirgskreis
Geyer,17,8,3.403,2351.0,Erzgebirgskreis
Johanngeorgenstadt,18,9,3.897,2309.0,Erzgebirgskreis
Großolbersdorf,19,6,2.7960000000000003,2146.0,Erzgebirgskreis
Thalheim/Erzgeb.,20,11,5.952000000000001,1848.0,Erzgebirgskreis
Schneeberg,21,25,13.873,1802.0,Erzgebirgskreis
Pockau-Lengefeld,22,13,7.539,1724.0,Erzgebirgskreis
Stützengrün,23,5,3.1460000000000004,1589.0,Erzgebirgskreis
Aue-Bad Schlema,24,31,20.352999999999998,1523.0,Erzgebirgskreis
Mildenau,25,5,3.3989999999999996,1471.0,Erzgebirgskreis
Gelenau/Erzgeb.,26,6,4.133,1452.0,Erzgebirgskreis
Scheibenberg,27,3,2.083,1440.0,Erzgebirgskreis
Seiffen/Erzgeb.,28,3,2.0980000000000003,1430.0,Erzgebirgskreis
Stollberg/Erzgeb.,29,15,11.3,1327.0,Erzgebirgskreis
Gornau/Erzgeb.,30,5,3.767,1327.0,Erzgebirgskreis
Zschopau,31,12,9.17,1309.0,Erzgebirgskreis
Burkhardtsdorf,32,8,6.117999999999999,1308.0,Erzgebirgskreis
Wolkenstein,33,5,3.8989999999999996,1282.0,Erzgebirgskreis
Jahnsdorf/Erzgeb.,34,7,5.476,1278.0,Erzgebirgskreis
Sehmatal,35,8,6.377999999999999,1254.0,Erzgebirgskreis
Thermalbad Wiesenbad,36,4,3.242,1234.0,Erzgebirgskreis
Grünhain-Beierfeld,37,7,5.851,1196.0,Erzgebirgskreis
Drebach,38,6,5.127000000000001,1170.0,Erzgebirgskreis
Niederwürschnitz,39,3,2.5789999999999997,1163.0,Erzgebirgskreis
Neukirchen/Erzgeb.,40,8,6.907,1158.0,Erzgebirgskreis
Annaberg-Buchholz,41,21,19.619,1070.0,Erzgebirgskreis
Zwönitz,42,12,11.927,1006.0,Erzgebirgskreis
Crottendorf,43,4,4.052,987.0,Erzgebirgskreis
Schönheide,44,4,4.3660000000000005,916.0,Erzgebirgskreis
Oelsnitz/Erzgeb.,45,10,10.950999999999999,913.0,Erzgebirgskreis
Tannenberg,46,1,1.101,908.0,Erzgebirgskreis
Schwarzenberg/Erzgeb.,47,11,16.447,669.0,Erzgebirgskreis
Lugau/Erzgeb.,48,5,8.005,625.0,Erzgebirgskreis
Raschau-Markersbach,49,3,4.997,600.0,Erzgebirgskreis
Grünhainichen,50,2,3.346,598.0,Erzgebirgskreis
Lauter-Bernsbach,51,5,8.628,580.0,Erzgebirgskreis
Breitenbrunn/Erzgeb.,52,3,5.204,576.0,Erzgebirgskreis
Hohndorf,53,2,3.486,574.0,Erzgebirgskreis
Königswalde,54,1,2.22,450.0,Erzgebirgskreis
Jöhstadt,55,1,2.62,382.0,Erzgebirgskreis
Börnichen/Erzgeb.,56,0,985.0,0.0,Erzgebirgskreis
Elterlein,56,0,2.8489999999999998,0.0,Erzgebirgskreis
Großrückerswalde,56,0,3.3560000000000003,0.0,Erzgebirgskreis
Niederdorf,56,0,1.28,0.0,Erzgebirgskreis
Kodersdorf,1,26,2.4219999999999997,1.0735,Görlitz
Gablenz,2,13,1.595,8150.0,Görlitz
Bertsdorf-Hörnitz,3,14,2.086,6711.0,Görlitz
Weißkeißel,4,6,1.284,4673.0,Görlitz
Schleife,5,11,2.4,4583.0,Görlitz
Quitzdorf am See,6,4,1.24,3226.0,Görlitz
