Gemeinde,Neuzugänge letzten 7 Tage
"Weißenberg, Stadt",23
Haselbachtal,28
Hochkirch,11
Großharthau,10
Frankenthal,3
Schwepnitz,8
"Lauta, Stadt",26
Sohland a. d. Spree,19
Kubschütz,7
Steina,4
Großpostwitz/O.L.,6
Radibor,6
Ralbitz-Rosenthal,3
"Pulsnitz, Stadt",12
"Kamenz, Stadt",27
Arnsdorf,7
"Radeberg, Stadt",26
"Königsbrück, Stadt",6
Göda,4
Doberschau-Gaußig,5
Großdubrau,5
"Großröhrsdorf, Stadt",11
Ottendorf-Okrilla,11
Laußnitz,2
Obergurig,2
"Bischofswerda, Stadt",10
"Bautzen, Stadt",34
Königswartha,3
Neschwitz,2
Ohorn,2
Demitz-Thumitz,2
Rammenau,1
Wachau,3
"Bernsdorf,  Stadt (Landkreis Bautzen)",4
Lichtenberg (Landkreis Bautzen),1
Neukirch,1
Elsterheide,2
"Schirgiswalde-Kirschau, Stadt",3
Malschwitz,2
"Wilthen, Stadt",2
Burkau,1
Lohsa,2
"Hoyerswerda, Stadt",12
"Elstra, Stadt",1
Steinigtwolmsdorf,1
"Wittichenau, Stadt",2
Schmölln-Putzkau,1
Cunewalde,1
Neukirch/Lausitz,1
Crostwitz,0
Großnaundorf,0
Nebelschütz,0
Oßling,0
Panschwitz-Kuckau,0
Puschwitz,0
Räckelwitz,0
Spreetal,0
"Johanngeorgenstadt, Stadt",32
Bockau,16
Heidersdorf,4
"Geyer, Stadt",17
"Marienberg, Stadt",76
Breitenbrunn/Erzgeb.,23
Gornau/Erzgeb.,16
"Ehrenfriedersdorf, Stadt",19
Bärenstein,9
"Thum, Stadt",20
"Olbernhau, Stadt",41
"Pockau-Lengefeld, Stadt",24
Drebach,16
"Wolkenstein, Stadt",12
"Schlettau, Stadt",7
Gelenau/Erzgeb.,12
"Lößnitz, Stadt",22
Zschorlau,14
"Eibenstock, Stadt",18
"Grünhain-Beierfeld, Stadt",14
Stützengrün,7
"Zschopau, Stadt",20
Amtsberg,8
"Schneeberg, Stadt",27
Niederwürschnitz,5
"Oberwiesenthal, Kurort, Stadt",4
"Scheibenberg, Stadt",4
"Seiffen/Erzgeb., Kurort",4
Thermalbad Wiesenbad,6
Tannenberg,2
Raschau-Markersbach,8
"Oelsnitz/Erzgeb., Stadt",17
"Lugau/Erzgeb., Stadt",12
"Annaberg-Buchholz, Stadt",29
Mildenau,5
Jahnsdorf/Erzgeb.,8
Neukirchen/Erzgeb.,10
Großolbersdorf,4
"Stollberg/Erzgeb., Stadt",15
"Aue-Bad Schlema, Stadt",25
Hohndorf,4
Schönheide,5
"Jöhstadt, Stadt",3
Burkhardtsdorf,7
Gornsdorf,2
Deutschneudorf,1
"Schwarzenberg/Erzgeb., Stadt",15
Grünhainichen,3
"Thalheim/Erzgeb., Stadt",5
"Lauter-Bernsbach, Stadt",7
Niederdorf,1
"Elterlein, Stadt",2
"Zwönitz, Stadt",8
Sehmatal,3
Königswalde,1
Auerbach (Erzgebirgskreis),1
Großrückerswalde,1
Crottendorf,1
Börnichen/Erzgeb.,0
Kodersdorf,32
Weißkeißel,8
"Neusalza-Spremberg, Stadt",18
Schleife,9
Schönbach,4
Markersdorf,14
Königshain,4
"Bad Muskau, Stadt",12
Rosenbach,5
Bertsdorf-Hörnitz,6
"Seifhennersdorf, Stadt",10
Olbersdorf,12
Gablenz,4
"Löbau, Stadt",36
Quitzdorf am See,3
Großschweidnitz,3
"Weißwasser/O.L., Stadt",34
"Ebersbach-Neugersdorf, Stadt",25
"Bernstadt a. d. Eigen, Stadt",7
Schöpstal,5
Rietschen,5
"Reichenbach/O.L., Stadt",8
Kottmar,11
Oybin,2
"Görlitz, Stadt",72
Neißeaue,2
Trebendorf,1
Krauschwitz i.d. O.L.,4
Leutersdorf,4
Lawalde,2
Hohendubrau,2
Dürrhennersdorf,1
Groß Düben,1
"Ostritz, Stadt",2
Oppach,2
Mittelherwigsdorf,3
"Zittau, Stadt",19
"Herrnhut, Stadt",4
Schönau-Berzdorf a. d. Eigen,1
"Jonsdorf, Kurort",1
Horka,1
Großschönau,3
Boxberg/O.L.,2
"Niesky, Stadt",4
Waldhufen,1
Oderwitz,2
"Rothenburg/O.L., Stadt",1
Beiersdorf,0
Hähnichen,0
Hainewalde,0
Kreba-Neudorf,0
Mücka,0
Vierkirchen,0
Gemeinde,Neuzugänge letzten 7 Tage
"Rötha, Stadt",42
"Geithain, Stadt",27
"Regis-Breitingen, Stadt",15
"Zwenkau, Stadt",25
Elstertrebnitz,3
Bennewitz,11
Borsdorf,17
Lossatal,11
Machern,12
Thallwitz,6
"Bad Lausick, Stadt",13
"Borna, Stadt",30
"Frohburg, Stadt",17
"Böhlen, Stadt",9
"Wurzen, Stadt",21
"Pegau, Stadt",8
Belgershain,4
"Colditz, Stadt",10
"Groitzsch, Stadt",9
Neukieritzsch,7
"Kitzscher, Stadt",5
"Trebsen/Mulde, Stadt",3
Otterwisch,1
"Markkleeberg, Stadt",17
"Naunhof, Stadt",6
"Brandis, Stadt",6
"Grimma, Stadt",13
"Markranstädt, Stadt",6
Parthenstein,1
Großpösna,1
Käbschütztal,10
"Radeburg, Stadt",24
"Lommatzsch, Stadt",12
"Gröditz, Stadt",17
"Großenhain, Stadt",43
Niederau,9
"Meißen, Stadt",51
Verwaltungsgemeinschaft Schönfeld/Lampertswalde,7
"Nossen, Stadt",16
Verwaltungsgemeinschaft Nünchritz/Glaubitz,11
Ebersbach (Landkreis Meißen),5
Moritzburg,9
Thiendorf,4
Weinböhla,11
"Coswig, Stadt",22
Verwaltungsgemeinschaft Röderaue/Wülknitz,4
"Radebeul, Stadt",28
"Strehla, Stadt",3
Stauchitz,2
Zeithain,3
Hirschstein,1
Priestewitz,1
"Riesa, Stadt",9
Klipphausen,3
Diera-Zehren,0
Zettlitz,7
Dorfchemnitz,14
Mühlau,8
"Frauenstein, Stadt",10
"Augustusburg, Stadt",16
Altmittweida,6
Großweitzschen,8
"Lunzenau, Stadt",12
Kriebstein,6
"Frankenberg/Sa., Stadt",36
"Brand-Erbisdorf, Stadt",24
Erlau,8
Seelitz,4
"Hartha, Stadt",16
Rechenberg-Bienenmühle,4
Leubsdorf,7
"Waldheim, Stadt",17
"Roßwein, Stadt",14
"Döbeln, Stadt",44
Oberschöna,6
"Penig, Stadt",16
"Leisnig, Stadt",15
"Burgstädt, Stadt",19
Hartmannsdorf (Landkreis Mittelsachsen),8
"Oederan, Stadt",14
Bobritzsch-Hilbersdorf,10
"Flöha, Stadt",18
Claußnitz,5
Niederwiesa,8
Mulda/Sa.,4
"Rochlitz, Stadt",9
Neuhausen/Erzgeb.,4
"Freiberg, Stadt, Universitätsstadt",59
Rossau,5
Halsbrücke,7
Lichtenau,9
"Großschirma, Stadt",7
Königshain-Wiederau,3
"Mittweida, Stadt, Hochschulstadt",15
Striegistal,4
Ostrau,3
Weißenborn/Erzgeb.,2
Großhartmannsdorf,2
Zschaitz-Ottewig,1
Lichtenberg/Erzgeb.,2
Königsfeld,1
Reinsberg,2
"Sayda, Stadt",1
"Hainichen, Stadt",4
"Geringswalde, Stadt",1
Eppendorf,0
Taura,0
Wechselburg,0
Löbnitz,41
Jesewitz,20
Zschepplin,17
Laußig,20
Mockrehna,24
"Eilenburg, Stadt",74
Arzberg,8
Schönwölkau,10
"Bad Düben, Stadt",30
Krostitz,15
"Taucha, Stadt",55
Wermsdorf,17
Rackwitz,13
Doberschütz,10
Beilrode,8
"Dahlen, Stadt",8
"Delitzsch, Stadt",45
Elsnig,2
"Mügeln, Stadt",8
Wiedemar,7
"Torgau, Stadt",26
"Oschatz, Stadt",14
Dreiheide,2
"Belgern-Schildau, Stadt",7
Trossin,1
"Schkeuditz, Stadt",11
"Dommitzsch, Stadt",1
Liebschützberg,1
Cavertitz,0
Naundorf,0
Rathmannsdorf,9
"Hohnstein, Stadt",19
"Bad Schandau, Stadt",20
"Königstein/Sächs. Schw., Stadt",9
Hartmannsdorf-Reichenau,4
Dohma,6
"Neustadt in Sachsen, Stadt",36
"Dohna, Stadt",18
Dürrröhrsdorf-Dittersbach,10
Reinhardtsdorf-Schöna,3
"Sebnitz, Stadt",20
"Stadt Wehlen, Stadt",3
Gohrisch,3
Struppen,4
"Altenberg, Stadt",12
"Wilsdruff, Stadt",19
Hermsdorf/Erzgeb.,1
Rosenthal-Bielatal,2
"Pirna, Stadt",47
Bannewitz,12
"Glashütte, Stadt",7
"Heidenau, Stadt",17
Lohmen,3
Bahretal,2
"Bad Gottleuba-Berggießhübel, Stadt",5
Klingenberg,6
"Liebstadt, Stadt",1
"Tharandt, Stadt",3
Müglitztal,1
"Freital, Stadt",20
"Dippoldiswalde, Stadt",7
"Rabenau, Stadt",2
Kreischa,1
Dorfhain,0
"Rathen, Kurort",0
"Stolpen, Stadt",0
"Rodewisch, Stadt",60
"Elsterberg, Stadt",31
Pöhl,19
Bergen,7
Heinsdorfergrund,14
Grünbach,11
"Lengenfeld, Stadt",44
"Falkenstein/Vogtl., Stadt",49
"Adorf/Vogtl., Stadt",29
Steinberg,16
Weischlitz,32
Mühlental,7
"Auerbach/Vogtl., Stadt",99
Neumark,16
Muldenhammer,16
Neustadt/Vogtl.,5
"Pausa-Mühltroff, Stadt",25
"Treuen, Stadt",39
Theuma,5
"Klingenthal, Stadt",40
"Reichenbach im Vogtland, Stadt",100
"Schöneck/Vogtl., Stadt",15
Werda,7
Tirpersdorf,6
Bad Brambach,8
Ellefeld,11
"Oelsnitz/Vogtl., Stadt",42
"Netzschkau, Stadt",13
"Plauen, Stadt",205
Rosenbach/Vogtl.,13
"Markneukirchen, Stadt",21
Bösenbrunn,3
Triebel/Vogtl.,3
Neuensalz,5
Limbach,3
Eichigt,2
"Bad Elster, Stadt",3
Crinitzberg,19
Langenbernsdorf,26
"Kirchberg, Stadt",54
Oberwiera,5
"Waldenburg, Stadt",19
St. Egidien,15
Mülsen,46
Reinsdorf,27
Lichtentanne,23
Neukirchen/Pleiße,14
Bernsdorf (Landkreis Zwickau),7
Niederfrohna,7
"Glauchau, Stadt",60
Callenberg,13
Gersdorf,9
Schönberg,2
"Werdau, Stadt",43
"Hartenstein, Stadt",9
"Oberlungwitz, Stadt",11
"Hohenstein-Ernstthal, Stadt",26
"Zwickau, Stadt",158
"Limbach-Oberfrohna, Stadt",39
Langenweißbach,4
"Meerane, Stadt",21
"Crimmitschau, Stadt",27
Hartmannsdorf b. Kirchberg,2
"Wildenfels, Stadt",5
Fraureuth,7
"Wilkau-Haßlau, Stadt",9
Hirschfeld,1
"Lichtenstein/Sa., Stadt",6
Dennheritz,0
Remse,0
Dresden,516
Leipzig,443
Chemnitz,301
