Gemeinde,Neuzugänge letzten 7 Tage
Frankenthal,2
"Schirgiswalde-Kirschau, Stadt",9
Hochkirch,3
Neukirch/Lausitz,6
Puschwitz,1
Ralbitz-Rosenthal,2
Elsterheide,4
Malschwitz,5
Göda,3
Neschwitz,2
Demitz-Thumitz,2
Haselbachtal,3
"Pulsnitz, Stadt",5
Cunewalde,3
Radibor,2
Spreetal,1
"Bautzen, Stadt",20
Panschwitz-Kuckau,1
Großdubrau,2
Sohland a. d. Spree,3
Oßling,1
"Königsbrück, Stadt",2
"Radeberg, Stadt",8
"Großröhrsdorf, Stadt",4
"Wilthen, Stadt",2
Kubschütz,1
"Elstra, Stadt",1
Großpostwitz/O.L.,1
Königswartha,1
"Bischofswerda, Stadt",3
"Hoyerswerda, Stadt",8
Doberschau-Gaußig,1
"Lauta, Stadt",2
"Kamenz, Stadt",4
Wachau,1
Ottendorf-Okrilla,2
"Wittichenau, Stadt",1
"Bernsdorf, Stadt (Landkreis Bautzen)",1
Arnsdorf,0
Burkau,0
Crostwitz,0
Großharthau,0
Großnaundorf,0
Laußnitz,0
Lichtenberg (Landkreis Bautzen),0
Lohsa,0
Nebelschütz,0
Neukirch,0
Obergurig,0
Ohorn,0
Räckelwitz,0
Rammenau,0
Schmölln-Putzkau,0
Schwepnitz,0
Steina,0
Steinigtwolmsdorf,0
"Weißenberg, Stadt",0
Sehmatal,27
Deutschneudorf,4
Tannenberg,3
Hohndorf,8
"Jöhstadt, Stadt",6
Burkhardtsdorf,14
Raschau-Markersbach,11
Auerbach (Erzgebirgskreis),5
Königswalde,4
Großolbersdorf,5
"Annaberg-Buchholz, Stadt",35
Bärenstein,4
Schönheide,7
Niederwürschnitz,4
"Grünhain-Beierfeld, Stadt",9
Mildenau,5
"Geyer, Stadt",5
"Zwönitz, Stadt",17
"Zschopau, Stadt",13
"Olbernhau, Stadt",15
"Thum, Stadt",7
Breitenbrunn/Erzgeb.,7
"Thalheim/Erzgeb., Stadt",8
Gornau/Erzgeb.,5
"Ehrenfriedersdorf, Stadt",6
"Aue-Bad Schlema, Stadt",26
"Lugau/Erzgeb., Stadt",10
"Eibenstock, Stadt",9
"Oelsnitz/Erzgeb., Stadt",12
"Elterlein, Stadt",3
Gornsdorf,2
"Wolkenstein, Stadt",4
Crottendorf,4
Gelenau/Erzgeb.,4
"Scheibenberg, Stadt",2
"Seiffen/Erzgeb., Kurort",2
Thermalbad Wiesenbad,3
Großrückerswalde,3
Neukirchen/Erzgeb.,6
Zschorlau,4
"Lößnitz, Stadt",6
"Schneeberg, Stadt",10
"Johanngeorgenstadt, Stadt",2
"Schlettau, Stadt",1
Grünhainichen,1
Amtsberg,1
"Pockau-Lengefeld, Stadt",2
Jahnsdorf/Erzgeb.,1
"Schwarzenberg/Erzgeb., Stadt",3
Bockau,0
Börnichen/Erzgeb.,0
Drebach,0
Heidersdorf,0
"Lauter-Bernsbach, Stadt",0
"Marienberg, Stadt",0
Niederdorf,0
"Oberwiesenthal, Kurort, Stadt",0
"Stollberg/Erzgeb., Stadt",0
Stützengrün,0
"Rothenburg/O.L., Stadt",13
Schönbach,3
Kodersdorf,5
Dürrhennersdorf,2
Groß Düben,2
Vierkirchen,3
"Bernstadt a. d. Eigen, Stadt",6
Königshain,2
Hähnichen,2
Rietschen,4
Weißkeißel,2
Oppach,3
Boxberg/O.L.,5
"Neusalza-Spremberg, Stadt",3
Beiersdorf,1
Leutersdorf,3
"Löbau, Stadt",12
Kottmar,6
"Ebersbach-Neugersdorf, Stadt",9
"Niesky, Stadt",7
"Herrnhut, Stadt",4
"Jonsdorf, Kurort",1
Rosenbach,1
"Reichenbach/O.L., Stadt",3
Oderwitz,3
Horka,1
Mittelherwigsdorf,2
"Seifhennersdorf, Stadt",2
Lawalde,1
Hohendubrau,1
Markersdorf,2
Bertsdorf-Hörnitz,1
"Zittau, Stadt",12
"Weißwasser/O.L., Stadt",7
"Görlitz, Stadt",23
Großschönau,2
Krauschwitz i.d. O.L.,1
"Bad Muskau, Stadt",0
Gablenz,0
Großschweidnitz,0
Hainewalde,0
Kreba-Neudorf,0
Mücka,0
Neißeaue,0
Olbersdorf,0
"Ostritz, Stadt",0
Oybin,0
Quitzdorf am See,0
Schleife,0
Schönau-Berzdorf a. d. Eigen,0
Schöpstal,0
Trebendorf,0
Waldhufen,0
Belgershain,5
Thallwitz,5
"Böhlen, Stadt",6
Otterwisch,1
"Rötha, Stadt",4
Borsdorf,5
"Colditz, Stadt",5
"Markranstädt, Stadt",9
"Naunhof, Stadt",5
"Bad Lausick, Stadt",4
Bennewitz,2
Großpösna,2
"Markkleeberg, Stadt",8
"Frohburg, Stadt",4
"Wurzen, Stadt",5
"Regis-Breitingen, Stadt",1
"Grimma, Stadt",7
"Zwenkau, Stadt",2
"Groitzsch, Stadt",1
"Borna, Stadt",2
"Brandis, Stadt",1
Elstertrebnitz,0
"Geithain, Stadt",0
"Kitzscher, Stadt",0
Lossatal,0
Machern,0
Neukieritzsch,0
Parthenstein,0
"Pegau, Stadt",0
"Trebsen/Mulde, Stadt",0
Stauchitz,3
Niederau,3
"Gröditz, Stadt",5
Priestewitz,2
Diera-Zehren,2
Klipphausen,6
"Meißen, Stadt",15
Verwaltungsgemeinschaft Nünchritz/Glaubitz,4
Verwaltungsgemeinschaft Röderaue/Wülknitz,2
Verwaltungsgemeinschaft Schönfeld/Lampertswalde,2
"Coswig, Stadt",9
"Lommatzsch, Stadt",2
"Radeburg, Stadt",3
Moritzburg,3
"Großenhain, Stadt",5
"Riesa, Stadt",8
"Strehla, Stadt",1
Thiendorf,1
"Radebeul, Stadt",9
Ebersbach (Landkreis Meißen),1
"Nossen, Stadt",2
Hirschstein,0
Käbschütztal,0
Weinböhla,0
Zeithain,0
Zschaitz-Ottewig,8
Neuhausen/Erzgeb.,7
Weißenborn/Erzgeb.,5
"Oederan, Stadt",16
Bobritzsch-Hilbersdorf,10
Rechenberg-Bienenmühle,3
Halsbrücke,8
Hartmannsdorf (Landkreis Mittelsachsen),7
Leubsdorf,4
"Sayda, Stadt",2
"Frauenstein, Stadt",3
Striegistal,4
Rossau,3
Taura,2
"Döbeln, Stadt",18
"Flöha, Stadt",8
"Leisnig, Stadt",6
Lichtenau,5
Erlau,2
"Hartha, Stadt",4
Ostrau,2
Wechselburg,1
"Freiberg, Stadt, Universitätsstadt",22
"Großschirma, Stadt",3
Altmittweida,1
Niederwiesa,2
Mulda/Sa.,1
Großhartmannsdorf,1
"Roßwein, Stadt",3
Lichtenberg/Erzgeb.,1
Großweitzschen,1
"Hainichen, Stadt",3
"Brand-Erbisdorf, Stadt",3
"Mittweida, Stadt, Hochschulstadt",4
Eppendorf,1
"Geringswalde, Stadt",1
"Penig, Stadt",2
"Augustusburg, Stadt",1
"Rochlitz, Stadt",1
"Waldheim, Stadt",1
"Burgstädt, Stadt",0
Claußnitz,0
Dorfchemnitz,0
"Frankenberg/Sa., Stadt",0
Königsfeld,0
Königshain-Wiederau,0
Kriebstein,0
"Lunzenau, Stadt",0
Mühlau,0
Oberschöna,0
Reinsberg,0
Seelitz,0
Zettlitz,0
Dreiheide,3
Liebschützberg,2
"Oschatz, Stadt",8
Krostitz,2
Doberschütz,2
"Delitzsch, Stadt",11
"Belgern-Schildau, Stadt",3
Wermsdorf,2
"Taucha, Stadt",6
Jesewitz,1
"Eilenburg, Stadt",4
"Bad Düben, Stadt",2
"Schkeuditz, Stadt",4
"Torgau, Stadt",1
Arzberg,0
Beilrode,0
Cavertitz,0
"Dahlen, Stadt",0
"Dommitzsch, Stadt",0
Elsnig,0
Laußig,0
Löbnitz,0
Mockrehna,0
"Mügeln, Stadt",0
Naundorf,0
Rackwitz,0
Schönwölkau,0
Trossin,0
Wiedemar,0
Zschepplin,0
Hartmannsdorf-Reichenau,6
Müglitztal,5
Rosenthal-Bielatal,4
Reinhardtsdorf-Schöna,3
"Königstein/Sächs. Schw., Stadt",3
"Stolpen, Stadt",7
"Dippoldiswalde, Stadt",14
"Wilsdruff, Stadt",12
Struppen,2
"Neustadt in Sachsen, Stadt",9
"Heidenau, Stadt",12
"Bad Gottleuba-Berggießhübel, Stadt",3
"Glashütte, Stadt",3
Klingenberg,3
"Freital, Stadt",17
"Pirna, Stadt",15
Bannewitz,4
Lohmen,1
"Dohna, Stadt",2
"Hohnstein, Stadt",1
"Bad Schandau, Stadt",1
"Altenberg, Stadt",2
"Rabenau, Stadt",1
Kreischa,1
"Sebnitz, Stadt",2
Bahretal,0
Dohma,0
Dorfhain,0
Dürrröhrsdorf-Dittersbach,0
Gohrisch,0
Hermsdorf/Erzgeb.,0
"Liebstadt, Stadt",0
"Rathen, Kurort",0
Rathmannsdorf,0
"Stadt Wehlen, Stadt",0
"Tharandt, Stadt",0
Steinberg,3
Bergen,1
"Reichenbach im Vogtland, Stadt",13
"Auerbach/Vogtl., Stadt",10
"Falkenstein/Vogtl., Stadt",4
"Pausa-Mühltroff, Stadt",2
Ellefeld,1
"Bad Elster, Stadt",1
"Elsterberg, Stadt",1
"Klingenthal, Stadt",2
"Adorf/Vogtl., Stadt",1
"Oelsnitz/Vogtl., Stadt",2
"Lengenfeld, Stadt",1
"Plauen, Stadt",9
"Markneukirchen, Stadt",1
"Treuen, Stadt",1
Bad Brambach,0
Bösenbrunn,0
Eichigt,0
Grünbach,0
Heinsdorfergrund,0
Limbach,0
Mühlental,0
Muldenhammer,0
"Netzschkau, Stadt",0
Neuensalz,0
Neumark,0
Neustadt/Vogtl.,0
Pöhl,0
"Rodewisch, Stadt",0
Rosenbach/Vogtl.,0
"Schöneck/Vogtl., Stadt",0
Theuma,0
Tirpersdorf,0
Triebel/Vogtl.,0
Weischlitz,0
Werda,0
"Waldenburg, Stadt",9
Niederfrohna,4
Fraureuth,8
"Oberlungwitz, Stadt",8
"Limbach-Oberfrohna, Stadt",27
Crinitzberg,2
Bernsdorf (Landkreis Zwickau),2
"Lichtenstein/Sa., Stadt",10
Dennheritz,1
"Meerane, Stadt",9
Callenberg,3
Reinsdorf,4
Gersdorf,2
"Hohenstein-Ernstthal, Stadt",7
"Hartenstein, Stadt",2
"Werdau, Stadt",9
"Crimmitschau, Stadt",7
"Zwickau, Stadt",33
St. Egidien,1
"Wildenfels, Stadt",1
Langenbernsdorf,1
Mülsen,3
"Kirchberg, Stadt",2
Lichtentanne,1
"Wilkau-Haßlau, Stadt",1
"Glauchau, Stadt",2
Hartmannsdorf b. Kirchberg,0
Hirschfeld,0
Langenweißbach,0
Neukirchen/Pleiße,0
Oberwiera,0
Remse,0
Schönberg,0
Dresden,186
Leipzig,132
Chemnitz,63
