place,code
"Heynitz","01683"
"Sellerhausen-Stunz","04328"
"Dresden Langebruck","01465"
"Erlbach","08265"
"Gornsdorf","09390"
"Schkeuditz","04435"
"Kuhren-Burkartshain","04808"
"Limbach","08491"
"Thallwitz","04808"
"Jonsdorf","02796"
"Schneeberg","08289"
"Tirpersdorf","08606"
"Mulsen Ortmannsdorf, Marienau","08132"
"Dresden Gompitz, Pennrich","01156"
"Zinna","04860"
"Mulsen","08132"
"Panschwitz-Kuckau","01920"
"Groshennersdorf","02747"
"Mittelherwigsdorf","02763"
"Neschwitz","02699"
"Schwarzenberg/Erzgebirge","08340"
"Auerbach/Vogtland","08209"
"Dommitzsch","04880"
"Chemnitz","09111 09112 09113 09114 09116 09117 09119 09120 09122 09123 09125 09126 09127 09130 09131"
"Breitenbrunn/Erzgebirge","08359"
"Neugersdorf","02727"
"Oelsnitz/Erzgebirge","09376"
"Grostreben-Zwethau","04886"
"Penig","09322"
"Gablenz","02953"
"Weiswasser","02943"
"Oberlungwitz","09353"
"Grosschirma","09603"
"Espenhain","04579"
"Ostritz","02899"
"Pulsnitz","01896"
"Bahretal","01819"
"Pobershau","09496"
"Grimma","04668"
"Dresden","01067 01069 01097 01099 01108 01109 01127 01129 01139 01156 01157 01159 01169 01187 01189 01217 01219 01237 01239 01257 01259 01277 01279 01307 01309 01324 01326 01328 01465"
"Raschau","08352"
"Steinpleis","08432"
"Tannenberg","09468"
"Wittichenau","02997"
"Gelenau/Erzgebirge","09423"
"Nauwalde","01609"
"Quitzdorf Am See","02906"
"Leisnig","04703"
"Dresden Gompitz","01156"
"Mulsen Wulm","08132"
"Vierkirchen","02894"
"Deutschneudorf","09548"
"Eulowitz","02692"
"Delitzsch","04509"
"Wilkau-Haslau","08112"
"Belgern","04874"
"Thummlitzwalde","04668"
"Arnsdorf","01477"
"Pegau","04523"
"Naundorf","04769"
"Reinhardtsgrimma","01768"
"Seifhennersdorf","02782"
"Zettlitz","09306"
"Otterwisch","04668"
"Heuersdorf","04574"
"Roswein","04741"
"Wittgensdorf","09228"
"Mucka","02906"
"Dresden Blasewitz","01309"
"Seiffen/Erzgebirge","09548"
"Vogtlandisches Oberland","07952 07985"
"Mugeln","04769"
"Dresden Tolkewitz","01277 01279"
"Mulsen Mulsen Sankt Jacob","08132"
"Bischofswerda","01877"
"Konigswalde","09471"
"Markkleeberg","04416"
"Dreiheide","04860"
"Wiesa","09488"
"Hammerbrucke","08269"
"Horka","02923"
"Weisenberg","02627"
"Wolkenstein","09429"
"Thiendorf","01561"
"Werda","08223"
"Mutzschen","04688"
"Arzberg","04886"
"Hormersdorf","09395"
"Kabschutztal","01665"
"Schonberg","08393"
"Grosbothen","04668"
"Neukieritzsch","04575"
"Rittersgrun","08355"
"Gahlenz","09569"
"Hohendubrau","02906"
"Niederschona","09600"
"Malschwitz","02694"
"Weinbohla","01689"
"Wiednitz","02994"
"Neustadt In Sachsen","01844"
"Zschorlau","08321"
"Tharandt","01737"
"Neustadt/Vogtland","08223"
"Lobstadt","04552"
"Mulsen Wulm, Wulm","08132"
"Zoblitz","09517"
"Demitz-Thumitz","01877"
"Grosschweidnitz","02708"
"Heidenau","01809"
"Kreba-Neudorf","02906"
"Diera-Zehren","01665"
"Niederstriegis","04741"
"Sebnitz","01855"
"Eibenstock","08309"
"Johstadt","09477"
"Burghausen","04178"
"Grosdubrau","02694"
"Breitenfeld","04158"
"Clausnitz","09236"
"Dohna","01809"
"Burgstein","08538"
"Wermsdorf","04779"
"Schonheide","08304"
"Neuhausen/Erzgebirge","09544"
"Crottendorf","09474"
"Rathmannsdorf","01814"
"Strehla","01616"
"Rochlitz","09306"
"Eichigt","08626"
"Gorlitz","02826 02827 02828"
"Neuensalz","08541"
"Dresden Gompitz, Gompitz","01156"
"Ottendorf-Okrilla","01458"
"Marienberg","09496"
"Klotzsche","01109"
"Wyhratal","04552"
"Mulsen Wulm, Bertelsdorf","08132"
"Oberschona","09600"
"Grosrohrsdorf","01900"
"Schlettau","09487"
"Bannewitz","01728"
"Lommatzsch","01623"
"Wechselburg","09306"
"Mulsen Mulsen Sankt Micheln","08132"
"Chemnitz, Sachsen","09028 09030 09128"
"Groslehna","04420"
"Parthenstein","04668"
"Belgershain","04683"
"Rosenbach","02708"
"Langenbernsdorf","08428"
"Wildenhain","01561"
"Mulsen Thurm","08132"
"Leipzig","04103 04105 04107 04109 04129 04155 04157 04159 04177 04179 04205 04207 04209 04229 04249 04275 04277 04279 04288 04289 04299 04315 04316 04317 04318 04319 04329 04347 04349 04356 04357"
"Obergurig","02692"
"Neukirch","01936"
"Mulda/Sachsen","09619"
"Treuen","08233"
"Schonbach","02708"
"Dippoldiswalde","01744"
"Lausig","04838"
"Lengenfeld","08485"
"Sayda","09619"
"Hartenstein Thierfeld","08118"
"Grosbardau","04668"
"Sohland Am Rotstein","02894"
"Gornau/Erzgebirge","09405"
"Lichtenstein/Sachsen","09350"
"Rammenau","01877"
"Mylau","08499"
"Bernstadt Auf Dem Eigen","02748"
"Tauscha","01561"
"Floha","09557"
"Strahwalde","02747"
"Rietschen","02956"
"Grunhain","08344"
"Strasgrabchen","01936"
"Wildenfels","08134"
"Rodewisch","08228"
"Rathen","01824"
"Niederwurschnitz","09399"
"Stutzengrun","08328"
"Niederdorf","09366"
"Bergen","08239"
"Elsterheide","02979 02991"
"Grosposna","04463"
"Struppen","01796"
"Bad Duben","04849"
"Hartenstein","08118"
"Limbach-Oberfrohna","09212"
"Weisig Am Raschutz","01561"
"Hainewalde","02779"
"Burkau","01906"
"Ellefeld","08236"
"Grosnaundorf","01936"
"Pohl","08543"
"Hohnstein","01848"
"Zwenkau","04442"
"Meerane","08393"
"Rechenberg-Bienenmuhle","09623"
"Seelitz","09306"
"Schleife","02959"
"Leubsdorf","09573"
"Sornzig-Ablas","04769"
"Syrau","08548"
"Grosweitzschen","04720"
"Ebersbach/Sachsen","02730"
"Glaubitz","01612"
"Pfluckuff","04860"
"Rackwitz","04519"
"Frankenberg/Sachsen","09669"
"Hermsdorf/Erzgebirge","01776"
"Eppendorf","09575"
"Naunhof","04683"
"Waldkirchen/Erzgebirge","09437"
"Oderwitz","02791"
"Nebelschutz","01920"
"Riesa","01587 01589 01591"
"Reinsdorf","08141"
"Bretnig-Hauswalde","01900"
"Wildenfels Schonau","08134"
"Hirschfelde","02788"
"Weischlitz","08538"
"Hirschstein","01594"
"Konigstein/Sachsische Schweiz","01824"
"Brand-Erbisdorf","09618"
"Dennheritz","08393"
"Waltersdorf","02799"
"Lichtenberg","01896"
"Konigsfeld","09306"
"Leuben-Schleinitz","01623"
"Reichenbach/Vogtland","08468"
"Josnitz","08547"
"Lauter/Sachsen","08312"
"Schmolln-Putzkau","01877"
"Freital","01705"
"Waldhufen","02906"
"Pleisa","09212"
"Wildenfels Hartensdorf","08134"
"Porschdorf","01814"
"Grosolbersdorf","09432"
"Hartenstein Zschocken","08118"
"Stauchitz","01594"
"Ohorn","01896"
"Geising","01778"
"Lohsa","02999"
"Netzschkau","08491"
"Lobau","02708"
"Groshartmannsdorf","09618"
"Bautzen","02625"
"Pfaffroda","09526"
"Schonwolkau","04509"
"Kirchberg","08107"
"Kossa","04849"
"Elsnig","04880"
"Lauta","02991"
"Mulsen Stangendorf","08132"
"Herrnhut","02747"
"Dahlen","04774"
"Krostitz","04509"
"Erlau","09306"
"Rosenthal-Bielatal","01824"
"Eulatal","04651"
"Kodersdorf","02923"
"Frohburg","04654"
"Augustusburg","09573"
"Zschortau","04509"
"Lohmen","01847"
"Burgstadt","09217"
"Plauen","08523 08525 08527 08529"
"Leubnitz","08412"
"Schildau","04889"
"Mulsen Niedermulsen","08132"
"Langenweisbach Langenbach","08134"
"Niedercunnersdorf","02708"
"Muhltroff","07919"
"Bad Brambach","08648"
"Weiskeisel","02957"
"Steinigtwolmsdorf","01904"
"Doberschau-Gausig","01877 02633 02692"
"Bad Gottleuba-Berggieshubel","01816"
"Hellerau","01109"
"Boxberg/Oberlausitz","02943"
"Knappensee","02999"
"Geithain","04643"
"Priestewitz","01561"
"Mittelbach Bei Chemnitz","09224"
"Neukyhna","04509"
"Hochkirch","02627"
"Beilrode","04886"
"Hohndorf","09394"
"Borna","04552"
"Ketzerbachtal","01623"
"Wildenfels Wiesenburg","08134"
"Beucha","04824"
"Borstendorf","09579"
"Ziegra-Knobelsdorf","04720"
"Schonteichen","01920"
"Reuth","08538"
"Kandler","09212"
"Rothenburg/Oberlausitz","02929"
"Muhlau","09241"
"Altenberg","01773"
"Drebach","09430"
"Kittlitz","02708"
"Wilthen","02681"
