Abbrev,Province,Aut_Com
A,Alicante,VC
AB,Albacete,CM
AL,Almería,AN
AV,Ávila,CL
B,Barcelona,CT
BA,Badajoz,EX
BI,Vizcaya,PV
BU,Burgos,CL
C,La Coruña,GA
CA,Cádiz,AN
CC,Cáceres,EX
CE,Ceuta,
CO,Córdoba,AN
CR,Ciudad Real,CM
CS,Castellón,VC
CU,Cuenca,CM
GC,Las Palmas,CN
GI,Gerona,CT
GR,Granada,AN
GU,Guadalajara,CM
H,Huelva,AN
HU,Huesca,AR
J,Jaén,AN
L,Lleida,CT
LE,León,CL
LO,La Rioja,RI
LU,Lugo,GA
M,Madrid,MD
MA,Málaga,AN
ML,Melilla,
MU,Murcia,MC
NA,Navarra,NC
O,Asturias,AS
OR,Ourense,GA
P,Palencia,CL
PM,Baleares,IB
PO,Pontevedra,GA
S,Cantabria,CB
SA,Salamanca,CL
SE,Sevilla,AN
SG,Segovia,CL
SO,Soria,CL
SS,Guipúzcoa,PV
T,Tarragona,CT
TE,Teruel,AR
TF,Santa Cruz de Tenerife,CN
TO,Toledo,CM
V,València,VC
VA,Valladolid,CL
VI,Álava​,PV
Z,Zaragoza,AR
ZA,Zamora,CL
