FIPS-CODE,4/8/2020 0:00
01001,2
01003,2
01005,2
01007,2
01009,2
01011,2
01013,2
01015,2
01017,2
01019,2
01021,2
01023,2
01025,2
01027,2
01029,2
01031,2
01033,2
01035,2
01037,2
01039,2
01041,2
01043,2
01045,2
01047,2
01049,2
01051,2
01053,2
01055,2
01057,2
01059,2
01061,1
01063,2
01065,2
01067,2
01069,2
01071,2
01073,2
01075,2
01077,2
01079,2
01081,2
01083,2
01085,2
01087,2
01089,2
01091,2
01093,2
01095,2
01097,2
01099,2
01101,2
01103,2
01105,1
01107,2
01109,2
01111,2
01113,2
01117,2
01115,2
01119,2
01121,2
01123,2
01125,2
01127,2
01129,2
01131,2
01133,2
02013,0
02016,0
02020,2
02050,2
02060,0
02068,1
02070,1
02090,2
02100,1
02110,2
02122,2
02130,2
02150,1
02158,1
02164,1
02170,2
02180,1
02185,1
02188,1
02195,2
02198,1
02220,1
02240,2
02261,1
02275,1
02290,2
04001,2
04003,2
04005,2
04007,2
04009,1
04011,2
04012,2
04013,2
04015,2
04017,2
04019,2
04021,2
04023,2
04025,2
04027,2
05001,2
05003,2
05005,2
05007,2
05009,2
05011,2
05013,1
05015,2
05017,2
05019,2
05021,2
05023,2
05025,2
05027,2
05029,2
05031,2
05033,2
05035,2
05037,2
05039,2
05041,2
05043,2
05045,2
05047,2
05049,1
05051,2
05053,2
05055,2
05057,2
05059,2
05061,2
05063,2
05065,2
05067,1
05069,2
05071,2
05073,2
05075,2
05077,2
05079,2
05081,1
05083,2
05085,2
05087,2
05089,1
05091,2
05093,2
05095,2
05097,1
05099,2
05101,2
05103,2
05105,2
05107,2
05109,1
05111,2
05113,2
05115,2
05117,2
05119,2
05121,2
05125,2
05127,2
05129,2
05131,2
05133,2
05135,2
05123,2
05137,2
05139,2
05141,2
05143,2
05145,2
05147,1
05149,2
06001,2
06003,2
06005,2
06007,2
06009,2
06011,2
06013,2
06015,2
06017,2
06019,2
06021,2
06023,2
06025,2
06027,2
06029,2
06031,2
06033,2
06035,1
06037,2
06039,2
06041,2
06043,1
06045,2
06047,2
06049,1
06051,2
06053,2
06055,2
06057,2
06059,2
06061,2
06063,2
06065,2
06067,2
06069,2
06071,2
06073,2
06075,2
06077,2
06079,2
06081,2
06083,2
06085,2
06087,2
06089,2
06091,1
06093,2
06095,2
06097,2
06099,2
06101,2
06103,2
06105,1
06107,2
06109,2
06111,2
06113,2
06115,2
08001,2
08003,2
08005,2
08007,2
08009,2
08011,1
08013,2
08014,2
08015,2
08017,1
08019,2
08021,1
08023,2
08025,1
08027,2
08029,2
08031,2
08033,1
08035,2
08037,2
08041,2
08039,2
08043,2
08045,2
08047,1
08049,2
08051,2
08053,1
08055,1
08057,1
08059,2
08061,1
08063,2
08067,2
08065,2
08069,2
08071,2
08073,2
08075,2
08077,2
08079,2
08081,2
08083,2
08085,2
08087,2
08089,2
08091,2
08093,2
08095,2
08097,2
08099,1
08101,2
08103,2
08105,2
08107,2
08109,2
08111,1
08113,2
08115,1
08117,2
08119,2
08121,2
08123,2
08125,2
09001,2
09003,2
09005,2
09007,2
09009,2
09011,2
09013,2
09015,2
10001,2
10003,2
10005,2
11001,2
12001,2
12003,2
12005,2
12007,2
12009,2
12011,2
12013,2
12015,2
12017,2
12019,2
12021,2
12023,2
12027,2
12029,2
12031,2
12033,2
12035,2
12037,2
12039,2
12041,2
12043,2
12045,2
12047,2
12049,2
12051,2
12053,2
12055,2
12057,2
12059,2
12061,2
12063,2
12065,2
12067,2
12069,2
12071,2
12073,2
12075,2
12077,1
12079,2
12081,2
12083,2
12085,2
12086,2
12087,2
12089,2
12091,2
12093,2
12095,2
12097,2
12099,2
12101,2
12103,2
12105,2
12107,2
12113,2
12115,2
12117,2
12109,2
12111,2
12119,2
12121,2
12123,2
12125,2
12127,2
12129,2
12131,2
12133,2
13001,2
13003,2
13005,2
13007,2
13009,2
13011,2
13013,2
13015,2
13017,2
13019,2
13021,2
13023,2
13025,2
13027,2
13029,2
13031,2
13033,2
13035,2
13037,2
13039,2
13043,2
13045,2
13047,2
13049,2
13051,2
13053,2
13055,2
13057,2
13059,2
13061,2
13063,2
13065,2
13067,2
13069,2
13071,2
13073,2
13075,2
13077,2
13079,2
13081,2
13083,2
13085,2
13089,2
13087,2
13091,2
13093,2
13095,2
13097,2
13099,2
13101,2
13103,2
13105,2
13107,2
13109,1
13111,2
13113,2
13115,2
13117,2
13119,2
13121,2
13123,2
13125,1
13127,2
13129,2
13131,2
13133,2
13135,2
13137,2
13139,2
13141,2
13143,2
13145,2
13147,2
13149,2
13151,2
13153,2
13155,2
13157,2
13159,2
13161,2
13163,2
13165,2
13167,2
13169,2
13171,2
13173,2
13175,2
13177,2
13179,2
13181,2
13183,1
13185,2
13187,2
13193,2
13195,2
13197,2
13189,2
13191,2
13199,2
13201,2
13205,2
13207,2
13209,1
