FIPS Code,2020-10-14 00:00:00,Fips,County,State
01001,137.0,1001.0,Autauga,AL
01003,630.0,1003.0,Baldwin,AL
01005,55.0,1005.0,Barbour,AL
01007,80.0,1007.0,Bibb,AL
01009,121.0,1009.0,Blount,AL
01011,18.0,1011.0,Bullock,AL
01013,61.0,1013.0,Butler,AL
01015,353.0,1015.0,Calhoun,AL
01017,77.0,1017.0,Chambers,AL
01019,67.0,1019.0,Cherokee,AL
01021,131.0,1021.0,Chilton,AL
01023,25.0,1023.0,Choctaw,AL
01025,120.0,1025.0,Clarke,AL
01027,75.0,1027.0,Clay,AL
01029,75.0,1029.0,Cleburne,AL
01031,175.0,1031.0,Coffee,AL
01033,156.0,1033.0,Colbert,AL
01035,11.0,1035.0,Conecuh,AL
01037,16.0,1037.0,Coosa,AL
01039,169.0,1039.0,Covington,AL
01041,31.0,1041.0,Crenshaw,AL
01043,210.0,1043.0,Cullman,AL
01045,146.0,1045.0,Dale,AL
01047,38.0,1047.0,Dallas,AL
01049,481.0,1049.0,DeKalb,AL
01051,270.0,1051.0,Elmore,AL
01053,70.0,1053.0,Escambia,AL
01055,294.0,1055.0,Etowah,AL
01057,47.0,1057.0,Fayette,AL
01059,122.0,1059.0,Franklin,AL
01061,156.0,1061.0,Geneva,AL
01063,23.0,1063.0,Greene,AL
01065,61.0,1065.0,Hale,AL
01067,97.0,1067.0,Henry,AL
01069,583.0,1069.0,Houston,AL
01071,265.0,1071.0,Jackson,AL
01073,1525.0,1073.0,Jefferson,AL
01075,45.0,1075.0,Lamar,AL
01077,191.0,1077.0,Lauderdale,AL
01079,112.0,1079.0,Lawrence,AL
01081,329.0,1081.0,Lee,AL
01083,417.0,1083.0,Limestone,AL
01085,26.0,1085.0,Lowndes,AL
01087,37.0,1087.0,Macon,AL
01089,673.0,1089.0,Madison,AL
01091,182.0,1091.0,Marengo,AL
01093,50.0,1093.0,Marion,AL
01095,199.0,1095.0,Marshall,AL
01097,498.0,1097.0,Mobile,AL
01099,23.0,1099.0,Monroe,AL
01101,505.0,1101.0,Montgomery,AL
01103,408.0,1103.0,Morgan,AL
01105,32.0,1105.0,Perry,AL
01107,75.0,1107.0,Pickens,AL
01109,64.0,1109.0,Pike,AL
01111,89.0,1111.0,Randolph,AL
01113,81.0,1113.0,Russell,AL
01117,640.0,1117.0,Shelby,AL
01115,268.0,1115.0,St. Clair,AL
01119,25.0,1119.0,Sumter,AL
